context_id,context_group,label,scenario_id,scenario_group,baseline_tier,tier,tier_short,tier_changed,proxy_status_changed,n_criterion_conditions_changed,changed_criterion_conditions,quantitative_fidelity_vector_changed,n_quantitative_fidelity_conditions_changed,changed_quantitative_fidelity_conditions,reference_reliability_pass,fidelity_complete,quantitative_fidelity_pass,ranking_fidelity_pass,quantitative_recovery_pass,quantitative_rank_pass,quantitative_amplitude_pass,quantitative_hit_recall_pass,measurement_required_eligible
oasis:ldh_release,main4,OASIS LDH release,relative:recoverability_min:looser,single32,unresolved,unresolved,U,False,False,1,recoverability_min,True,1,quantitative_recovery_pass,True,True,False,False,True,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:recoverability_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:magnitude_spearman_min:looser,single32,unresolved,ranking_proxy,R,True,True,1,magnitude_spearman_min,True,1,quantitative_rank_pass,True,True,False,True,False,True,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:magnitude_spearman_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:top5pct_quantitative_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:top5pct_quantitative_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:top5pct_ranking_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:top5pct_ranking_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:reliability_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:reliability_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:measurement_recoverability_max_exclusive:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:measurement_recoverability_max_exclusive:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:variance_ratio_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:variance_ratio_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:variance_ratio_max:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:variance_ratio_max:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),baseline,baseline,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:all gates:looser,joint4,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:all gates:tighter,joint4,not_identifiable,not_identifiable,N,False,False,2,top5pct_quantitative_min;variance_ratio_min,True,2,quantitative_amplitude_pass;quantitative_hit_recall_pass,False,True,False,True,True,True,False,False,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:recoverability_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:recoverability_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:magnitude_spearman_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:magnitude_spearman_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:top5pct_quantitative_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:top5pct_quantitative_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,1,top5pct_quantitative_min,True,1,quantitative_hit_recall_pass,False,True,False,True,True,True,True,False,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:top5pct_ranking_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:top5pct_ranking_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:reliability_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:reliability_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:measurement_recoverability_max_exclusive:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:measurement_recoverability_max_exclusive:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:variance_ratio_min:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:variance_ratio_min:tighter,single32,not_identifiable,not_identifiable,N,False,False,1,variance_ratio_min,True,1,quantitative_amplitude_pass,False,True,False,True,True,True,False,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:variance_ratio_max:looser,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),absolute:variance_ratio_max:tighter,single32,not_identifiable,not_identifiable,N,False,False,0,,False,0,,False,True,True,True,True,True,True,True,False
