panel	context	model	fraction	compound	source_pair	reference_loss	predicted_loss	reference_rank	predicted_rank	reference_top	predicted_top	recovered	n_compounds	k	overlap	recall	recall_lower95	recall_upper95	random_expected_overlap	random_expected_recall	enrichment_over_random	random_overlap_lower95	random_overlap_upper95	random_selection_tail_probability	signed_spearman	signed_pearson	selected_reference_loss_mean	selected_reference_loss_min	selected_reference_loss_max	true_top_loss_mean	n_bootstrap	interpretation	measured_repeat_recall	measured_repeat_overlap	recall_difference_from_repeat	difference_lower95	difference_upper95
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_26a3141a	assayworks_prod_25|assayworks_prod_26	0.05428607162574066	0.04158808713241006	57.0	55.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_2aa3c71f	assayworks_prod_26|assayworks_prod_30	0.1665477321645164	0.19104287202920345	21.0	12.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_2aa5e543	assayworks_prod_26|assayworks_prod_30	0.0015294778876114717	-0.00741039169156736	100.0	146.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_2d74381f	assayworks_prod_26|assayworks_prod_30	0.003499552580541472	-0.016755416893802114	99.0	169.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_2e66ae36	assayworks_prod_25|assayworks_prod_27	-0.037307683162499154	0.003382138777744898	167.0	116.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_36ff3535	assayworks_prod_25|assayworks_prod_27	0.04868024166511453	0.006094577734566868	64.0	111.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_43808771	assayworks_prod_26|assayworks_prod_27	-0.005084982222836924	0.007559530363615957	117.0	106.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_4e3771a5	assayworks_prod_26|assayworks_prod_27	-0.023630952975456233	-0.0077438923050941345	139.0	148.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_567dbb1e	assayworks_prod_25|assayworks_prod_26	0.13505397610150388	0.034310482462624504	25.0	60.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_5d6a2392	assayworks_prod_25|assayworks_prod_27	-0.04823625114732892	-0.03643906809960988	188.0	206.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_5ec2a600	assayworks_prod_25|assayworks_prod_27	0.14438402860600882	0.16036800853737695	23.0	15.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_622f7d94	assayworks_prod_26|assayworks_prod_27	0.03155702463202722	0.05539047737782563	72.0	47.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_84d1048d	assayworks_prod_25|assayworks_prod_26	0.00934491452315582	0.002024623998291718	94.0	119.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_a628ede8	assayworks_prod_26|assayworks_prod_30	-0.050134513554149766	-0.0016145442601965682	192.0	133.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_aab77a44	assayworks_prod_25|assayworks_prod_26	-0.03140117082258927	0.025057149702602408	158.0	69.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_ab084aae	assayworks_prod_25|assayworks_prod_26	-0.047408542744275424	-0.020282717558664766	185.0	178.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_baf3c49a	assayworks_prod_25|assayworks_prod_27	-0.0665621498896592	-0.03493212673840234	207.0	205.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Compound_cd9dcad3	assayworks_prod_25|assayworks_prod_27	-0.05864378102663634	-0.056942498336065996	200.0	216.0	False	False	False																									
