reporter_slug,short_name,endpoint_superfamily,pearson,n_endpoints_family,original_marker_map_full,reliability,log10_exact_links,n_endpoints
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Intensity level,0.71778189294726,6,0.056937695670675,0.566358845982032,5.43078109716359,24
p21,p21*,Spatial displacement,0.7530057989678344,2,0.0253501251750124,0.673271028808692,4.95562041261558,30
p21,p21*,Sub-object distribution,0.5906968830116192,28,0.0253501251750124,0.673271028808692,4.95562041261558,30
p53,p53*,Spatial displacement,0.6503288553848492,2,0.0395791072621438,0.6790572976946833,4.95562041261558,30
p53,p53*,Sub-object distribution,0.5314789032421244,28,0.0395791072621438,0.6790572976946833,4.95562041261558,30
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Intensity extrema/range,0.7954489317651876,18,0.0474753392018205,0.491094238791797,5.295841882940265,24
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Intensity level,0.8416882445310376,6,0.0474753392018205,0.491094238791797,5.295841882940265,24
plasma_membrane_atp1b3,ATP1B3,Intensity extrema/range,0.751258663639634,18,0.0699208385120156,0.5016975413704213,5.395293186185546,24
plasma_membrane_atp1b3,ATP1B3,Intensity level,0.7713338462477473,6,0.0699208385120156,0.5016975413704213,5.395293186185546,24
plasma_membrane_slc3a2,SLC3A2,Intensity extrema/range,0.9066346331923641,18,0.0120528701991145,0.4535912492305982,5.163891544807553,24
plasma_membrane_slc3a2,SLC3A2,Intensity level,0.941329373678554,6,0.0120528701991145,0.4535912492305982,5.163891544807553,24
plasma_membrane_wga,WGA*,Integrated intensity,0.6515912063886643,6,0.0636126775740028,0.2955940866884624,5.047559110643657,72
plasma_membrane_wga,WGA*,Intensity dispersion,0.720564499175174,24,0.0636126775740028,0.2955940866884624,5.047559110643657,72
plasma_membrane_wga,WGA*,Intensity extrema/range,0.7854108367244444,18,0.0636126775740028,0.2955940866884624,5.047559110643657,72
plasma_membrane_wga,WGA*,Intensity level,0.7895079521496732,24,0.0636126775740028,0.2955940866884624,5.047559110643657,72
prb,pRb*,Spatial displacement,0.723034783049621,2,0.0096608849891772,0.1509084849662904,4.95562041261558,30
prb,pRb*,Sub-object distribution,0.28011620566312756,28,0.0096608849891772,0.1509084849662904,4.95562041261558,30
proteasome_psmb7,PSMB7,Intensity extrema/range,0.5972228590200319,18,0.091676076660501,0.4309405843280984,5.295817709013592,24
proteasome_psmb7,PSMB7,Intensity level,0.6091192211236002,6,0.091676076660501,0.4309405843280984,5.295817709013592,24
ps6,pS6*,Spatial displacement,0.4505122930628739,2,0.0123974192470234,0.3470813638953472,4.95562041261558,30
ps6,pS6*,Sub-object distribution,0.6001607514736239,28,0.0123974192470234,0.3470813638953472,4.95562041261558,30
recycling_endosome_tfrc,TFRC,Intensity extrema/range,0.8672742026132112,18,0.0449315303776419,0.591056052462748,5.380999494240941,24
recycling_endosome_tfrc,TFRC,Intensity level,0.8834989152153295,6,0.0449315303776419,0.591056052462748,5.380999494240941,24
stress_granule_g3bp1,G3BP1,Intensity extrema/range,0.9225661069768657,18,0.0491020918270907,0.5489821526032832,5.19674804871186,24
stress_granule_g3bp1,G3BP1,Intensity level,0.9539427612767017,6,0.0491020918270907,0.5489821526032832,5.19674804871186,24
trans-golgi_vamp3,VAMP3,Intensity extrema/range,0.6611764052501934,18,0.0360390206469793,0.565576846698852,5.315094579962097,24
trans-golgi_vamp3,VAMP3,Intensity level,0.7472096857753665,6,0.0360390206469793,0.565576846698852,5.315094579962097,24
