display_column,screen_id,phase_cells,phase_targeting_cells,phase_control_cells,phase_target_kos,phase_target_guides,phase_wells,phase_tiles,phase_feature_dimension,phase_cellprofiler_features,phase_organelleprofiler_features,phase_candidate_features,phase_harmonized_features,n_reporter_targets,reporter_targets,reporter_biological_categories,reporter_target_feature_schemas,exact_assay_cell_links,exact_targeting_links,exact_control_links,unique_phase_cells_with_exact_reporter,unique_targeting_phase_cells_with_exact_reporter,exact_target_kos,exact_target_guides,source_fluorescence_rows_across_reporters,rows_with_mappable_well_tile_across_reporters,duplicate_fluorescence_coordinate_rows_excluded,phase_unique_coordinate_rows_across_reporters,coordinate_matches_across_reporters,op_matches_across_reporters,gene_guide_concordant_pairs_across_reporters,screen_number
33,Biohub_OPS0036,111146,102296,8850,969,3873,3,6905,3113,736,2377,446,172,1,nuclear_speckles_srrm2,Nucleus,nuclear_speckles_srrm2:72,105775,100489,5286,105775,100489,1000,3997,802913,802913,39961,110357,105806,105775,105775,36
34,Biohub_OPS0037,168854,154925,13929,969,3875,3,6953,3113,736,2377,446,172,1,stress_granule_g3bp1,Stress/PQC,stress_granule_g3bp1:24,157307,148862,8445,157307,148862,1000,3999,1242842,1242842,88366,167119,157391,157307,157307,37
35,Biohub_OPS0039,148761,136610,12151,969,3874,3,6960,3113,736,2377,446,172,1,early_endosome_eea1,Endosome,early_endosome_eea1:24,139936,132634,7302,139936,132634,1000,3998,1114138,1114138,66757,147503,140076,139936,139936,39
36,Biohub_OPS0040,115455,105889,9566,969,3873,3,6955,3113,736,2377,446,172,1,autophagosome_map1lc3b,Lysosome,autophagosome_map1lc3b:72,108630,102946,5684,108630,102946,1000,3997,830623,830623,50640,114436,108792,108630,108630,40
37,Biohub_OPS0041,135916,125801,10115,969,3873,3,6944,3113,736,2377,446,172,1,nucleolus-dfc_fbl,Nucleus,nucleolus-dfc_fbl:24,127140,121510,5630,127140,121510,1000,3997,961664,961664,63552,134611,127260,127140,127140,41
38,Biohub_OPS0042,94875,87573,7302,969,3873,3,6507,3113,736,2377,446,172,1,nucleolus-gc_npm3,Nucleus,nucleolus-gc_npm3:72,88463,84131,4332,88463,84131,1000,3996,696140,696140,46289,93971,88554,88463,88463,42
39,Biohub_OPS0043,147192,135370,11822,969,3869,4,7014,3113,736,2377,446,172,7,er_cona;f-actin_phalloidin;microtubules_tubulin;mitochondria_tomm20;nuclei_hoechst;nucleoli_npm1;plasma_membrane_wga,Cytoskeleton;ER/Golgi;Mitochondria;Nucleus;Plasma Membrane,er_cona:72;f-actin_phalloidin:72;microtubules_tubulin:72;mitochondria_tomm20:72;nuclei_hoechst:72;nucleoli_npm1:72;plasma_membrane_wga:72,781011,741209,39802,111573,105887,1000,3991,7488138,7488138,0,1030344,1030344,781011,781011,43
40,Biohub_OPS0044,62327,57055,5272,969,3874,3,5918,3113,736,2377,446,172,1,lysosome_lysotracker_live-cell_dye,Lysosome,lysosome_lysotracker_live-cell_dye:72,57373,54295,3078,57373,54295,1000,3998,458084,458084,35954,61659,57571,57373,57373,44
41,Biohub_OPS0045,105150,96650,8500,969,3874,3,6944,3113,736,2377,446,172,2,cell_proliferation_marker_mki67;peroxisome_peroxi_spy650_live_cell_dye,Nucleus;Peroxisome,cell_proliferation_marker_mki67:72;peroxisome_peroxi_spy650_live_cell_dye:72,196314,186350,9964,98157,93175,1000,3998,1518224,1518224,104702,208316,196644,196314,196314,45
42,Biohub_OPS0046,167527,153797,13730,969,3874,3,6964,3113,736,2377,446,172,1,microtubules_map4,Cytoskeleton,microtubules_map4:72,153231,145439,7792,153231,145439,1000,3998,1206771,1206771,104447,165463,153428,153231,153231,46
43,Biohub_OPS0047,112946,103644,9302,969,3875,3,6957,3113,736,2377,446,172,1,fe2+_ferhonox_live-cell_dye,Signaling,fe2+_ferhonox_live-cell_dye:24,105043,99656,5387,105043,99656,1000,3999,836291,836291,58847,111863,105328,105043,105043,47
44,Biohub_OPS0048,115289,105416,9873,969,3875,3,6955,3113,736,2377,446,172,1,oxidative_stress_cellrox_live-cell_dye,Signaling,oxidative_stress_cellrox_live-cell_dye:24,108425,102488,5937,108425,102488,1000,3999,846179,846179,50828,114281,108608,108425,108425,48
45,Biohub_OPS0050,137009,126557,10452,969,3876,3,6944,3113,736,2377,446,172,1,caspase_activity_cellevent-caspase_live-cell_dye,Stress/PQC,caspase_activity_cellevent-caspase_live-cell_dye:24,104880,99384,5496,104880,99384,1000,3998,971197,971197,214053,130659,105014,104880,104880,50
46,Biohub_OPS0051,151291,138598,12693,969,3873,3,6960,3113,736,2377,446,172,1,chromalive_488_excitation,Mitochondria,chromalive_488_excitation:72,140498,132657,7841,140498,132657,1000,3997,1106764,1106764,80696,149679,140755,140498,140498,51
47,Biohub_OPS0052,141231,129910,11321,969,3874,3,7009,3113,736,2377,446,172,1,er_ncln,ER/Golgi,er_ncln:24,132163,125564,6599,132163,125564,1000,3998,1000561,1000561,64760,139985,132442,132163,132163,52
48,Biohub_OPS0053,99657,91734,7923,969,3874,3,6966,3113,736,2377,446,172,1,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Signaling,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye:72,92592,87924,4668,92592,87924,1000,3998,730619,730619,52029,98622,92761,92592,92592,53
49,Biohub_OPS0054,73542,67480,6062,969,3874,3,6946,3113,736,2377,446,172,1,autophagosome_atg101,Lysosome,autophagosome_atg101:72,69650,65910,3740,69650,65910,1000,3998,536468,536468,26060,73034,70132,69650,69650,54
50,Biohub_OPS0055,136537,125146,11391,969,3876,3,6929,3113,736,2377,446,172,1,lysosome_lysotracker_live-cell_dye,Lysosome,lysosome_lysotracker_live-cell_dye:72,129331,122531,6800,129331,122531,1000,4000,1000575,1000575,52978,135490,129455,129331,129331,55
51,Biohub_OPS0056,109854,100943,8911,969,3874,3,6954,3113,736,2377,446,172,1,lysosome_lysotracker_live-cell_dye,Lysosome,lysosome_lysotracker_live-cell_dye:72,102030,96815,5215,102030,96815,1000,3998,793214,793214,57677,108729,102158,102030,102030,56
52,Biohub_OPS0057,108371,99460,8911,969,3874,3,6960,3113,736,2377,446,172,2,cell_proliferation_marker_mki67;peroxisome_peroxi_spy650_live_cell_dye,Nucleus;Peroxisome,cell_proliferation_marker_mki67:72;peroxisome_peroxi_spy650_live_cell_dye:72,198936,188774,10162,99468,94387,1000,3998,1594990,1594990,134482,214126,199170,198936,198936,57
53,Biohub_OPS0058,143159,131705,11454,969,3876,3,6977,3113,736,2377,446,172,1,nucleolus-gc_npm3,Nucleus,nucleolus-gc_npm3:72,124655,118466,6189,124655,118466,1000,4000,1015920,1015920,129361,140116,124878,124655,124655,58
54,Biohub_OPS0059,127122,116963,10159,969,3875,3,6970,3113,736,2377,446,172,1,trans-golgi_vamp3,ER/Golgi,trans-golgi_vamp3:24,118777,112832,5945,118777,112832,1000,3999,923436,923436,62129,125793,118864,118777,118777,59
55,Biohub_OPS0060,152653,140546,12107,969,3874,3,6862,3113,736,2377,446,172,1,recycling_endosome_tfrc,Endosome,recycling_endosome_tfrc:24,144311,137276,7035,144311,137276,1000,3998,1086185,1086185,60183,151480,144538,144311,144311,60
56,Biohub_OPS0061,183122,168487,14635,969,3874,3,6910,3113,736,2377,446,172,2,nuclear_speckles_srrm2;nuclei_nucleolive_live_cell_dye,Nucleus,nuclear_speckles_srrm2:72;nuclei_nucleolive_live_cell_dye:72,344132,327166,16966,172066,163583,1000,3998,2627832,2627832,161088,362992,344600,344132,344132,61
57,Biohub_OPS0062,104553,96293,8260,969,3874,3,6962,3113,736,2377,446,172,2,nuclei_nucleolive_live_cell_dye;nucleolus-dfc_fbl,Nucleus,nuclei_nucleolive_live_cell_dye:72;nucleolus-dfc_fbl:24,194524,185180,9344,97262,92590,1000,3998,1491254,1491254,106060,206960,194822,194524,194524,62
58,Biohub_OPS0063,109498,100514,8984,969,3873,3,6947,3113,736,2377,446,172,1,mitochondria_chromalive_561_excitation,Mitochondria,mitochondria_chromalive_561_excitation:24,103307,97749,5558,103307,97749,1000,3997,817742,817742,47452,108633,103410,103307,103307,63
59,Biohub_OPS0064,156084,143164,12920,969,3874,3,6966,3113,736,2377,446,172,2,chromatin_h2bc21;endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Nucleus;Signaling,chromatin_h2bc21:24;endocytic_vesicle_ph_phrodo-dextran_live_cell_dye:72,290970,275454,15516,145485,137727,1000,3998,2302626,2302626,161326,308906,291216,290970,290970,64
60,Biohub_OPS0065,99682,91578,8104,969,3875,3,6946,3113,736,2377,446,172,2,actin_filament_fastact_spy555_live_cell_dye;lipid_droplet_plin2,Cytoskeleton;Lysosome,actin_filament_fastact_spy555_live_cell_dye:72;lipid_droplet_plin2:24,185956,176609,9347,93022,88323,1000,3999,1418820,1418820,95722,197326,186293,185956,185956,65
61,Biohub_OPS0066,101323,93014,8309,969,3875,3,6914,3113,736,2377,446,172,1,lipid_droplet_bodipy_live_cell_dye,Lysosome,lipid_droplet_bodipy_live_cell_dye:24,95146,90086,5060,95146,90086,1000,3999,736273,736273,44820,100389,95326,95146,95146,66
62,Biohub_OPS0067,114212,104996,9216,969,3876,3,6961,3113,736,2377,446,172,1,fe2+_ferhonox_live-cell_dye,Signaling,fe2+_ferhonox_live-cell_dye:24,105986,100466,5520,105986,100466,1000,4000,833625,833625,61114,112984,106130,105986,105986,67
63,Biohub_OPS0068,79963,73352,6611,969,3874,3,6845,3113,736,2377,446,172,1,mitochondria_tomm70a,Mitochondria,mitochondria_tomm70a:24,75833,71835,3998,75833,71835,1000,3998,575750,575750,29647,79361,76014,75837,75833,68
64,Biohub_OPS0069,177173,162981,14192,969,3874,3,6894,3113,736,2377,446,172,2,chromatin_h2bc21;oxidative_stress_cellrox_live-cell_dye,Nucleus;Signaling,chromatin_h2bc21:24;oxidative_stress_cellrox_live-cell_dye:24,322426,306136,16290,161213,153068,1000,3998,2557662,2557662,236116,349480,322734,322426,322426,69
65,Biohub_OPS0070,109331,100361,8970,969,3875,3,6728,3113,736,2377,446,172,1,proteasome_psmb7,Stress/PQC,proteasome_psmb7:24,101203,95926,5277,101203,95926,1000,3999,784914,784914,57667,108146,101473,101203,101203,70
66,Biohub_OPS0071,141177,129310,11867,969,3875,3,6959,3113,736,2377,446,172,1,plasma_membrane_atp1b3,Plasma Membrane,plasma_membrane_atp1b3:24,132075,125068,7007,132075,125068,1000,3999,1021336,1021336,66150,139866,132266,132075,132075,71
67,Biohub_OPS0072,128956,118829,10127,969,3874,3,6969,3113,736,2377,446,172,2,actin_filament_fastact_spy555_live_cell_dye;chaperones_hspa1b,Cytoskeleton;Stress/PQC,actin_filament_fastact_spy555_live_cell_dye:72;chaperones_hspa1b:72,242441,231002,11439,121282,115527,1000,3998,1809980,1809980,108021,255646,243105,242443,242441,72
68,Biohub_OPS0073,55712,51176,4536,969,3873,3,6206,3113,736,2377,446,172,1,caspase_activity_cellevent-caspase_live-cell_dye,Stress/PQC,caspase_activity_cellevent-caspase_live-cell_dye:24,52300,49684,2616,52300,49684,1000,3997,405569,405569,15880,55364,53599,52300,52300,73
69,Biohub_OPS0074,119013,109493,9520,969,3873,3,6949,3113,736,2377,446,172,2,actin_filament_fastact_spy555_live_cell_dye;er_golgi_cope,Cytoskeleton;ER/Golgi,actin_filament_fastact_spy555_live_cell_dye:72;er_golgi_cope:24,220001,209516,10485,110052,104785,1000,3997,1653205,1653205,126121,235272,220346,220006,220001,74
70,Biohub_OPS0075,142210,131228,10982,969,3875,3,6951,3113,736,2377,446,172,1,mitochondria_chromalive_561_excitation,Mitochondria,mitochondria_chromalive_561_excitation:24,131602,125337,6265,131602,125337,1000,3999,1051830,1051830,81628,140654,131853,131602,131602,75
71,Biohub_OPS0076,51150,47005,4145,969,3875,3,6864,3113,736,2377,446,172,1,actin_filament_fastact_spy555_live_cell_dye,Cytoskeleton,actin_filament_fastact_spy555_live_cell_dye:72,49615,47117,2498,49615,47117,1000,3998,371845,371845,10527,51000,49746,49616,49615,76
72,Biohub_OPS0077,104305,95782,8523,969,3874,4,6953,3113,736,2377,446,172,6,b-catenin;c-myc;p21;p53;prb;ps6,Signaling,b-catenin:30;c-myc:30;p21:30;p53:30;prb:30;ps6:30,541716,511740,29976,90286,85290,1000,3998,4554414,4554414,0,625830,625830,541716,541716,77
