reporter_slug,output_dimensions,n_total_observations,n_complete_rows,n_partial_rows,n_no_finite_rows,fraction_complete_rows,fraction_partial_rows,fraction_no_finite_rows,potential_endpoint_labels,finite_endpoint_labels,missing_endpoint_labels,finite_endpoint_fraction,recoverable_partial_endpoint_labels,recoverable_partial_fraction_of_finite_labels,short_name,biological_category,n_screens,n_exact_assay_cell_links
lysosome_lamp1,24,124870,123937,414,519,0.9925282293585329,0.003315448065988628,0.004156322575478498,2996880,2982768,14112,0.9952911027468567,8280,0.0027759450282422234,LAMP1,Lysosome,2,124870
lysosome_lysotracker_live-cell_dye,24,288734,288668,10,56,0.999771415905297,3.4633953742891384e-05,0.00019395014096019173,6929616,6928232,1384,0.9998002775334159,200,2.8867393586127025e-05,LysoTracker live-cell dye,Lysosome,3,288734
early_endosome_eea1,24,139936,139767,100,69,0.9987923050537388,0.0007146123942373656,0.0004930825520237823,3358464,3356408,2056,0.99938781538227,2000,0.0005958751141100844,EEA1,Endosome,1,139936
endosome_vps35,24,180485,173732,4179,2574,0.962584148267169,0.023154278748926505,0.014261572983904479,4331640,4253148,78492,0.9818793805579411,83580,0.01965132649980673,VPS35,Endosome,2,180485
late_endosome_rab7a,24,124176,124137,10,29,0.9996859296482412,8.05308594253318e-05,0.0002335394923334622,2980224,2979488,736,0.9997530386977623,200,6.712562695335575e-05,RAB7A,Endosome,2,124176
recycling_endosome_tfrc,24,240436,240254,73,109,0.9992430418073832,0.00030361509923638725,0.00045334309338035904,5770464,5767556,2908,0.9994960543900803,1460,0.000253140151565065,TFRC,Endosome,2,240436
plasma_membrane_atp1b3,24,248481,231274,5456,11751,0.9307512445619585,0.02195741324286364,0.0472913421951779,5963544,5659696,303848,0.9490490889310115,109120,0.01928018748710178,ATP1B3,Plasma Membrane,2,248481
plasma_membrane_slc3a2,24,145845,143841,1721,283,0.9862593849634886,0.011800198841235558,0.0019404161952758065,3500280,3486604,13676,0.9960928839978516,34420,0.00987207035843474,SLC3A2,Plasma Membrane,2,145845
plasma_membrane_wga,72,111573,94074,16410,1089,0.8431609798069425,0.14707859428356324,0.009760425909494233,8033256,7298500,734756,0.9085357170243299,525172,0.071956155374392,WGA*,Plasma Membrane,1,111573
peroxisome_peroxi_spy650_live_cell_dye,24,197625,174953,1227,21445,0.8852776723592662,0.006208728652751423,0.1085135989879823,4743000,4223412,519588,0.8904516129032258,24540,0.005810467934456785,Peroxi_SPY650 live cell dye,Peroxisome,2,197625
5xupre,20,433351,265894,0,167457,0.6135765234186606,0.0,0.38642347658133935,8667020,5317880,3349140,0.6135765234186606,0,0.0,5xUPRE,Stress/PQC,6,433351
caspase_activity_cellevent-caspase_live-cell_dye,24,157180,136108,2214,18858,0.865937142130042,0.014085761547270646,0.11997709632268737,3772320,3310872,461448,0.8776752767527676,44280,0.01337412017136271,CellEvent-Caspase live-cell dye,Stress/PQC,2,157180
chaperones_hspa1b,24,193356,173827,9357,10172,0.8989997724404725,0.04839260224663315,0.05260762531289435,4640544,4358988,281556,0.9393269409793334,187140,0.042931983295205214,HSPA1B,Stress/PQC,2,193356
proteasome_psmb7,24,197614,192529,2376,2709,0.9742680174481565,0.012023439634843685,0.013708542916999808,4742736,4668216,74520,0.984287550477193,47520,0.010179477556308448,PSMB7,Stress/PQC,2,197614
stress_granule_g3bp1,24,157307,156079,800,428,0.9921936086760283,0.005085596953727425,0.002720794370244172,3775368,3761896,13472,0.996431606137468,16000,0.004253174463089889,G3BP1,Stress/PQC,1,157307
