reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
17,3,er_sec61b,SEC61B,quantitative_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
17,4,er_sec61b,SEC61B,quantitative_proxy,Reliability,reliability,0.4571854056007768,0.3,0.22455057942968118,True
18,0,er_golgi_bridge_vapa,VAPA,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8133458602825705,0.7,0.37781953427523507,True
18,1,er_golgi_bridge_vapa,VAPA,quantitative_proxy,Rank,magnitude_spearman,0.9081841521841524,0.7,0.6939471739471746,True
18,2,er_golgi_bridge_vapa,VAPA,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7683852696346999,"[0.5, 1.5]",0.5367705392693998,True
18,3,er_golgi_bridge_vapa,VAPA,quantitative_proxy,Top-5%,top5pct_recall,0.88,0.6,0.7000000000000001,True
18,4,er_golgi_bridge_vapa,VAPA,quantitative_proxy,Reliability,reliability,0.6864386449976475,0.3,0.5520552071394965,True
19,0,mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,quantitative_proxy,Recovery,ensemble_recoverability_r,0.806188695791279,0.7,0.3539623193042636,True
19,1,mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,quantitative_proxy,Rank,magnitude_spearman,0.9472878352878352,0.7,0.8242927842927841,True
19,2,mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7999771592606584,"[0.5, 1.5]",0.5999543185213168,True
19,3,mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,quantitative_proxy,Top-5%,top5pct_recall,0.88,0.6,0.7000000000000001,True
19,4,mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,quantitative_proxy,Reliability,reliability,0.7231375976605061,0.3,0.6044822823721516,True
20,0,peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8100131207326374,0.7,0.3667104024421248,True
20,1,peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,quantitative_proxy,Rank,magnitude_spearman,0.8792889512889513,0.7,0.5976298376298379,True
20,2,peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8830879531925239,"[0.5, 1.5]",0.7661759063850477,True
20,3,peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,quantitative_proxy,Top-5%,top5pct_recall,0.78,0.6,0.4500000000000001,True
20,4,peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,quantitative_proxy,Reliability,reliability,0.491094238791797,0.3,0.27299176970256717,True
21,0,chromalive_488_excitation,ChromaLIVE 488 excitation,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7746614618872987,0.7,0.24887153962432904,True
21,1,chromalive_488_excitation,ChromaLIVE 488 excitation,quantitative_proxy,Rank,magnitude_spearman,0.8282332562332563,0.7,0.42744418744418766,True
21,2,chromalive_488_excitation,ChromaLIVE 488 excitation,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8162227429190112,"[0.5, 1.5]",0.6324454858380224,True
21,3,chromalive_488_excitation,ChromaLIVE 488 excitation,quantitative_proxy,Top-5%,top5pct_recall,0.72,0.6,0.3,True
21,4,chromalive_488_excitation,ChromaLIVE 488 excitation,quantitative_proxy,Reliability,reliability,0.3255015696911665,0.3,0.036430813844523596,True
22,0,chromatin_h2bc21,H2BC21,quantitative_proxy,Recovery,ensemble_recoverability_r,0.7667328332766998,0.7,0.22244277758899955,True
22,1,chromatin_h2bc21,H2BC21,quantitative_proxy,Rank,magnitude_spearman,0.8261045621045622,0.7,0.4203485403485407,True
