target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio
FeRhoNox,Biohub_OPS0047,STAT5B,phase172,24,4,True,0.8473692647470439,0.8654474275260532,1.1792503694849086,0.7338962530103568,0.9425567388534546,1.6095445156097412,0.5856046676635742
FeRhoNox,Biohub_OPS0047,STAT5B,raw_thumbnail,24,4,True,0.8901773467879428,1.0239820314932568,1.1792503694849086,0.8683330173053307,1.3535008430480957,1.6095445156097412,0.8409216403961182
FeRhoNox,Biohub_OPS0047,STK40,phase172,24,4,True,0.7450376137168921,1.0302409285504495,1.1457570489393687,0.8991792191059589,1.1702549457550049,1.4137771129608154,0.8277506828308105
FeRhoNox,Biohub_OPS0047,STK40,raw_thumbnail,24,4,True,0.9596331819666015,0.9643323221062305,1.1457570489393687,0.8416551510627112,1.4539821147918701,1.4137771129608154,1.0284379720687866
FeRhoNox,Biohub_OPS0047,STMN1,phase172,24,4,True,0.95908703516885,0.6260534040536045,1.0171091140281308,0.6155223617790622,0.9509372115135193,1.5166956186294556,0.6269795894622803
FeRhoNox,Biohub_OPS0047,STMN1,raw_thumbnail,24,4,True,0.9997524374170779,0.713937095803705,1.0171091140281308,0.7019277341604465,1.6278384923934937,1.5166956186294556,1.073279619216919
FeRhoNox,Biohub_OPS0047,STT3A,phase172,24,4,True,0.8017996800827267,0.8802439634970658,1.168777358911261,0.7531322854482998,1.001821517944336,1.4188998937606812,0.7060551047325134
FeRhoNox,Biohub_OPS0047,STT3A,raw_thumbnail,24,4,True,1.0783760913216274,1.4734882128197628,1.168777358911261,1.2607090662607854,3.6765706539154053,1.4188998937606812,2.591141700744629
FeRhoNox,Biohub_OPS0047,STT3B,phase172,24,4,True,0.9107131735271475,1.1415695550282412,1.0641212555360677,1.072781460843161,1.1924240589141846,1.4826524257659912,0.8042505979537964
FeRhoNox,Biohub_OPS0047,STT3B,raw_thumbnail,24,4,True,0.8218137684776048,0.8681056090653447,1.0641212555360677,0.8157957606325822,1.6019482612609863,1.4826524257659912,1.0804611444473267
FeRhoNox,Biohub_OPS0047,STX5,phase172,24,4,True,0.9501059557833038,0.43947431988567254,0.609373457943401,0.7211904525163798,1.0994517803192139,1.5910693407058716,0.6910143494606018
FeRhoNox,Biohub_OPS0047,STX5,raw_thumbnail,24,4,True,0.864300555854725,1.0711807873013992,0.609373457943401,1.7578395864443626,1.350295066833496,1.5910693407058716,0.8486714363098145
FeRhoNox,Biohub_OPS0047,STX8,phase172,24,4,True,0.7498665071270649,0.743256420505637,0.9616412923744511,0.7729040198247044,1.1261509656906128,1.6841884851455688,0.6686608791351318
FeRhoNox,Biohub_OPS0047,STX8,raw_thumbnail,24,4,True,0.961889789446352,1.2654550120678958,0.9616412923744511,1.3159324813759594,1.8394625186920166,1.6841884851455688,1.0921951532363892
FeRhoNox,Biohub_OPS0047,STXBP1,phase172,24,4,True,0.8342231554119963,1.268444837324377,1.4260478074996925,0.8894826882054938,1.2233107089996338,1.7356452941894531,0.7048161029815674
FeRhoNox,Biohub_OPS0047,STXBP1,raw_thumbnail,24,4,True,0.8888212355774939,1.400840805837988,1.4260478074996925,0.9823238733448213,2.2659850120544434,1.7356452941894531,1.3055576086044312
FeRhoNox,Biohub_OPS0047,STXBP3,raw_thumbnail,24,4,True,0.9918554376696453,0.8951733562585941,0.9262028907305421,0.9664981239181045,1.8021042346954346,1.603613257408142,1.1237773895263672
FeRhoNox,Biohub_OPS0047,SUV39H1,phase172,24,4,True,0.8112824642475001,0.7933048861903937,1.2173261110938165,0.6516781977818396,1.2610840797424316,1.8618652820587158,0.6773229241371155
FeRhoNox,Biohub_OPS0047,SUV39H1,raw_thumbnail,24,4,True,0.8484662699734602,1.24561552808566,1.2173261110938165,1.0232389798707466,1.845625400543213,1.8618652820587158,0.9912776350975037
FeRhoNox,Biohub_OPS0047,SYPL2,phase172,24,4,True,0.8818937387995265,1.184635491508259,1.8131417341482414,0.6533606662938376,1.5265766382217407,2.2848355770111084,0.6681341528892517
FeRhoNox,Biohub_OPS0047,SYPL2,raw_thumbnail,24,4,True,0.9066800353016358,2.5251835691768587,1.8131417341482414,1.3927116240381026,2.9310929775238037,2.2848355770111084,1.2828463315963745
FeRhoNox,Biohub_OPS0047,SYVN1,phase172,24,4,True,0.8739648043834671,1.9982681679011276,1.2321586693523217,1.6217620486747115,0.7094367742538452,1.3946336507797241,0.5086904168128967
FeRhoNox,Biohub_OPS0047,SYVN1,raw_thumbnail,24,4,True,0.8457625238757939,1.3239781022687482,1.2321586693523217,1.074519163156715,1.5197408199310303,1.3946336507797241,1.0897060632705688
FeRhoNox,Biohub_OPS0047,TAB2,phase172,24,4,True,0.9028209326151371,1.2179841698833251,1.4901674899529687,0.8173471627150892,0.8839311003684998,1.5672401189804077,0.5640048980712891
FeRhoNox,Biohub_OPS0047,TAB2,raw_thumbnail,24,4,True,0.9552237417000826,1.3857719005285891,1.4901674899529687,0.9299437210057009,2.112361192703247,1.5672401189804077,1.3478223085403442
FeRhoNox,Biohub_OPS0047,TAF12,phase172,24,4,True,0.927951896541579,1.023974822114681,1.0808091824722315,0.9474149912128353,0.8852310180664062,1.240532636642456,0.7135894894599915
FeRhoNox,Biohub_OPS0047,TAF12,raw_thumbnail,24,4,True,0.9621366434749422,1.39997014419665,1.0808091824722315,1.295298158916797,1.3133119344711304,1.240532636642456,1.058667778968811
FeRhoNox,Biohub_OPS0047,TAF1B,phase172,24,4,True,0.9568993082213706,0.7044800195969775,1.0020689601562298,0.7030254878737526,0.761711597442627,1.3384947776794434,0.5690807104110718
FeRhoNox,Biohub_OPS0047,TAF1B,raw_thumbnail,24,4,True,0.9448369865842742,1.646732516803798,1.0020689601562298,1.6433325272814163,1.4242966175079346,1.3384947776794434,1.0641032457351685
FeRhoNox,Biohub_OPS0047,TAF6,phase172,24,4,True,0.8496273125484581,0.950484817143604,1.2119876055812493,0.784236416912669,1.1016302108764648,1.78821861743927,0.6160489320755005
FeRhoNox,Biohub_OPS0047,TAF6,raw_thumbnail,24,4,True,0.8028739031284026,2.0885498379067537,1.2119876055812493,1.7232435614761255,2.7252557277679443,1.78821861743927,1.5240058898925781
FeRhoNox,Biohub_OPS0047,TARDBP,phase172,24,3,True,0.7644125875332768,1.1174640952534478,1.2566858979699327,0.8892151149771111,1.6428053379058838,2.624032497406006,0.6260613799095154
FeRhoNox,Biohub_OPS0047,TARDBP,raw_thumbnail,24,3,True,0.8458662305531095,1.575446308012411,1.2566858979699327,1.253651616969211,2.791595458984375,2.624032497406006,1.063857078552246
FeRhoNox,Biohub_OPS0047,TARS,phase172,24,4,True,0.8563729410036145,0.9927966341933578,1.5107902045185946,0.6571373253705384,1.278914213180542,1.899061918258667,0.6734452247619629
FeRhoNox,Biohub_OPS0047,TARS,raw_thumbnail,24,4,True,0.8882014062155806,1.1143432384144016,1.5107902045185946,0.7375896633970309,1.7327728271484375,1.899061918258667,0.9124361872673035
FeRhoNox,Biohub_OPS0047,TAS2R40,phase172,24,4,True,0.7786093357123091,1.1394133110939368,1.1375546078095653,1.0016339464247352,1.0231835842132568,1.7994731664657593,0.5686017274856567
FeRhoNox,Biohub_OPS0047,TAS2R40,raw_thumbnail,24,4,True,0.8793777600359645,1.9421637257909747,1.1375546078095653,1.7073147191858649,2.102647066116333,1.7994731664657593,1.1684792041778564
FeRhoNox,Biohub_OPS0047,TBC1D3B,phase172,24,4,True,0.8583952786987187,0.3056873707508019,0.8957822847689813,0.3412518599088365,1.3280141353607178,1.7487022876739502,0.7594283819198608
FeRhoNox,Biohub_OPS0047,TBC1D3B,raw_thumbnail,24,4,True,0.9200028095558761,1.9839420254281586,0.8957822847689813,2.214759165436956,2.2122621536254883,1.7487022876739502,1.2650879621505737
FeRhoNox,Biohub_OPS0047,TBC1D3G,phase172,24,4,True,0.9270552682835835,0.5807754568377798,0.6777192815984894,0.8569557818510712,1.0853118896484375,1.3916008472442627,0.7799017429351807
FeRhoNox,Biohub_OPS0047,TBC1D3G,raw_thumbnail,24,4,True,0.9831346527227446,0.7255132294307418,0.6777192815984894,1.070521747174618,1.483603596687317,1.3916008472442627,1.0661128759384155
FeRhoNox,Biohub_OPS0047,TBL3,phase172,24,4,True,0.848216046177426,1.3238733510723621,1.3256278073905785,0.9986765091163334,1.3299124240875244,2.012683153152466,0.6607658863067627
FeRhoNox,Biohub_OPS0047,TBL3,raw_thumbnail,24,4,True,0.9510700898443476,1.2806111054690532,1.3256278073905785,0.9660412208686705,1.8511743545532227,2.012683153152466,0.9197545051574707
FeRhoNox,Biohub_OPS0047,TBP,phase172,24,4,True,0.8156173261400629,0.1836327243857694,0.9998578268223546,0.18365883574605008,0.7782555818557739,1.6570467948913574,0.46966421604156494
FeRhoNox,Biohub_OPS0047,TBP,raw_thumbnail,24,4,True,0.9970739154222614,1.3335303074334686,0.9998578268223546,1.3337199266335271,1.5991886854171753,1.6570467948913574,0.9650835990905762
FeRhoNox,Biohub_OPS0047,TBPL1,phase172,24,4,True,0.8047534205591897,1.2420015133557443,1.0062986684183879,1.234227523432793,0.9305301904678345,1.4178979396820068,0.6562744379043579
FeRhoNox,Biohub_OPS0047,TBPL1,raw_thumbnail,24,4,True,0.8792646926186027,1.2313213443108046,1.0062986684183879,1.2236142041667288,1.4470722675323486,1.4178979396820068,1.020575761795044
FeRhoNox,Biohub_OPS0047,TCP1,phase172,24,4,True,0.7944489494600526,0.9851338890475485,1.026798819361221,0.959422498810826,1.2946016788482666,1.792302131652832,0.7223122119903564
FeRhoNox,Biohub_OPS0047,TCP1,raw_thumbnail,24,4,True,0.9510241647773976,1.0296536594611565,1.026798819361221,1.0027803305244465,2.067993640899658,1.792302131652832,1.1538197994232178
FeRhoNox,Biohub_OPS0047,TEFM,phase172,24,4,True,0.875023423686405,1.0534690896809504,0.9896053274799692,1.0645345780055675,1.2486696243286133,1.7001359462738037,0.7344527840614319
FeRhoNox,Biohub_OPS0047,TEFM,raw_thumbnail,24,4,True,0.9627460206027885,1.1362615454787588,0.9896053274799692,1.1481966738924596,1.7329750061035156,1.7001359462738037,1.0193156003952026
FeRhoNox,Biohub_OPS0047,TELO2,phase172,24,4,True,0.8771128089002753,0.8562892530388625,1.0510243244130018,0.8147187778143012,0.994041919708252,1.6868598461151123,0.5892854332923889
FeRhoNox,Biohub_OPS0047,TELO2,raw_thumbnail,24,4,True,0.9634245249637841,1.2576733736890509,1.0510243244130018,1.1966168094077774,2.461294412612915,1.6868598461151123,1.4590983390808105
FeRhoNox,Biohub_OPS0047,TERF1,phase172,24,4,True,0.8397567288663765,1.0904833448174354,1.1345057900189026,0.961196808699642,1.1044116020202637,1.779952049255371,0.6204726696014404
FeRhoNox,Biohub_OPS0047,TERF1,raw_thumbnail,24,4,True,0.9146275492501117,2.003637937033637,1.1345057900189026,1.7660887715700888,2.3309879302978516,1.779952049255371,1.3095790147781372
FeRhoNox,Biohub_OPS0047,TERF2,phase172,24,4,True,0.9450460674190038,0.6515236723698357,0.7486494293666921,0.8702653696283207,1.0097159147262573,1.4224528074264526,0.7098414301872253
FeRhoNox,Biohub_OPS0047,TERF2,raw_thumbnail,24,4,True,0.9446178203138814,0.8913094123038124,0.7486494293666921,1.1905564571895837,1.5301803350448608,1.4224528074264526,1.0757336616516113
FeRhoNox,Biohub_OPS0047,TERF2IP,phase172,24,4,True,0.8382940338998877,0.7188423397630488,0.8985954489649849,0.7999621415744111,1.0776698589324951,1.5154247283935547,0.7111338973045349
FeRhoNox,Biohub_OPS0047,TERF2IP,raw_thumbnail,24,4,True,0.8497498661073578,1.4392543433219624,0.8985954489649849,1.6016710801058656,2.3306641578674316,1.5154247283935547,1.5379610061645508
FeRhoNox,Biohub_OPS0047,TFIP11,phase172,24,4,True,0.7011207832235642,1.2000338260499612,1.4566406209465699,0.8238365790390648,1.2036865949630737,2.080321788787842,0.5786059498786926
FeRhoNox,Biohub_OPS0047,TFIP11,raw_thumbnail,24,4,True,1.0217803174231683,2.106046908978355,1.4566406209465699,1.445824645209867,2.380345344543457,2.080321788787842,1.1442197561264038
FeRhoNox,Biohub_OPS0047,TGFBR1,phase172,24,4,True,0.7110471126128814,1.0252730392741962,0.8589981954928378,1.1935683272139594,1.1358548402786255,1.9328609704971313,0.587654709815979
FeRhoNox,Biohub_OPS0047,TGFBR1,raw_thumbnail,24,4,True,0.8630771671399062,1.3422022748475522,0.8589981954928378,1.5625204824527983,3.2156143188476562,1.9328609704971313,1.6636552810668945
FeRhoNox,Biohub_OPS0047,THG1L,phase172,24,4,True,0.8770966086453824,0.5863095529915135,0.8140039470868391,0.7202785135008261,1.2049145698547363,1.4376723766326904,0.8381009101867676
FeRhoNox,Biohub_OPS0047,THG1L,raw_thumbnail,24,4,True,0.94929583811558,0.7885029653117555,0.8140039470868391,0.9686721644700291,1.3366773128509521,1.4376723766326904,0.9297509789466858
FeRhoNox,Biohub_OPS0047,THOC3,phase172,24,4,True,0.845394738981033,0.5182468924924892,0.7289077641029853,0.7109910444296867,1.0965441465377808,1.4491666555404663,0.756672203540802
FeRhoNox,Biohub_OPS0047,THOC3,raw_thumbnail,24,4,True,0.9455956509497507,1.0929382981575855,0.7289077641029853,1.4994192022396504,1.7316118478775024,1.4491666555404663,1.1949018239974976
FeRhoNox,Biohub_OPS0047,THOC7,phase172,24,4,True,0.8829147002646671,1.4506861909559285,1.205301753422992,1.203587555428388,1.1722747087478638,1.4762078523635864,0.7941122055053711
FeRhoNox,Biohub_OPS0047,THOC7,raw_thumbnail,24,4,True,0.999471123147037,1.434606766981895,1.205301753422992,1.1902469758362908,1.606151819229126,1.4762078523635864,1.0880255699157715
FeRhoNox,Biohub_OPS0047,THRA,phase172,24,4,True,0.9480242024686264,1.1910183661330003,1.1756912346271844,1.0130366979478895,1.0195832252502441,1.5398976802825928,0.6621110439300537
FeRhoNox,Biohub_OPS0047,THRA,raw_thumbnail,24,4,True,0.9010934256223244,1.2451961959211073,1.1756912346271844,1.0591183801042483,1.4756686687469482,1.5398976802825928,0.9582901000976562
FeRhoNox,Biohub_OPS0047,TICAM1,phase172,24,3,True,0.8982246779008716,0.9870757585421142,1.3424960308812999,0.7352541354585121,1.012982726097107,1.5779197216033936,0.6419735550880432
FeRhoNox,Biohub_OPS0047,TICAM1,raw_thumbnail,24,3,True,1.0807676376032245,1.9530270413383293,1.3424960308812999,1.4547730469312732,1.4747300148010254,1.5779197216033936,0.9346039295196533
FeRhoNox,Biohub_OPS0047,TIMELESS,phase172,24,4,True,0.8211803458189917,0.5364642170843481,1.3818635168468822,0.38821794666700876,1.2063016891479492,2.2352161407470703,0.5396801233291626
FeRhoNox,Biohub_OPS0047,TIMELESS,raw_thumbnail,24,4,True,0.9065193632965296,1.5669160138067988,1.3818635168468822,1.1339151766465092,2.2352161407470703,2.2352161407470703,1.0
FeRhoNox,Biohub_OPS0047,TIMM17B,phase172,24,4,True,0.9796712882701893,1.2672173729569962,1.252053699997135,1.0121110404129599,0.9402815699577332,1.6644699573516846,0.5649135112762451
FeRhoNox,Biohub_OPS0047,TIMM17B,raw_thumbnail,24,4,True,0.923910148089591,0.4008031628428229,1.252053699997135,0.32011659151978866,1.5750443935394287,1.6644699573516846,0.9462738633155823
FeRhoNox,Biohub_OPS0047,TIMM23,phase172,24,4,True,0.7174675021292778,1.3713436333942564,1.3992776833087341,0.9800368073844893,1.4673113822937012,2.3194994926452637,0.6325982809066772
FeRhoNox,Biohub_OPS0047,TIMM23,raw_thumbnail,24,4,True,0.8109884188748286,1.3428028950868924,1.3992776833087341,0.9596400422192818,2.0755152702331543,2.3194994926452637,0.8948116898536682
FeRhoNox,Biohub_OPS0047,TIMM44,phase172,24,4,True,0.871544111768686,0.5212131088795386,1.0439544196926527,0.4992680705667086,1.0529557466506958,1.8334193229675293,0.5743125677108765
