method_id,reporter_slug,destination_screen,gene_macro_feature_pearson,gene_response_magnitude_spearman
mlp,er_sec61b,Biohub_OPS0005,0.899144912759463,0.8124632604632605
mlp,er_sec61b,Biohub_OPS0006,0.8054523902634779,0.7654806357770777
mlp,er_sec61b,Biohub_OPS0007,0.7829668186604977,0.7363813363813364
mlp,er_sec61b,Biohub_OPS0008,0.8800561303893725,0.7956382740251888
mlp,er_sec61b,Biohub_OPS0009,0.8473545784751574,0.7761058521058521
mlp,fe2+_ferhonox_live-cell_dye,Biohub_OPS0047,0.291218477844571,0.2439465519465519
mlp,fe2+_ferhonox_live-cell_dye,Biohub_OPS0067,0.1517130081001596,0.2538381138381138
mlp,late_endosome_rab7a,Biohub_OPS0014,0.9045224909981092,0.8876452676452676
mlp,late_endosome_rab7a,Biohub_OPS0026,0.9104685708880424,0.9206400326400328
mlp,lipid_droplet_bodipy_live_cell_dye,Biohub_OPS0034,0.9199058127899964,0.9316058356058357
mlp,lipid_droplet_bodipy_live_cell_dye,Biohub_OPS0066,0.92957296098272,0.9513159753159752
mlp,lipid_droplet_plin2,Biohub_OPS0022,0.365069421629111,0.4694051054051054
mlp,lipid_droplet_plin2,Biohub_OPS0065,0.2078526713885367,0.1725526365526365
mlp,lysosome_lamp1,Biohub_OPS0011,0.7176174347599348,0.7371187731187732
mlp,lysosome_lamp1,Biohub_OPS0012,0.7937989868223667,0.7883619563619564
mlp,lysosome_lysotracker_live-cell_dye,Biohub_OPS0044,0.9214061511059602,0.9693452853452852
mlp,lysosome_lysotracker_live-cell_dye,Biohub_OPS0055,0.9362926731506984,0.9915370515370516
mlp,lysosome_lysotracker_live-cell_dye,Biohub_OPS0056,0.9310453732808432,0.9666584586584588
mlp,mitochondria_chromalive_561_excitation,Biohub_OPS0063,0.3605695863564809,0.8026922386922387
mlp,mitochondria_chromalive_561_excitation,Biohub_OPS0075,0.630615433678031,0.8429891549891549
mlp,mitochondria_tomm70a,Biohub_OPS0015,0.479403432070588,0.6164310644310644
mlp,mitochondria_tomm70a,Biohub_OPS0068,0.5276804184541106,0.5312443232443232
mlp,nuclear_speckles_srrm2,Biohub_OPS0036,0.6672539884845415,0.7258002658002658
mlp,nuclear_speckles_srrm2,Biohub_OPS0061,0.5617988438655933,0.4508137461661874
mlp,nuclei_nucleolive_live_cell_dye,Biohub_OPS0061,0.4278924455090115,0.7720758400758401
mlp,nuclei_nucleolive_live_cell_dye,Biohub_OPS0062,0.4120807761792093,0.5164739524739524
mlp,nucleolus-dfc_fbl,Biohub_OPS0041,0.416131851884226,0.697957333957334
mlp,nucleolus-dfc_fbl,Biohub_OPS0062,0.3550173374048124,0.262961434961435
mlp,nucleolus-gc_npm3,Biohub_OPS0042,0.6513670220350226,0.5967603087603087
mlp,nucleolus-gc_npm3,Biohub_OPS0058,0.6675048147638639,0.5562768162768162
mlp,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0048,0.6054034962629279,0.7587606507606508
mlp,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0069,0.2430534836215277,-0.031082287082287
mlp,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0045,0.5759818054114779,0.6255993495993496
mlp,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0057,0.6801031852761904,0.7572310932310933
mlp,plasma_membrane_atp1b3,Biohub_OPS0032,0.7662770226597786,0.7596890316890317
