gene,n_targeting_cells
PREB,168
PRELID3B,211
PRIM1,193
PRKACA,240
PRKRA,148
PRMT3,185
PROS1,194
PRPF39,191
PRPF4,219
PRPF6,189
PRRC2A,205
PRSS3,176
PSMB6,248
PSMC2,187
PSMC6,208
PSMD11,178
PSMD14,178
PSMD2,203
PSMD4,177
PSPC1,218
PSRC1,233
PTDSS1,218
PTEN,201
PTK2,218
PTPMT1,155
PTPRH,206
PTPRR,250
PUF60,195
PUM1,186
PXN,203
QARS,183
QTRT1,218
RAB10,195
RAB11A,185
RAB14,169
RAB4A,225
RAB5C,186
RAB6A,201
RAB7A,207
RABGGTA,226
RABGGTB,185
RAC1,209
RAC3,185
RAD21,203
RAE1,145
RAI14,209
RANBP1,223
RANGAP1,216
RAP1GAP2,203
RAPGEF1,212
RARS,184
RBBP8,180
RBFA,192
RBM10,182
RBM14,237
RBM22,194
RBM26,217
RBM28,232
RBM42,198
RBM5,224
RBMXL1,198
RBPJ,224
RCL1,219
REST,210
REV3L,185
RFWD3,212
RGP1,182
RGPD8,203
RHOA,197
RHOF,205
RHOG,202
RHOQ,198
RICTOR,184
RIOK2,170
RNF11,219
RNF146,186
RNF20,229
RNF41,195
RPA2,169
RPF2,194
RPL15,191
RPL18,172
RPL23,165
RPL26,227
RPL27A,156
RPL30,190
RPL32,199
RPL34,107
RPL35,178
RPL37A,150
RPL41,181
RPL5,192
RPL9,131
RPLP1,162
RPLP2,130
RPRD1A,226
RPS10,189
RPS14,205
RPS16,179
RPS19BP1,201
RPS25,169
RPS27A,179
RPS28,179
RPS29,168
RPS3A,155
RPS4X,142
RPS5,193
RPS6,125
RPS6KA4,217
RPS8,143
RPS9,225
RPSA,187
RPTOR,160
RRM1,156
RRN3,154
RRP7A,193
RRS1,145
RSL24D1,193
RTTN,227
RXRA,211
S100B,217
SACM1L,193
SALL3,195
SAMM50,176
SARS,194
SCAF4,204
SCAF8,206
SCAP,195
SCN10A,192
SCN8A,183
SCYL1,186
SDC1,224
SEC16A,189
SEC22A,191
SEC22C,190
SEC23B,220
SEC23IP,205
SEC24A,188
SEC61A1,188
SEC61B,190
SEC61G,221
SEC63,157
SEL1L,192
SERINC3,240
SETD1B,191
SF3B3,163
SF3B5,194
SH3GL1,177
SH3KBP1,201
SIGLEC14,212
SKA3,170
SKAP1,195
SKP2,160
SLC25A24,211
SLC2A1,223
SLC2A8,206
SLC35B1,185
SLC35B2,204
SLC35C1,175
SLC38A2,216
SLC38A6,184
SLC39A7,202
SLC39A9,190
SLC4A1,254
SLC5A3,232
SLU7,223
SMARCC1,201
SMARCD1,225
SMC1A,172
SMC2,239
SMC3,201
SMU1,186
SNAPC2,194
SNRNP200,185
SNRNP40,188
SNRNP70,228
SNRPB2,184
SNRPC,197
SNRPD1,174
SNRPD2,189
SNRPD3,193
SNRPG,139
SNX32,199
SOCS1,195
SON,209
SPATA31A3,183
SPATA31A5,188
SPCS2,200
SPCS3,225
SPEN,200
SPHK2,226
SPRR2A,228
SPRR2B,241
SRP19,237
SRP54,249
SRP68,237
SRP72,199
SRPRA,199
SRPRB,226
SRSF3,190
SRSF7,170
SRSF8,350
SSBP3,194
SSX2IP,231
STAT5B,170
STK40,184
STMN1,213
STT3A,245
STT3B,213
STX5,199
STX8,191
STXBP1,213
STXBP3,213
SUV39H1,203
SYPL2,194
SYVN1,215
TAB2,184
TAF12,149
TAF1B,239
TAF6,184
TARDBP,200
TARS,187
TAS2R40,158
TBC1D3B,173
TBC1D3G,172
TBL3,264
TBP,208
TBPL1,181
TCP1,180
TEFM,219
TELO2,230
TERF1,211
TERF2,171
TERF2IP,242
TFIP11,207
TGFBR1,233
THG1L,204
THOC3,246
THOC7,204
THRA,221
TICAM1,158
TIMELESS,181
TIMM17B,225
TIMM23,157
TIMM44,174
TIPARP,194
TIPIN,212
TLR2,207
TLR3,197
TM2D2,183
TM7SF3,194
TMA16,191
TMED10,214
TMED2,199
TMED4,196
TMEM167A,200
TMEM63B,255
TMOD4,197
TMX2,218
TNFRSF1A,259
TNRC6A,192
TOMM20,190
TONSL,179
TOR2A,207
TPT1,183
TRAPPC11,232
TRAPPC2L,168
TRAPPC4,181
TRIM33,222
TRIM43,190
TRPC1,221
TSC1,237
TSC2,242
TSEN2,182
TSPAN31,166
TSR1,142
TSR2,166
TTI1,256
TTI2,223
TTN,199
TUBA1A,210
TUBB8,200
TUBGCP6,203
TWF1,198
TWSG1,206
TYK2,192
UBA52,214
UBAP2L,198
UBC,204
UBE2D3,198
UBE2M,192
UBE2N,218
UBN1,230
UBR4,173
UFL1,203
UFM1,202
UFSP2,214
UGT3A2,219
UHRF1,226
UQCC2,200
URB2,237
URM1,189
USH1G,177
USP10,179
USP14,211
USP17L12,218
USP17L5,192
USP18,225
USP36,194
USP39,175
UTP14A,221
VAMP2,199
VAMP4,156
VARS2,247
VMP1,185
VPS25,157
VPS26A,225
VPS29,198
VTI1A,211
VTI1B,185
VWA7,239
WASL,261
WBP4,223
WDR12,184
WDR36,172
WDR73,226
WRB,209
XAB2,222
XPO1,169
XPR1,181
XRN1,201
YAE1,189
YIPF5,239
ZBED2,202
ZBTB39,225
ZBTB7B,186
ZC3H4,231
ZCCHC9,231
ZFP69B,197
ZFR,152
ZMYM3,179
ZNF131,213
ZNF219,210
ZNF496,242
ZNF574,168
ZNF593,221
ZNF638,188
ZNF704,194
ZNRD1,171
ZRSR2,213
ZZZ3,193
