unit,split,entity_id,rank_low_to_high,rank_percentile,component_index,n_components,biological_category,category_color
Reporter,Whole-screen,nuclei_nucleolive_live_cell_dye,4,9.09090909090909,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,nucleolus-dfc_fbl,5,12.121212121212121,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,er_golgi_cope,6,15.151515151515152,1,1,ER/Golgi,#4F9A70
Reporter,Whole-screen,oxidative_stress_cellrox_live-cell_dye,7,18.18181818181818,1,1,Signaling,#7B6597
Reporter,Whole-screen,cell_proliferation_marker_mki67,8,21.21212121212121,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,caspase_activity_cellevent-caspase_live-cell_dye,9,24.242424242424242,1,1,Stress/PQC,#CC79A7
Reporter,Whole-screen,trans-golgi_vamp3,10,27.272727272727273,1,1,ER/Golgi,#4F9A70
Reporter,Whole-screen,proteasome_psmb7,11,30.303030303030305,1,1,Stress/PQC,#CC79A7
Reporter,Whole-screen,mitochondria_tomm70a,12,33.333333333333336,1,1,Mitochondria,#C85A3C
Reporter,Whole-screen,nuclear_speckles_srrm2,13,36.36363636363636,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,chromalive_488_excitation,14,39.39393939393939,1,1,Mitochondria,#C85A3C
Reporter,Whole-screen,peroxisome_peroxi_spy650_live_cell_dye,15,42.42424242424242,1,1,Peroxisome,#D56C75
Reporter,Whole-screen,mitochondria_chromalive_561_excitation,16,45.45454545454545,1,1,Mitochondria,#C85A3C
Reporter,Whole-screen,nucleolus-gc_npm3,17,48.484848484848484,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,autophagosome_map1lc3b,18,51.515151515151516,1,1,Lysosome,#E8943A
Reporter,Whole-screen,autophagosome_atg101,19,54.54545454545455,1,1,Lysosome,#E8943A
Reporter,Whole-screen,chromatin_h2bc21,20,57.57575757575758,1,1,Nucleus,#3E6F9C
Reporter,Whole-screen,plasma_membrane_atp1b3,21,60.60606060606061,1,1,Plasma Membrane,#9C8C72
Reporter,Whole-screen,lysosome_lamp1,22,63.63636363636363,1,1,Lysosome,#E8943A
Reporter,Whole-screen,5xupre,23,66.66666666666667,1,1,Stress/PQC,#CC79A7
Reporter,Whole-screen,chaperones_hspa1b,24,69.6969696969697,1,1,Stress/PQC,#CC79A7
Reporter,Whole-screen,endosome_vps35,25,72.72727272727272,1,1,Endosome,#C6A16A
Reporter,Whole-screen,er_golgi_bridge_vapa,26,75.75757575757575,1,1,ER/Golgi,#4F9A70
Reporter,Whole-screen,recycling_endosome_tfrc,27,78.78787878787878,1,1,Endosome,#C6A16A
Reporter,Whole-screen,er_sec61b,28,81.81818181818181,1,1,ER/Golgi,#4F9A70
Reporter,Whole-screen,actin_filament_fastact_spy555_live_cell_dye,29,84.84848484848484,1,1,Cytoskeleton,#4FA7B8
Reporter,Whole-screen,late_endosome_rab7a,30,87.87878787878788,1,1,Endosome,#C6A16A
Reporter,Whole-screen,clathrin_vesicles_clta,31,90.9090909090909,1,1,Lysosome,#E8943A
Reporter,Whole-screen,lipid_droplet_bodipy_live_cell_dye,32,93.93939393939394,1,1,Lysosome,#E8943A
Reporter,Whole-screen,plasma_membrane_slc3a2,33,96.96969696969697,1,1,Plasma Membrane,#9C8C72
Reporter,Whole-screen,lysosome_lysotracker_live-cell_dye,34,100.0,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0067,1,0.0,1,1,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0070,2,1.3888888888888888,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0041,3,2.7777777777777777,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0077,4,4.166666666666666,1,1,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0073,5,5.555555555555555,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0052,6,6.944444444444445,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0050,7,8.333333333333332,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0059,8,9.722222222222221,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0053,9,11.11111111111111,1,1,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0029,10,12.5,1,1,Stress/PQC,#CC79A7
Physical screen,Field,Biohub_OPS0069,11,13.88888888888889,1,2,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0069,11,13.88888888888889,2,2,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,1,5,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,2,5,Cytoskeleton,#4FA7B8
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,3,5,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,4,5,Plasma Membrane,#9C8C72
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,5,5,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0054,13,16.666666666666664,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0017,14,18.055555555555554,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0023,15,19.444444444444443,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0016,16,20.833333333333332,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0068,17,22.22222222222222,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0002,18,23.61111111111111,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0031,19,25.0,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0045,20,26.38888888888889,1,2,Peroxisome,#D56C75
Physical screen,Field,Biohub_OPS0045,20,26.38888888888889,2,2,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0071,21,27.77777777777778,1,1,Plasma Membrane,#9C8C72
Physical screen,Field,Biohub_OPS0064,22,29.166666666666664,1,2,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0064,22,29.166666666666664,2,2,Signaling,#7B6597
Physical screen,Field,Biohub_OPS0036,23,30.555555555555554,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0032,24,31.944444444444443,1,1,Plasma Membrane,#9C8C72
Physical screen,Field,Biohub_OPS0011,25,33.33333333333333,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0030,26,34.72222222222222,1,1,ER/Golgi,#4F9A70
Physical screen,Field,Biohub_OPS0015,27,36.11111111111111,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0061,28,37.5,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0051,29,38.888888888888886,1,1,Mitochondria,#C85A3C
Physical screen,Field,Biohub_OPS0022,30,40.27777777777778,1,1,Lysosome,#E8943A
Physical screen,Field,Biohub_OPS0057,31,41.666666666666664,1,2,Peroxisome,#D56C75
Physical screen,Field,Biohub_OPS0057,31,41.666666666666664,2,2,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0062,32,43.05555555555556,1,1,Nucleus,#3E6F9C
Physical screen,Field,Biohub_OPS0013,33,44.44444444444444,1,1,Endosome,#C6A16A
