split,split_label,reporter_slug,consensus_ko_pearson,q25,q75,n_methods,difficulty,short_name,biological_category,category_color
gene_holdout_main,Gene,early_endosome_eea1,0.9192501720041035,0.9145756161461275,0.9234289634972809,10,Readable (≥0.75),EEA1,Endosome,#C6A16A
gene_holdout_main,Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7449175643424193,0.7266519443442423,0.7562059038008252,10,Intermediate (0.60–0.75),pHrodo-dextran Live Cell Dye,Signaling,#7B6597
gene_holdout_main,Gene,endosome_vps35,0.8163044809053341,0.7986032559225956,0.8296439240997037,10,Readable (≥0.75),VPS35,Endosome,#C6A16A
gene_holdout_main,Gene,er_cona,0.7051554984102646,0.6820435637608171,0.709444848375602,10,Intermediate (0.60–0.75),ConA*,ER/Golgi,#4F9A70
gene_holdout_main,Gene,er_golgi_bridge_vapa,0.7998845250656208,0.7831930870190262,0.8127946112304926,10,Readable (≥0.75),VAPA,ER/Golgi,#4F9A70
gene_holdout_main,Gene,er_golgi_cop-ii_sec23a,0.9248014762997626,0.9200777353097996,0.9328322686254978,10,Readable (≥0.75),SEC23A,ER/Golgi,#4F9A70
gene_holdout_main,Gene,er_golgi_cope,0.8243623409420252,0.8170432231078546,0.8316384548942248,10,Readable (≥0.75),COPE,ER/Golgi,#4F9A70
gene_holdout_main,Gene,er_ncln,0.6531121644501885,0.6375740223408987,0.656618180933098,10,Intermediate (0.60–0.75),NCLN,ER/Golgi,#4F9A70
gene_holdout_main,Gene,er_sec61b,0.8011578214665254,0.7996831960976124,0.8083122065290809,10,Readable (≥0.75),SEC61B,ER/Golgi,#4F9A70
gene_holdout_main,Gene,f-actin_phalloidin,0.7399577975273133,0.7194705490643779,0.745590595735444,10,Intermediate (0.60–0.75),Phalloidin*,Cytoskeleton,#4FA7B8
gene_holdout_main,Gene,fe2+_ferhonox_live-cell_dye,0.871222957285742,0.7575910921567507,0.9037201910590134,10,Readable (≥0.75),FeRhoNox live-cell dye,Signaling,#7B6597
gene_holdout_main,Gene,late_endosome_rab7a,0.9105539268503586,0.8602927477409442,0.9163275976975759,10,Readable (≥0.75),RAB7A,Endosome,#C6A16A
gene_holdout_main,Gene,lipid_droplet_bodipy_live_cell_dye,0.9148503104845682,0.9103921910127004,0.9237137917429208,10,Readable (≥0.75),BODIPY live cell dye,Lysosome,#E8943A
gene_holdout_main,Gene,lipid_droplet_plin2,0.697941415819029,0.6840829837446413,0.7034096801032623,10,Intermediate (0.60–0.75),PLIN2,Lysosome,#E8943A
gene_holdout_main,Gene,lysosome_lamp1,0.7367389331261318,0.7267673581838607,0.7457144187763333,10,Intermediate (0.60–0.75),LAMP1,Lysosome,#E8943A
