unit,split,entity_id,rank_low_to_high,rank_percentile,consensus_ko_pearson,q25,q75,difficulty
Reporter,Whole-screen,er_sec61b,28,81.81818181818181,0.8546146448287699,0.8529923264351156,0.8598995066972243,Readable (≥0.75)
Reporter,Whole-screen,actin_filament_fastact_spy555_live_cell_dye,29,84.84848484848484,0.8885264580448469,0.8578695320213834,0.8966472494726379,Readable (≥0.75)
Reporter,Whole-screen,late_endosome_rab7a,30,87.87878787878788,0.893985403701663,0.8286504774975281,0.9030035533942284,Readable (≥0.75)
Reporter,Whole-screen,clathrin_vesicles_clta,31,90.9090909090909,0.9023128344366949,0.886900493564705,0.9099195337233444,Readable (≥0.75)
Reporter,Whole-screen,lipid_droplet_bodipy_live_cell_dye,32,93.93939393939394,0.9104310795664786,0.8881930664647371,0.9196743997745216,Readable (≥0.75)
Reporter,Whole-screen,plasma_membrane_slc3a2,33,96.96969696969697,0.9157658194502196,0.9142309355859956,0.9181785459319752,Readable (≥0.75)
Reporter,Whole-screen,lysosome_lysotracker_live-cell_dye,34,100.0,0.917007711612516,0.8876327702568637,0.9246373994068966,Readable (≥0.75)
Physical screen,Field,Biohub_OPS0067,1,0.0,0.3429935134456179,0.2203076418600819,0.3970620155685666,Hard (<0.60)
Physical screen,Field,Biohub_OPS0070,2,1.3888888888888888,0.4639248541986391,0.432344279428556,0.4713269027970629,Hard (<0.60)
Physical screen,Field,Biohub_OPS0041,3,2.7777777777777777,0.4856873759334364,0.4633487106993846,0.5132593226911328,Hard (<0.60)
Physical screen,Field,Biohub_OPS0077,4,4.166666666666666,0.4876151833013956,0.4660514010644002,0.5004133275840951,Hard (<0.60)
Physical screen,Field,Biohub_OPS0073,5,5.555555555555555,0.5063320709561072,0.4505652065352495,0.5145614069824,Hard (<0.60)
Physical screen,Field,Biohub_OPS0052,6,6.944444444444445,0.570571920137315,0.5572679490640449,0.5770305567159897,Hard (<0.60)
Physical screen,Field,Biohub_OPS0050,7,8.333333333333332,0.5715652433235345,0.522748058717926,0.5813648851199644,Hard (<0.60)
Physical screen,Field,Biohub_OPS0059,8,9.722222222222221,0.5745593136373095,0.5410429152994158,0.5855451177344223,Hard (<0.60)
Physical screen,Field,Biohub_OPS0053,9,11.11111111111111,0.6005871816295308,0.5168806001890462,0.6474754609140968,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0029,10,12.5,0.6006190228247255,0.580604802834958,0.6135110530079044,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0069,11,13.88888888888889,0.609706061419075,0.5950062604447993,0.6219235531658521,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0043,12,15.277777777777777,0.6231111977271855,0.5906882855599104,0.6302213084865644,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0054,13,16.666666666666664,0.6283452626029964,0.5950776885757382,0.6328913592971903,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0017,14,18.055555555555554,0.6296578485898363,0.5542039615405665,0.6457925831311331,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0023,15,19.444444444444443,0.6381710567112455,0.5528684347112747,0.6555531027066122,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0016,16,20.833333333333332,0.6386776046616307,0.6249112805389214,0.6516751817573276,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0068,17,22.22222222222222,0.6388613652239372,0.6185779017306674,0.6500845798411683,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0002,18,23.61111111111111,0.6400634605145734,0.6205340986679149,0.6489154060826957,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0031,19,25.0,0.6446953749010136,0.6206899863157408,0.6571491272129323,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0045,20,26.38888888888889,0.6468140122442205,0.6350495718296714,0.6644295324279618,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0071,21,27.77777777777778,0.650234040822339,0.6354680482048108,0.6598900034999349,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0064,22,29.166666666666664,0.6685422447363649,0.6527269191198676,0.6805935560760218,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0036,23,30.555555555555554,0.6742187421237102,0.6388584834187873,0.7059468147505998,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0032,24,31.944444444444443,0.6797541762115069,0.6607285003641615,0.6857496203330965,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0011,25,33.33333333333333,0.683006984744972,0.6658210644697926,0.688668612200418,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0030,26,34.72222222222222,0.6914413726264086,0.6687296246888349,0.700468225721851,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0015,27,36.11111111111111,0.6944264027850796,0.6691333077736291,0.7056434742144171,Intermediate (0.60–0.75)
Physical screen,Field,Biohub_OPS0061,28,37.5,0.6968953560334372,0.6384137823867302,0.7206620249360336,Intermediate (0.60–0.75)
