reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
5xupre,5xUPRE,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7517535811802964,0.4085795923758126,0.8645021285021286,0.9062944168398185,0.9,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
f-actin_phalloidin,Phalloidin*,checkpoint_average,coherent_median_ensemble,common_control,0.7509903596059766,0.3996475172727066,0.7647367407367408,0.5555329806518493,0.62,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
f-actin_phalloidin,Phalloidin*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7509903596059766,0.3996475172727066,0.7602554322554324,0.557273134453728,0.62,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_tomm70a,TOMM70A,checkpoint_average,coherent_median_ensemble,common_control,0.749968655494523,0.3915349809035072,0.8310551190551191,0.8071671781490796,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_tomm70a,TOMM70A,checkpoint_average,coherent_median_ensemble,fold_standardized,0.749968655494523,0.3915349809035072,0.8202818682818683,0.795161103050134,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lamp1,LAMP1,checkpoint_average,coherent_median_ensemble,common_control,0.7512566414208901,0.4475988330251703,0.8246867246867248,0.7882504923139583,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lamp1,LAMP1,checkpoint_average,coherent_median_ensemble,fold_standardized,0.7512566414208901,0.4475988330251703,0.7986688026688027,0.757354124033673,0.76,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_atg101,ATG101,checkpoint_average,coherent_median_ensemble,common_control,0.713638245878343,0.5696557950339326,0.7562580362580363,0.7354794724560443,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_atg101,ATG101,checkpoint_average,coherent_median_ensemble,fold_standardized,0.713638245878343,0.5696557950339326,0.733038793038793,0.7414088494395682,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
nuclear_speckles_srrm2,SRRM2,checkpoint_average,coherent_median_ensemble,common_control,0.8655536303560419,0.619391207547443,0.8712907272907273,0.49521327371758384,0.76,1000,1,1,ranking_proxy,True,True,True,True,False,True,True,True,False,variance_lower,
