reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.9095895901510407,0.6070291514177555,0.93401305001305,0.7370803755819273,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9095895901510407,0.6070291514177555,0.9484977244977244,0.8682858749579403,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
recycling_endosome_tfrc,TFRC,checkpoint_average,coherent_median_ensemble,common_control,0.8749470277911987,0.591056052462748,0.9551779391779394,1.0244270122384225,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
recycling_endosome_tfrc,TFRC,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8749470277911987,0.591056052462748,0.9598101838101838,1.0143240746978819,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cope,COPE,checkpoint_average,coherent_median_ensemble,common_control,0.8337829869186318,0.5671140969254439,0.854032154032154,0.7655537577096397,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cope,COPE,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8337829869186318,0.5671140969254439,0.8362680082680084,0.7593873665218499,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chaperones_hspa1b,HSPA1B,checkpoint_average,coherent_median_ensemble,common_control,0.8331724455604631,0.3807492021518412,0.8072720072720073,0.932221391997017,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chaperones_hspa1b,HSPA1B,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8331724455604631,0.3807492021518412,0.7931460851460852,0.9325343748835577,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
nucleolus-gc_npm3,NPM3,checkpoint_average,coherent_median_ensemble,common_control,0.834533551741744,0.4003235836780205,0.8472391992391993,0.8011097295184371,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
nucleolus-gc_npm3,NPM3,checkpoint_average,coherent_median_ensemble,fold_standardized,0.834533551741744,0.4003235836780205,0.8653869733869736,0.8099316442956984,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
