reporter_slug,short_name,run_state,biological_category,reliability,historical_reference_tier,method_id,method,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
plasma_membrane_atp1b3,ATP1B3,checkpoint_average,Plasma Membrane,0.5016975413704213,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.749630705267191,0.787051375051375,0.810088999533144,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_atp1b3,ATP1B3,checkpoint_average,Plasma Membrane,0.5016975413704213,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7470747082712734,0.787051375051375,0.810088999533144,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,checkpoint_average,Signaling,0.4110300664564122,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7449175643424193,0.7996151716151716,0.9039930888567946,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,checkpoint_average,Signaling,0.4110300664564122,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7447072662989895,0.7996151716151716,0.9039930888567946,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
5xupre,5xUPRE,checkpoint_average,Stress/PQC,0.4085795923758126,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7441053985059262,0.8691121491121492,0.901870450508552,0.9,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
5xupre,5xUPRE,checkpoint_average,Stress/PQC,0.4085795923758126,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7434431840420934,0.8691121491121492,0.901870450508552,0.9,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
f-actin_phalloidin,Phalloidin*,checkpoint_average,Cytoskeleton,0.3996475172727066,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7399577975273133,0.7647367407367408,0.5555329806518493,0.62,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
f-actin_phalloidin,Phalloidin*,checkpoint_average,Cytoskeleton,0.3996475172727066,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.739975959274035,0.7647367407367408,0.5555329806518493,0.62,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_tomm70a,TOMM70A,checkpoint_average,Mitochondria,0.3915349809035072,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7389631509780884,0.8310551190551191,0.8071671781490796,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_tomm70a,TOMM70A,checkpoint_average,Mitochondria,0.3915349809035072,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7384011925481099,0.8310551190551191,0.8071671781490796,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lamp1,LAMP1,checkpoint_average,Lysosome,0.4475988330251703,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7367389331261318,0.8246867246867248,0.7882504923139584,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lamp1,LAMP1,checkpoint_average,Lysosome,0.4475988330251703,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7369207715768524,0.8246867246867248,0.7882504923139584,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_atg101,ATG101,checkpoint_average,Lysosome,0.5696557950339326,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7028304977342487,0.7562580362580363,0.7354794724560444,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_atg101,ATG101,checkpoint_average,Lysosome,0.5696557950339326,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.697480385348193,0.7562580362580363,0.7354794724560444,0.8,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
nuclear_speckles_srrm2,SRRM2,checkpoint_average,Nucleus,0.619391207547443,ranking_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.8493885807693005,0.8712907272907273,0.4952132737175836,0.76,1000,1,1,ranking_proxy,True,True,True,True,False,True,True,True,False,variance_lower,
