reporter_slug,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,short_name,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson
chromatin_h2bc21,H2BC21,Nucleus,Biohub_OPS0064,1,5675,5220,1000,0.4037109928077084,0.0636267015819613,0.3518113895536324,0.1549218318671149,0.0950602389746204,0.172369637105645,0.3867026296492988,0.3803964923964924,0.6921494739751022,0.6804095184095185,0.5813837343206008,0.757968520745635,0.6299315237750609,H2BC21,Nucleus,-0.0658190467705328,-0.0485477894544601,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0658190467705328
chromatin_h2bc21,H2BC21,Nucleus,Biohub_OPS0069,1,5220,5675,1000,0.456364879576105,0.0695923041592916,0.296476075254249,0.1355046368745286,0.0862545911284843,0.1517925980724554,0.3826020236152616,0.3822895782895782,0.7489982694387436,0.7223465303465304,0.5814386935283741,0.757968520745635,0.6299315237750609,H2BC21,Nucleus,-0.0089702513068914,-0.0484928302466868,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0089702513068914
clathrin_vesicles_clta,CLTA,Lysosome,Biohub_OPS0018,1,5681,3042,1000,0.2929411705223074,0.1381653368208427,0.5142283071213487,0.3848112140629498,0.298266024990058,0.1975689215919649,0.3803026331924603,0.3982847902847903,0.8925102185457945,0.8913070533070533,0.8425355963408947,0.9066772521783908,0.8596285426368316,CLTA,Lysosome,-0.0141670336325964,-0.0170929462959369,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0141670336325964
clathrin_vesicles_clta,CLTA,Lysosome,Biohub_OPS0019,1,3042,5681,1000,0.258704496822468,0.1473192278117834,0.4326594307480595,0.3768033221992207,0.3900214392465586,0.1998665445164021,0.4453901976324838,0.4485129165129166,0.9189244968195756,0.9524707424707424,0.8484588234374921,0.9066772521783908,0.8596285426368316,CLTA,Lysosome,0.0122472446411846,-0.0111697191993395,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0122472446411846
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,Biohub_OPS0053,1,7540,4209,1000,1.7663368540949915,0.647347313295344,2.623537893133161,1.7013842433710764,1.4834784380189363,0.1273713156843827,0.3422375840255348,0.3270903390903391,0.3304604567044104,0.6965267225267224,0.297448076851045,0.7449175643424193,0.7997695931543907,pHrodo-dextran Live Cell Dye,Signaling,-0.4144571076380089,-0.5023215163033456,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.4144571076380089
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,Biohub_OPS0064,1,4209,7540,1000,18.53045215067856,0.5201880890981752,34.28802946574658,25.22050933790508,14.624208707675743,1.939811367686592,0.1978632202250278,0.2113608433608433,0.3070989734260365,0.3079083979083978,0.2221781116289397,0.7449175643424193,0.7997695931543907,pHrodo-dextran Live Cell Dye,Signaling,-0.4378185909163827,-0.577591481525451,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.4378185909163827
endosome_vps35,VPS35,Endosome,Biohub_OPS0013,1,4374,3536,1000,0.4821946742697098,0.2814632855611241,0.8926990597224218,1.23100502568152,1.0142193753033373,0.2196687329247222,0.1485502901995857,0.050021138021138,0.730993963778019,0.4394320694320693,0.6799874085312088,0.8163044809053341,0.8139576476067305,VPS35,Endosome,-0.0853105171273151,-0.1339702390755217,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0853105171273151
endosome_vps35,VPS35,Endosome,Biohub_OPS0025,1,3536,4374,1000,0.986119594224766,0.3344344812523699,1.745890707501201,2.432509311459261,1.6825887712758172,0.4545115141677083,0.3044424960392926,0.1433718953718954,0.7998951033999522,0.727962241962242,0.7180637484416366,0.8163044809053341,0.8139576476067305,VPS35,Endosome,-0.0164093775053819,-0.0958938991650939,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0164093775053819
er_golgi_bridge_vapa,VAPA,ER/Golgi,Biohub_OPS0020,1,6125,4642,1000,0.4235058771661271,0.2644495200140404,0.8024136400142337,0.0950334272151164,0.0853025025567712,0.1699467500706366,0.4464045486586016,0.388973872973873,0.8045435467114052,0.8813605013605014,0.7270160301898916,0.7998845250656208,0.7373763782903551,VAPA,ER/Golgi,0.0046590216457843,-0.0103603481004634,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0046590216457843
er_golgi_bridge_vapa,VAPA,ER/Golgi,Biohub_OPS0021,1,4642,6125,1000,0.3154713514463314,0.2593790547776069,0.5026164398945159,0.1069985704347911,0.0968311802992849,0.1602598411284952,0.4361062186080161,0.3840114000114,0.8006095308810472,0.7830850470850471,0.7373726594572266,0.7998845250656208,0.7373763782903551,VAPA,ER/Golgi,0.0007250058154264,-3.718833128441013e-06,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0007250058154264
er_golgi_cope,COPE,ER/Golgi,Biohub_OPS0023,1,5239,5937,1000,1.1427787911947531,0.3270111953895839,2.368135430423074,1.2530085024241986,0.952967028260461,0.1433475658636868,0.4100373363517856,0.3759168999168999,0.5082915561894575,0.658018978018978,0.3851340449570367,0.8243623409420252,0.8353784860422215,COPE,ER/Golgi,-0.3160707847525676,-0.4502444410851848,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.3160707847525676
er_golgi_cope,COPE,ER/Golgi,Biohub_OPS0074,1,5937,5239,1000,9.742973254323733,0.38458287893487,20.42595882304992,6.183460782924048,4.576825515387723,0.6915907697891766,0.3591089369361646,0.3434981954981955,0.4282196102042993,0.5495140055140055,0.3625954029460747,0.8243623409420252,0.8353784860422215,COPE,ER/Golgi,-0.3961427307377259,-0.4727830830961468,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.3961427307377259
