method_id,split,reporter_slug,metric,legacy_partition_median,corrected_partition_mean,n_partitions,mean_minus_legacy_median
catboost_multirmse,gene_holdout_main,clathrin_vesicles_clta,gene_macro_feature_pearson,0.9007809435327848,0.9050473429262638,5,0.004266399393478948
catboost_multirmse,gene_holdout_main,early_endosome_eea1,gene_macro_feature_pearson,0.919280024866263,0.9213477820158005,5,0.0020677571495374414
catboost_multirmse,gene_holdout_main,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,gene_macro_feature_pearson,0.7473523691296577,0.7465382352471351,5,-0.0008141338825226052
catboost_multirmse,gene_holdout_main,endosome_vps35,gene_macro_feature_pearson,0.8146566847960154,0.8167662858963013,5,0.002109601100285907
catboost_multirmse,gene_holdout_main,er_cona,gene_macro_feature_pearson,0.7036757518847784,0.7044975499312083,5,0.0008217980464299002
catboost_multirmse,gene_holdout_main,er_golgi_bridge_vapa,gene_macro_feature_pearson,0.8124568673471609,0.8051802605390549,5,-0.007276606808106045
catboost_multirmse,gene_holdout_main,er_golgi_cop-ii_sec23a,gene_macro_feature_pearson,0.9231337731083236,0.9238661025961241,5,0.0007323294878005537
catboost_multirmse,gene_holdout_main,er_golgi_cope,gene_macro_feature_pearson,0.8234020695090294,0.8248018515606722,5,0.0013997820516428172
catboost_multirmse,gene_holdout_main,er_ncln,gene_macro_feature_pearson,0.6499394178390503,0.657123943294088,5,0.007184525455037671
catboost_multirmse,gene_holdout_main,er_sec61b,gene_macro_feature_pearson,0.7924936773876349,0.8013500787317753,5,0.008856401344140452
catboost_multirmse,gene_holdout_main,f-actin_phalloidin,gene_macro_feature_pearson,0.7415951395200359,0.7380212187767029,5,-0.003573920743332959
catboost_multirmse,gene_holdout_main,fe2+_ferhonox_live-cell_dye,gene_macro_feature_pearson,0.9015016593039036,0.9037910985449951,5,0.0022894392410914843
catboost_multirmse,gene_holdout_main,late_endosome_rab7a,gene_macro_feature_pearson,0.9107998088002204,0.9115305915474892,5,0.0007307827472687878
catboost_multirmse,gene_holdout_main,lipid_droplet_bodipy_live_cell_dye,gene_macro_feature_pearson,0.9166759215295316,0.9133095048367977,5,-0.0033664166927338535
catboost_multirmse,gene_holdout_main,lipid_droplet_plin2,gene_macro_feature_pearson,0.7133008415500323,0.7035802006721497,5,-0.009720640877882603
catboost_multirmse,gene_holdout_main,lysosome_lamp1,gene_macro_feature_pearson,0.7443001059194406,0.7343881219625473,5,-0.0099119839568933
catboost_multirmse,gene_holdout_main,lysosome_lysotracker_live-cell_dye,gene_macro_feature_pearson,0.9276450462639332,0.9270110649367174,5,-0.0006339813272158157
catboost_multirmse,gene_holdout_main,microtubules_map4,gene_macro_feature_pearson,0.8229032382369041,0.8164603213469187,5,-0.006442916889985439
catboost_multirmse,gene_holdout_main,microtubules_tubulin,gene_macro_feature_pearson,0.7180240319834815,0.7189405300550991,5,0.000916498071617533
catboost_multirmse,gene_holdout_main,mitochondria_chromalive_561_excitation,gene_macro_feature_pearson,0.7882899368802706,0.7941682619353135,5,0.005878325055042932
catboost_multirmse,gene_holdout_main,mitochondria_tomm20,gene_macro_feature_pearson,0.6852050198035108,0.6810985234669513,5,-0.004106496336559462
catboost_multirmse,gene_holdout_main,mitochondria_tomm70a,gene_macro_feature_pearson,0.7329027839004993,0.7388504502673944,5,0.0059476663668950325
catboost_multirmse,gene_holdout_main,nuclear_speckles_srrm2,gene_macro_feature_pearson,0.8454426676034927,0.8425740500291189,5,-0.002868617574373844
catboost_multirmse,gene_holdout_main,nuclei_hoechst,gene_macro_feature_pearson,0.7308020144701004,0.7305000052849452,5,-0.00030200918515521646
catboost_multirmse,gene_holdout_main,nuclei_nucleolive_live_cell_dye,gene_macro_feature_pearson,0.7686519461373488,0.7674810943504174,5,-0.0011708517869313262
catboost_multirmse,gene_holdout_main,nucleoli_npm1,gene_macro_feature_pearson,0.5275920461863279,0.5380945293853681,5,0.010502483199040125
catboost_multirmse,gene_holdout_main,nucleolus-dfc_fbl,gene_macro_feature_pearson,0.7769105297823747,0.7747146368026734,5,-0.0021958929797013527
catboost_multirmse,gene_holdout_main,nucleolus-gc_npm3,gene_macro_feature_pearson,0.8166975378990173,0.8218879476189613,5,0.005190409719944
catboost_multirmse,gene_holdout_main,oxidative_stress_cellrox_live-cell_dye,gene_macro_feature_pearson,0.6601395147542158,0.6566238723695278,5,-0.0035156423846880447
catboost_multirmse,gene_holdout_main,p21,gene_macro_feature_pearson,0.6172370145718257,0.6118269871671995,5,-0.00541002740462615
catboost_multirmse,gene_holdout_main,p53,gene_macro_feature_pearson,0.5603295395771662,0.568398470679919,5,0.008068931102752752
catboost_multirmse,gene_holdout_main,peroxisome_peroxi_spy650_live_cell_dye,gene_macro_feature_pearson,0.798869059731563,0.8059369325637817,5,0.007067872832218769
catboost_multirmse,gene_holdout_main,plasma_membrane_atp1b3,gene_macro_feature_pearson,0.7475074616571268,0.746005596841375,5,-0.0015018648157517633
catboost_multirmse,gene_holdout_main,plasma_membrane_slc3a2,gene_macro_feature_pearson,0.9043656239906946,0.9070433348417282,5,0.0026777108510335212
catboost_multirmse,gene_holdout_main,plasma_membrane_wga,gene_macro_feature_pearson,0.7475728073881732,0.7415715503195922,5,-0.006001257068581012
catboost_multirmse,gene_holdout_main,prb,gene_macro_feature_pearson,0.2922673998090128,0.3815437397795419,5,0.08927633997052914
catboost_multirmse,gene_holdout_main,proteasome_psmb7,gene_macro_feature_pearson,0.5930806981244435,0.5862716905772686,5,-0.00680900754717495
catboost_multirmse,gene_holdout_main,ps6,gene_macro_feature_pearson,0.579547930136323,0.5795688781390588,5,2.0948002735776683e-05
catboost_multirmse,gene_holdout_main,recycling_endosome_tfrc,gene_macro_feature_pearson,0.8650923843185107,0.8635893871386846,5,-0.0015029971798260489
catboost_multirmse,gene_holdout_main,stress_granule_g3bp1,gene_macro_feature_pearson,0.9279992257555326,0.9265704517563185,5,-0.0014287739992141502
catboost_multirmse,gene_holdout_main,trans-golgi_vamp3,gene_macro_feature_pearson,0.660806148002545,0.6645764030516148,5,0.003770255049069804
catboost_multirmse,strict_whole_screen,5xupre,gene_macro_feature_pearson,0.7523552969098091,0.7497572854161262,6,-0.0025980114936828835
catboost_multirmse,strict_whole_screen,actin_filament_fastact_spy555_live_cell_dye,gene_macro_feature_pearson,0.8916624424358209,0.8876848352452118,5,-0.003977607190609134
catboost_multirmse,strict_whole_screen,autophagosome_atg101,gene_macro_feature_pearson,0.7046417320768038,0.7046417320768038,2,0.0
catboost_multirmse,strict_whole_screen,autophagosome_map1lc3b,gene_macro_feature_pearson,0.6922528153906266,0.6933489768093244,3,0.0010961614186978386
catboost_multirmse,strict_whole_screen,caspase_activity_cellevent-caspase_live-cell_dye,gene_macro_feature_pearson,0.5588302041093509,0.5588302041093509,2,0.0
catboost_multirmse,strict_whole_screen,cell_proliferation_marker_mki67,gene_macro_feature_pearson,0.5709485653787851,0.5709485653787851,2,0.0
catboost_multirmse,strict_whole_screen,chaperones_hspa1b,gene_macro_feature_pearson,0.76843284505109,0.76843284505109,2,0.0
catboost_multirmse,strict_whole_screen,chromalive_488_excitation,gene_macro_feature_pearson,0.6795905418694019,0.6795905418694019,2,0.0
catboost_multirmse,strict_whole_screen,chromatin_h2bc21,gene_macro_feature_pearson,0.7213396442433199,0.7213396442433199,2,0.0
catboost_multirmse,strict_whole_screen,clathrin_vesicles_clta,gene_macro_feature_pearson,0.9008204663793247,0.9008204663793247,2,0.0
catboost_multirmse,strict_whole_screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,gene_macro_feature_pearson,0.2907377466326579,0.2907377466326579,2,0.0
catboost_multirmse,strict_whole_screen,endosome_vps35,gene_macro_feature_pearson,0.7562186152984699,0.7562186152984699,2,0.0
catboost_multirmse,strict_whole_screen,er_golgi_bridge_vapa,gene_macro_feature_pearson,0.8033495613684257,0.8033495613684257,2,0.0
catboost_multirmse,strict_whole_screen,er_golgi_cope,gene_macro_feature_pearson,0.42042891910144436,0.42042891910144436,2,0.0
catboost_multirmse,strict_whole_screen,er_sec61b,gene_macro_feature_pearson,0.8556433785706758,0.8539445100145208,6,-0.0016988685561550865
