reporter_slug,short_name,biological_category_y,n_directions,minimum,median,maximum,metric,metric_label,range,status,reporter_order,display_label
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,2,0.4643112743112743,0.562037125037125,0.6597629757629757,consensus10_strict_magnitude_spearman,Rank across screens,0.19545170145170143,stable_below,22,ChromaLIVE 488
mitochondria_tomm70a,TOMM70A,Mitochondria,2,0.5623109696510558,0.5987247811669173,0.6351385926827788,consensus10_strict_gene_pearson,Recovery across screens,0.07282762303172308,stable_below,23,TOMM70A
mitochondria_tomm70a,TOMM70A,Mitochondria,2,0.4949131349131349,0.5510931950931951,0.6072732552732553,consensus10_strict_magnitude_spearman,Rank across screens,0.11236012036012039,stable_below,23,TOMM70A
trans-golgi_vamp3,VAMP3,ER/Golgi,2,0.5533793956662219,0.5598492817177128,0.5663191677692035,consensus10_strict_gene_pearson,Recovery across screens,0.012939772102981695,stable_below,24,VAMP3
trans-golgi_vamp3,VAMP3,ER/Golgi,2,0.4807800547800547,0.5146880476880477,0.5485960405960406,consensus10_strict_magnitude_spearman,Rank across screens,0.06781598581598591,stable_below,24,VAMP3
er_golgi_cope,COPE,ER/Golgi,2,0.4282196102042993,0.46825558319687843,0.5082915561894575,consensus10_strict_gene_pearson,Recovery across screens,0.08007194598515827,stable_below,25,COPE
er_golgi_cope,COPE,ER/Golgi,2,0.5495140055140055,0.6037664917664918,0.658018978018978,consensus10_strict_magnitude_spearman,Rank across screens,0.10850497250497249,stable_below,25,COPE
cell_proliferation_marker_mki67,MKI67*,Nucleus,2,0.5436262895042697,0.553883068729192,0.5641398479541143,consensus10_strict_gene_pearson,Recovery across screens,0.020513558449844593,stable_below,26,MKI67*
cell_proliferation_marker_mki67,MKI67*,Nucleus,2,0.5137677457677458,0.5162997002997003,0.5188316548316548,consensus10_strict_magnitude_spearman,Rank across screens,0.005063909063909078,stable_below,26,MKI67*
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Nucleus,2,0.415945016691694,0.42630748808733177,0.4366699594829696,consensus10_strict_gene_pearson,Recovery across screens,0.020724942791275625,stable_below,27,NucleoLIVE
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Nucleus,2,0.5043559683559684,0.6432010362010363,0.7820461040461041,consensus10_strict_magnitude_spearman,Rank across screens,0.2776901356901357,crosses_gate,27,NucleoLIVE
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,2,0.5395899851185579,0.5509695840689043,0.5623491830192506,consensus10_strict_gene_pearson,Recovery across screens,0.022759197900692696,stable_below,28,CellEvent-Caspase
