reporter_slug,short_name,display_label,biological_category,destination_screen,display_screen,metric,metric_label,value,reporter_order,status
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,ChromaLIVE 561,Mitochondria,Biohub_OPS0075,OPS0075,consensus10_strict_gene_pearson,Recovery across screens,0.7076871457199256,10,stable_above
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,ChromaLIVE 561,Mitochondria,Biohub_OPS0063,OPS0063,consensus10_strict_magnitude_spearman,Rank across screens,0.8614268147192823,10,stable_above
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,ChromaLIVE 561,Mitochondria,Biohub_OPS0075,OPS0075,consensus10_strict_magnitude_spearman,Rank across screens,0.8596380376380377,10,stable_above
lysosome_lamp1,LAMP1,LAMP1,Lysosome,Biohub_OPS0011,OPS0011,consensus10_strict_gene_pearson,Recovery across screens,0.7118165741364161,11,stable_above
lysosome_lamp1,LAMP1,LAMP1,Lysosome,Biohub_OPS0012,OPS0012,consensus10_strict_gene_pearson,Recovery across screens,0.7942256039629381,11,stable_above
lysosome_lamp1,LAMP1,LAMP1,Lysosome,Biohub_OPS0011,OPS0011,consensus10_strict_magnitude_spearman,Rank across screens,0.7314129474129474,11,stable_above
lysosome_lamp1,LAMP1,LAMP1,Lysosome,Biohub_OPS0012,OPS0012,consensus10_strict_magnitude_spearman,Rank across screens,0.7927170067170067,11,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0001,OPS0001,consensus10_strict_gene_pearson,Recovery across screens,0.78638836145401,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0005,OPS0005,consensus10_strict_gene_pearson,Recovery across screens,0.7781560339033604,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0006,OPS0006,consensus10_strict_gene_pearson,Recovery across screens,0.7539705835282802,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0007,OPS0007,consensus10_strict_gene_pearson,Recovery across screens,0.7097535341978074,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0008,OPS0008,consensus10_strict_gene_pearson,Recovery across screens,0.7534272700548172,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0009,OPS0009,consensus10_strict_gene_pearson,Recovery across screens,0.741415198147297,12,stable_above
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0001,OPS0001,consensus10_strict_magnitude_spearman,Rank across screens,0.7867109107109107,12,crosses_gate
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0005,OPS0005,consensus10_strict_magnitude_spearman,Rank across screens,0.744981288981289,12,crosses_gate
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0006,OPS0006,consensus10_strict_magnitude_spearman,Rank across screens,0.7093777873777873,12,crosses_gate
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0007,OPS0007,consensus10_strict_magnitude_spearman,Rank across screens,0.755059727059727,12,crosses_gate
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0008,OPS0008,consensus10_strict_magnitude_spearman,Rank across screens,0.733942963942964,12,crosses_gate
5xupre,5xUPRE,5xUPRE,Stress/PQC,Biohub_OPS0009,OPS0009,consensus10_strict_magnitude_spearman,Rank across screens,0.6746746826746827,12,crosses_gate
plasma_membrane_atp1b3,ATP1B3,ATP1B3,Plasma Membrane,Biohub_OPS0032,OPS0032,consensus10_strict_gene_pearson,Recovery across screens,0.7578725991770625,13,stable_above
plasma_membrane_atp1b3,ATP1B3,ATP1B3,Plasma Membrane,Biohub_OPS0071,OPS0071,consensus10_strict_gene_pearson,Recovery across screens,0.7461572575072447,13,stable_above
plasma_membrane_atp1b3,ATP1B3,ATP1B3,Plasma Membrane,Biohub_OPS0032,OPS0032,consensus10_strict_magnitude_spearman,Rank across screens,0.7548782628782629,13,stable_above
plasma_membrane_atp1b3,ATP1B3,ATP1B3,Plasma Membrane,Biohub_OPS0071,OPS0071,consensus10_strict_magnitude_spearman,Rank across screens,0.7063984123984124,13,stable_above
