gene,mean_response_percentile
IDH3B,0.40349999999999997
IER3IP1,0.34732692307692314
IGBP1,0.4321538461538462
ILF3,0.3763076923076923
IMP4,0.55775
IMPA2,0.41588461538461535
IMPDH1,0.45123076923076916
IMPDH2,0.4386153846153845
INCENP,0.8675000000000002
INO80D,0.5157884615384616
INO80E,0.4432692307692308
INPPL1,0.4329230769230769
INTS1,0.44680769230769235
INTS10,0.36542307692307696
INTS11,0.4603653846153847
INTS2,0.543
INTS5,0.5193653846153846
INTS7,0.4184807692307692
ITGB1,0.5147692307692308
ITPR1,0.3322692307692308
IVL,0.3253076923076923
IZUMO2,0.3140192307692308
JUNB,0.3258653846153846
KANSL1,0.5023653846153846
KATNBL1,0.4629615384615384
KCNG1,0.28569230769230775
KCNG4,0.37823076923076926
KCTD16,0.47384615384615386
KDM4A,0.3307307692307692
KDM6A,0.3259038461538462
KIAA1958,0.43101923076923077
KIF11,0.8995384615384616
KIF14,0.4589807692307692
KIF17,0.32990384615384616
KIF20A,0.48778846153846156
KIF23,0.9670769230769231
KIN,0.4033846153846155
KLHL7,0.3718076923076923
KPNB1,0.7991153846153847
KRAS,0.5200384615384614
KRI1,0.3248076923076923
KRT10,0.4322692307692308
KRT18,0.9511153846153846
KRT8,0.47796153846153844
KRTAP2-3,0.6528076923076921
KRTAP2-4,0.58725
KRTAP4-2,0.7217692307692308
LAMTOR1,0.3632692307692308
LAMTOR2,0.4835384615384616
LAMTOR3,0.3258653846153846
LAMTOR4,0.3420192307692308
LARP7,0.32296153846153847
LARS,0.37734615384615383
LCE3A,0.43861538461538463
LDLR,0.4855
LENG8,0.5919615384615385
LIAS,0.5561923076923077
LIMD2,0.47973076923076924
LIMS1,0.7459807692307692
LIN37,0.5423653846153846
LIN9,0.4223846153846154
LMX1B,0.3761730769230768
LRP1B,0.3670961538461538
LSM4,0.5063269230769232
LSM5,0.6128461538461538
LSM6,0.6803269230769231
LTB4R,0.5042115384615384
LTN1,0.31103846153846154
LTV1,0.5634038461538462
LYPD2,0.7180961538461539
LYSMD1,0.4565769230769231
MAD2L2,0.3579423076923077
MAFA,0.3751346153846154
MANF,0.3842884615384615
MAP2K7,0.3379807692307693
MAP7D1,0.3487884615384616
MAPK1,0.3286346153846154
MAPRE3,0.4664807692307692
MARS,0.3764615384615384
MAX,0.4468653846153845
MBD5,0.34769230769230774
MBTD1,0.4591730769230769
MCEE,0.5011153846153846
