method_id,method,split,reporter_slug,cell_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,gene_holdout_main,chromatin_h2bc21,0.6254757496217886,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,clathrin_vesicles_clta,0.8580331427355607,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,early_endosome_eea1,0.823903072377046,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.8004328002532324,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,endosome_vps35,0.8139235369861126,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_cona,0.5494051306611961,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_bridge_vapa,0.741213640322288,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_cop-ii_sec23a,0.8350039660930634,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_cope,0.8347918252150219,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_ncln,0.5506166737526655,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_sec61b,0.7428780063986778,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,f-actin_phalloidin,0.5885968511717187,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,fe2+_ferhonox_live-cell_dye,0.9526462366183599,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,late_endosome_rab7a,0.8767115888496241,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lipid_droplet_bodipy_live_cell_dye,0.8522512711584568,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lipid_droplet_plin2,0.8210181700686613,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lysosome_lamp1,0.7206105083227158,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lysosome_lysotracker_live-cell_dye,0.8755148085455099,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,microtubules_map4,0.7185086396833261,Gene,#79A8C9,3,Classical tabular
