target,test,replicate_or_draw,pearson_r,statistical_role
NPM1,Random cell halves,30,0.1946477024773032,resampling draw
NPM1,Random cell halves,31,0.1968067245501656,resampling draw
NPM1,Random cell halves,32,0.2197702523363515,resampling draw
NPM1,Random cell halves,33,0.2003628101839845,resampling draw
NPM1,Random cell halves,34,0.2125716194047363,resampling draw
NPM1,Random cell halves,35,0.1659794245542698,resampling draw
NPM1,Random cell halves,36,0.1978391262416022,resampling draw
NPM1,Random cell halves,37,0.1719933077653587,resampling draw
NPM1,Random cell halves,38,0.1875793663369646,resampling draw
NPM1,Random cell halves,39,0.1872094001394622,resampling draw
NPM1,Random cell halves,40,0.1897498387382304,resampling draw
NPM1,Random cell halves,41,0.2194300031964359,resampling draw
NPM1,Random cell halves,42,0.1977721825061323,resampling draw
NPM1,Random cell halves,43,0.1962237357191417,resampling draw
NPM1,Random cell halves,44,0.2013570194908363,resampling draw
NPM1,Random cell halves,45,0.1865732536239606,resampling draw
NPM1,Random cell halves,46,0.208304160490956,resampling draw
NPM1,Random cell halves,47,0.1653232104474143,resampling draw
NPM1,Random cell halves,48,0.1836171806298764,resampling draw
NPM1,Random cell halves,49,0.1800392819656625,resampling draw
NPM1,Random cell halves,50,0.2220982064139544,resampling draw
NPM1,Random cell halves,51,0.1549149962272486,resampling draw
NPM1,Random cell halves,52,0.2048524703564961,resampling draw
NPM1,Random cell halves,53,0.1834124591493421,resampling draw
NPM1,Random cell halves,54,0.2316146421590931,resampling draw
NPM1,Random cell halves,55,0.1938882471869664,resampling draw
NPM1,Random cell halves,56,0.2066106940797846,resampling draw
NPM1,Random cell halves,57,0.2091648002437444,resampling draw
NPM1,Random cell halves,58,0.2005995900722132,resampling draw
NPM1,Random cell halves,59,0.1631667026711365,resampling draw
NPM1,Random cell halves,60,0.1856655374351737,resampling draw
NPM1,Random cell halves,61,0.1784830093250463,resampling draw
NPM1,Random cell halves,62,0.1888396197619989,resampling draw
NPM1,Random cell halves,63,0.2305378077498876,resampling draw
NPM1,Random cell halves,64,0.1819925893357244,resampling draw
NPM1,Random cell halves,65,0.2276903819194642,resampling draw
NPM1,Random cell halves,66,0.2056049615665161,resampling draw
NPM1,Random cell halves,67,0.2044635375215175,resampling draw
NPM1,Random cell halves,68,0.2257450890851293,resampling draw
NPM1,Random cell halves,69,0.2074063296608549,resampling draw
NPM1,Random cell halves,70,0.2095552657940375,resampling draw
NPM1,Random cell halves,71,0.1969274228520069,resampling draw
NPM1,Random cell halves,72,0.1846796498794812,resampling draw
NPM1,Random cell halves,73,0.1893926323691525,resampling draw
NPM1,Random cell halves,74,0.2428085193540093,resampling draw
NPM1,Random cell halves,75,0.1964912303749382,resampling draw
NPM1,Random cell halves,76,0.1904752822354033,resampling draw
NPM1,Random cell halves,77,0.1879223041141946,resampling draw
NPM1,Random cell halves,78,0.2026652267927655,resampling draw
NPM1,Random cell halves,79,0.2248627490544538,resampling draw
NPM1,Random cell halves,80,0.1925301825109565,resampling draw
NPM1,Random cell halves,81,0.2231659907409048,resampling draw
NPM1,Random cell halves,82,0.2151089191022611,resampling draw
NPM1,Random cell halves,83,0.1558844065084673,resampling draw
NPM1,Random cell halves,84,0.1856810462130418,resampling draw
NPM1,Random cell halves,85,0.1573065205259365,resampling draw
NPM1,Random cell halves,86,0.1551575210957634,resampling draw
NPM1,Random cell halves,87,0.2087780897295196,resampling draw
NPM1,Random cell halves,88,0.1942255679181046,resampling draw
NPM1,Random cell halves,89,0.1840154615312507,resampling draw
NPM1,Random cell halves,90,0.2133695707997306,resampling draw
NPM1,Random cell halves,91,0.1655710013262264,resampling draw
NPM1,Random cell halves,92,0.1807767432352507,resampling draw
NPM1,Random cell halves,93,0.2306469526759012,resampling draw
NPM1,Random cell halves,94,0.2335770883984403,resampling draw
NPM1,Random cell halves,95,0.2089308043055652,resampling draw
NPM1,Random cell halves,96,0.1925707296072292,resampling draw
NPM1,Random cell halves,97,0.1791085897701375,resampling draw
NPM1,Random cell halves,98,0.2217239323253985,resampling draw
NPM1,Random cell halves,99,0.1951901335497248,resampling draw
