method_id,method,split,reporter_slug,ko_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,gene_holdout_main,nuclear_speckles_srrm2,0.8425740500291189,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nuclei_hoechst,0.7305000052849452,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nuclei_nucleolive_live_cell_dye,0.7674810943504174,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleoli_npm1,0.5380945293853681,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleolus-dfc_fbl,0.7747146368026734,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,nucleolus-gc_npm3,0.8218879476189613,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,oxidative_stress_cellrox_live-cell_dye,0.6566238723695278,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,p21,0.6118269871671995,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,p53,0.568398470679919,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,peroxisome_peroxi_spy650_live_cell_dye,0.8059369325637817,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_atp1b3,0.746005596841375,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_slc3a2,0.9070433348417282,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,plasma_membrane_wga,0.7415715503195922,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,prb,0.3815437397795419,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,proteasome_psmb7,0.5862716905772686,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,ps6,0.5795688781390588,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,recycling_endosome_tfrc,0.8635893871386846,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,stress_granule_g3bp1,0.9265704517563185,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,trans-golgi_vamp3,0.6645764030516148,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,5xupre,0.7497572854161262,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,actin_filament_fastact_spy555_live_cell_dye,0.8876848352452118,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,autophagosome_atg101,0.7046417320768038,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,autophagosome_map1lc3b,0.6933489768093244,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,caspase_activity_cellevent-caspase_live-cell_dye,0.5588302041093509,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,cell_proliferation_marker_mki67,0.5709485653787851,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chaperones_hspa1b,0.76843284505109,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chromalive_488_excitation,0.6795905418694019,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,chromatin_h2bc21,0.7213396442433199,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,clathrin_vesicles_clta,0.9008204663793247,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.2907377466326579,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,endosome_vps35,0.7562186152984699,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_golgi_bridge_vapa,0.8033495613684257,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_golgi_cope,0.42042891910144436,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,er_sec61b,0.8539445100145208,Whole-screen,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,strict_whole_screen,fe2+_ferhonox_live-cell_dye,0.23999114138617483,Whole-screen,#79A8C9,3,Classical tabular
