run_state,reporter_slug,method_id,reference_state,reference_method_id,reference_tier,tier,transition,exact_tier_changed,proxy_status_changed,reliability_pass,changed_gate_flags,n_changed_gate_flags,delta_recoverability_r,delta_magnitude_spearman,delta_variance_ratio,delta_top5pct_recall,delta_reliability
checkpoint_average,endosome_vps35,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.03432001204703661,-0.03793630993631003,0.09139171584733086,0.0,0.0
checkpoint_average,er_sec61b,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.012212145254775542,-0.0009121449121449743,0.15619403409187915,0.020000000000000018,0.0
checkpoint_average,er_golgi_bridge_vapa,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.010760590132595005,-0.00029762429762436593,0.06040479993481407,0.020000000000000018,0.0
checkpoint_average,mitochondria_chromalive_561_excitation,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.027200151518844473,-0.0067591867591864085,0.03162379458347486,-0.020000000000000018,0.0
checkpoint_average,peroxisome_peroxi_spy650_live_cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.03837317837837195,-0.022212322212322277,0.07869740293346694,0.020000000000000018,0.0
checkpoint_average,chromalive_488_excitation,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.06569291413259815,-0.03873795873795871,-0.004074533844035555,-0.020000000000000018,0.0
checkpoint_average,chromatin_h2bc21,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.04265202209317487,-0.012698556698556573,0.01487456059332315,-0.040000000000000036,0.0
checkpoint_average,plasma_membrane_atp1b3,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.004048297690737668,0.0037037677037677907,0.05698975657893479,0.039999999999999925,0.0
checkpoint_average,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.035911817201404794,-0.017555741555741466,0.09421541142170053,-0.020000000000000018,0.0
checkpoint_average,5xupre,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.011790940069641542,0.000701844701844645,0.11497048217489625,-0.020000000000000018,0.0
checkpoint_average,f-actin_phalloidin,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.016881402997676154,-0.02594055794055794,-0.00248233699380207,0.0,0.0
checkpoint_average,mitochondria_tomm70a,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.02107083789324904,-0.012082956082956064,0.05064080022584383,0.0,0.0
checkpoint_average,lysosome_lamp1,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.009653449662827218,-0.012458100458100474,0.18349045327053204,0.0,0.0
checkpoint_average,autophagosome_atg101,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.003749632832337313,0.005960189960189877,0.17686547946819198,0.039999999999999925,0.0
checkpoint_average,nuclear_speckles_srrm2,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,quantitative_proxy,R_to_Q,True,False,True,variance_lower,1,-0.03785978615186225,-0.03678720078720088,0.0066192926695929355,-0.07999999999999996,0.0
checkpoint_average,proteasome_psmb7,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,measurement_recovery,1,-0.032521059459028834,-0.043297003297003256,0.04792477504495807,0.0,0.0
checkpoint_average,oxidative_stress_cellrox_live-cell_dye,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,,0,-0.044462665107916854,-0.018412830412830483,0.08838670147783834,-0.019999999999999907,0.0
checkpoint_average,er_ncln,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,,0,-0.009001194179434124,-0.0031284031284031233,0.07713413932270341,-0.019999999999999907,0.0
checkpoint_average,trans-golgi_vamp3,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,,0,-0.02685246287125953,-0.015508875508875475,0.17828683859364503,0.020000000000000018,0.0
checkpoint_average,p21,ridge,checkpoint_average,coherent_median_ensemble,ranking_proxy,ranking_proxy,unchanged,False,False,True,measurement_recovery,1,-0.023244701181467597,-0.010829242829242691,0.003333653698248479,0.0,0.0
