reporter_slug,oxidative_stress_cellrox_live-cell_dye,fe2+_ferhonox_live-cell_dye,b-catenin,c-myc,p21,p53,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,prb,ps6,nucleolus-dfc_fbl,chromatin_h2bc21,nuclei_hoechst,cell_proliferation_marker_mki67,nucleoli_npm1,nucleolus-gc_npm3,nuclei_nucleolive_live_cell_dye,nuclear_speckles_srrm2,er_golgi_cope,er_cona,er_ncln,er_golgi_cop-ii_sec23a,er_sec61b,trans-golgi_vamp3,er_golgi_bridge_vapa,chromalive_488_excitation,mitochondria_chromalive_561_excitation,mitochondria_tomm20,mitochondria_tomm70a,actin_filament_fastact_spy555_live_cell_dye,microtubules_map4,f-actin_phalloidin,microtubules_tubulin,autophagosome_atg101,lipid_droplet_bodipy_live_cell_dye,clathrin_vesicles_clta,lysosome_lamp1,lysosome_lysotracker_live-cell_dye,autophagosome_map1lc3b,lipid_droplet_plin2,early_endosome_eea1,late_endosome_rab7a,recycling_endosome_tfrc,endosome_vps35,plasma_membrane_atp1b3,plasma_membrane_slc3a2,plasma_membrane_wga,peroxisome_peroxi_spy650_live_cell_dye,5xupre,caspase_activity_cellevent-caspase_live-cell_dye,stress_granule_g3bp1,chaperones_hspa1b,proteasome_psmb7
nucleoli_npm1,0.185237584296454,0.16023211325507145,0.07760459559386734,0.026523829045356176,0.17202218576281644,0.12336048075478777,0.09810828377321044,-0.06886964218006983,0.13134466666360792,0.11892720772549932,0.11012545535638305,-0.1593046685764853,0.0312883156808721,1.0,0.1014103951510819,0.1616926981619827,0.12384096471985019,0.1878515458568697,0.155012114491762,0.11018863644303642,0.17612775412347864,0.1855240371314416,0.19949548492414382,0.18016348838534926,0.12671194043117592,0.19733136484385552,0.46999507273580743,0.1787199203812019,0.17315576608199992,0.09358831216910816,0.4771834060828026,0.31386624270459185,0.10290152069987742,0.18096381904210151,0.18028636832314812,0.15392576074901151,0.20642419525461952,0.20890016753671575,0.1396245301210672,0.17388310961193473,0.1427816872341921,0.1925530300301729,0.17943115468875123,0.1311859542676241,0.12404158264450088,0.29971591282230753,0.17372969345663353,0.21747104099405934,0.11397690659900192,0.11732032465117676,0.14554852010095415,0.10011263387701914
nucleolus-gc_npm3,0.16079226473685804,0.18961911834555256,0.08790281322024984,0.08186216253592424,0.13543089917198603,0.1982492097149111,0.16691460970157873,0.00870677574465845,0.14470845811066763,0.1541832267536351,0.2734006651676735,0.0423520386793593,0.09876879780772573,0.1014103951510819,1.0,0.23143954037339795,0.21380126425782472,0.17401949563470973,0.14805630622964067,0.13787508622466732,0.21621585629315085,0.17658605849091263,0.24103035878529225,0.17893936823847906,0.12259200399833763,0.19236081649994657,0.21667736548457642,0.19211569535433645,0.1592128383698217,0.12114314915491545,0.20238169264287023,0.12726463733872656,0.17879352237780682,0.21733039648853378,0.17304211766154773,0.24175870901220772,0.1806309498882484,0.14907640191192784,0.15965640033044431,0.26548457304737577,0.19301342548044031,0.17305691108997678,0.13670371805952747,0.16789297307718806,0.15931974830126616,0.16670085276451085,0.1762014949072442,0.20415642383976215,0.10781625964745703,0.21493507987126786,0.09353576417841783,0.21079096533979594
nuclei_nucleolive_live_cell_dye,0.5032028367735237,0.5318038463902013,0.24002701592536158,0.028209221117455472,0.504194412057721,0.46529228093046127,0.37033520360450617,-0.10991103793199017,0.28607542543150366,0.385205921644432,0.323049418668954,0.04491571072413294,0.24217168903722028,0.1616926981619827,0.23143954037339795,1.0,0.4909143599562022,0.4709423497630584,0.25290700020919504,0.349910987731201,0.48962093714470023,0.4464283347171818,0.515943827923902,0.531951413763706,0.29861410423809076,0.5947539308588565,0.3985200852681397,0.4593906479414691,0.4816914134050807,0.31923424673042494,0.3138846620703196,0.3073564038450551,0.29921568957361555,0.5357643323081495,0.4351092728037733,0.4810760012973483,0.6230803900176173,0.4152443705171575,0.3765810638837128,0.5206863079956197,0.45594470203260606,0.5694170199793064,0.3826713582379145,0.36139731656813007,0.30598532946594864,0.28296944890550024,0.4872599378445298,0.5300860817435994,0.3851528928535417,0.3166271208136267,0.2993493228372489,0.2820836665398284
nuclear_speckles_srrm2,0.33388989388614054,0.34241917093762997,0.21237782978570602,0.003072002645912877,0.38911915936264285,0.35372592336496267,0.2069293708980967,-0.10099380667207102,0.2635246879804806,0.2202833611655372,0.31527857364116296,0.021665901399297822,0.23501609510202354,0.12384096471985019,0.21380126425782472,0.4909143599562022,1.0,0.37973974668876104,0.17181409832861377,0.30185614924180976,0.4350050584415796,0.29015088366917763,0.357534981490888,0.4436738071680343,0.23315491859154924,0.45411124748826215,0.28671987588558606,0.3653294591941881,0.41453722417821676,0.22364446614807487,0.2749747807374565,0.2376201118419095,0.29837765937839295,0.3252040823841218,0.3233865334584087,0.3624417983286131,0.4196633924208749,0.3681962542255975,0.3181313012808785,0.36078642232789526,0.416061644364658,0.3814466763070819,0.3235287618788652,0.3974277289464409,0.17486201776451346,0.21292103692488978,0.3893363937267436,0.3601785993479084,0.2447941037136965,0.24272266139274323,0.27480596357408893,0.26675328322980885
er_golgi_cope,0.4516359148595325,0.44592100588985684,0.21358598898056674,0.028963943738847295,0.46509361779411307,0.3811877121062904,0.31280553924272836,-0.10383393516818115,0.30186163979712866,0.21904357067986224,0.2911084367177222,0.0018471954806128213,0.20309349846843036,0.1878515458568697,0.17401949563470973,0.4709423497630583,0.379739746688761,1.0,0.21507758334345511,0.34417204115549105,0.4768349641767874,0.4276389581902483,0.42657013317564885,0.5034214529229949,0.2883185823964415,0.5538061239436508,0.406189403596544,0.4425269198656067,0.5990565400175087,0.338835185454218,0.3397031651316646,0.26564374512485617,0.3472739756327163,0.45444496225104636,0.45438043173222004,0.4316633582513183,0.5333988064225789,0.3705898398097771,0.40610801989669854,0.4421609710329507,0.43918156082885135,0.49770282560002144,0.31666959826860375,0.3007450797076128,0.2737394145512686,0.29829967038034505,0.46080115918239273,0.5093452271289857,0.30519481815198407,0.2885521833052354,0.31757712670341226,0.2697796499457125
er_cona,0.21029199131370524,0.2518574775213855,0.1203718440862762,0.041779242117541915,0.14965114499969429,0.16628420415477133,0.15046606438510216,0.013396309887705068,0.1633466237626689,0.11340877744533927,0.22624997869092944,0.323615976024453,0.0939506382768486,0.155012114491762,0.14805630622964067,0.25290700020919504,0.17181409832861377,0.21507758334345511,0.9999999999999998,0.162483947260124,0.20785194744636354,0.2544606399182242,0.24021675620380673,0.2518643793141192,0.16862973742852908,0.23135659856076476,0.52206250155779,0.18661744511989417,0.17789136089293506,0.23445945414012354,0.5945342358581235,0.7119825640095915,0.2177707680716579,0.27174925095234786,0.2300718256831884,0.22569388404366944,0.2389838396543063,0.2017898376256457,0.16785015754108576,0.2244706054908818,0.24811994075584926,0.21839559023507743,0.2082022120161033,0.17844869678481384,0.18744927166373895,0.733400066755225,0.17508723492664557,0.20479062118592847,0.13520135045840448,0.21882223271367032,0.16069846844760796,0.22047076396125806
er_ncln,0.35946279467793973,0.34440515881290823,0.15808903619327397,0.055213747655344765,0.3286010313140835,0.2804625618422579,0.24975848395413963,-0.10530950071068829,0.20963442218317058,0.1617384587589126,0.2449816505891742,0.04137443245677085,0.16065353492006765,0.11018863644303642,0.13787508622466732,0.349910987731201,0.30185614924180976,0.34417204115549105,0.162483947260124,1.0,0.3464115218594656,0.30006469444311074,0.361976278989181,0.3681171216792073,0.25004848374607286,0.39417867380213795,0.2982304538475737,0.3739690804029929,0.3425019525985774,0.2285683345825454,0.24159478371554047,0.23045001870612802,0.27930104813632134,0.3913014909845557,0.33618797759185576,0.3384704909652332,0.3754174359771517,0.27254207715659184,0.3171776239642417,0.3695879256554439,0.3243387832968538,0.3790961469908421,0.2423848351523129,0.2518905965045452,0.21589175833644145,0.2240075974347734,0.352992663858011,0.35921595655511696,0.24657888700479155,0.27260065965508534,0.22647183108713187,0.2803150819828094
er_golgi_cop-ii_sec23a,0.4826018045308891,0.4761960577146339,0.22060020560944313,0.053678132597615266,0.44279090348344735,0.45352899409684905,0.32544009397331525,-0.13674607509033285,0.23431236795955254,0.18225491468889501,0.3202671320935271,0.07537677943134186,0.2551501541663329,0.17612775412347864,0.21621585629315085,0.48962093714470023,0.4350050584415796,0.47683496417678745,0.20785194744636354,0.3464115218594656,1.0,0.42734327650523457,0.4723918481193557,0.5203106589534024,0.3076299784602733,0.5235272260348303,0.4043497405548623,0.4387694672791827,0.40763103629764047,0.2925213899104599,0.3467086834908439,0.27699861988092955,0.3739338594321381,0.49196897908775816,0.47292092909945294,0.4222015681098315,0.5413270232089467,0.3798265277481683,0.3833887329061784,0.4444116852457774,0.48511438081920827,0.49326622859791247,0.37743373899951893,0.3783537911976427,0.27287681856986734,0.28560456047469795,0.42772402268843435,0.4907395911530623,0.322615654990317,0.3510670480171624,0.3357321368016463,0.3272352849129507
er_sec61b,0.44550806561145884,0.4246750971256528,0.20345698852588726,0.057567090401221856,0.42294878794913904,0.3727990074208666,0.3177594903698836,-0.09869671332772512,0.21196534257297853,0.21358887129712875,0.2924825920937241,0.0743631269171511,0.1682724370313616,0.1855240371314416,0.17658605849091263,0.4464283347171818,0.29015088366917763,0.4276389581902483,0.2544606399182242,0.30006469444311074,0.42734327650523457,0.9999999999999998,0.4442939407733809,0.48124605938383286,0.25300035801494625,0.46812918373897133,0.3402531522351745,0.439018411731106,0.3362859158108139,0.28859730381227744,0.29095336128606464,0.2655183128323823,0.372914900305976,0.44675834471826426,0.4756712602691374,0.41350444102790285,0.4946647961641963,0.39607660843980513,0.3424558619639606,0.4314988316094146,0.4255230178822212,0.43310937740308947,0.3445645406651046,0.3035359362727554,0.2996727868019252,0.27865316558355513,0.37572163555586835,0.61918660190239,0.32986163475672686,0.34133245655761907,0.2575009126320122,0.3258541225320721
trans-golgi_vamp3,0.47979727126548166,0.5238332329285784,0.21015812036857426,0.06614916494159742,0.4550773782264597,0.4710179050406554,0.31290804098878383,-0.11838821678337481,0.2363093833249655,0.23279360415012637,0.2933904325857503,0.039857739797767786,0.18235253096954962,0.19949548492414382,0.24103035878529225,0.515943827923902,0.357534981490888,0.4265701331756488,0.24021675620380673,0.361976278989181,0.4723918481193557,0.4442939407733809,1.0,0.5204033678173217,0.25634144765514866,0.5193537536665651,0.44654413412610017,0.45813138308105744,0.36989265334265714,0.33194373395514604,0.3772111731881321,0.3166223062435491,0.3484430770859157,0.5606262204164512,0.4611393395181599,0.48511206219310965,0.574255881521954,0.3736827852494451,0.34774357128174543,0.47318927351325807,0.43350357632452413,0.5220068437941807,0.34139443880400117,0.3476503534481057,0.3188343917988529,0.3123527863328896,0.41364580441564597,0.5042697729874756,0.3378385446945324,0.36551169924024657,0.28628801526053016,0.3512795182171652
er_golgi_bridge_vapa,0.509544844180721,0.5232864682827805,0.24137370240486292,0.031920870035560135,0.5150787461079606,0.46470382310028613,0.3572651999806891,-0.17725236805269487,0.2595801935133321,0.22772994750026618,0.34974450453040956,0.07250539363660687,0.27076218945703134,0.18016348838534926,0.17893936823847906,0.531951413763706,0.4436738071680343,0.5034214529229949,0.2518643793141192,0.3681171216792073,0.5203106589534024,0.48124605938383286,0.5204033678173217,0.9999999999999998,0.2996478596872506,0.5607033827597753,0.4401472188785168,0.49822369664883687,0.45576971084005696,0.32906405914330367,0.35737597460434545,0.30244399724806353,0.40107110891543507,0.5738217004244675,0.5485647463158798,0.5050287122264576,0.6416977979094844,0.4336969382941562,0.4035900839021141,0.5089920278229747,0.5160309835322604,0.5319616597801716,0.39295239468542403,0.39752326897628615,0.2842466146992523,0.3231863152606566,0.5320909375103491,0.5896071134619556,0.36856005271752385,0.3387665942055203,0.34590327466722137,0.3266367136269015
chromalive_488_excitation,0.23295087776803633,0.23213190458823668,0.1306996079106146,0.0656197262951678,0.26013805881477153,0.24234568949479066,0.240719161020254,-0.012233169204458471,0.20099723671095948,0.13765450754027214,0.20502972165426847,-0.012302544113831707,0.18613482920360563,0.12671194043117592,0.12259200399833763,0.29861410423809076,0.23315491859154924,0.2883185823964415,0.1686297374285291,0.25004848374607286,0.3076299784602733,0.25300035801494625,0.25634144765514866,0.2996478596872506,1.0,0.3004361646627588,0.2567396089526702,0.25425326192598907,0.3199677044179882,0.1966825141877491,0.21756758828121933,0.21040424138849492,0.24799442256929188,0.24072859398001958,0.27141577731055755,0.26957070192233845,0.27309646510847785,0.2976028920995036,0.2498190561666228,0.2584056502923275,0.27693824060870825,0.2007529752458073,0.26317861089019523,0.2669885437777947,0.16479477139801252,0.20272721898635115,0.24271149860503383,0.27055339784306687,0.2007211409166375,0.20074991741991344,0.23639259169499377,0.2755795067198812
mitochondria_chromalive_561_excitation,0.588317246215237,0.5438902866551153,0.26849402800932626,0.041206180321676715,0.5750979125861198,0.47100383024400555,0.3282157846816879,-0.20090619357661751,0.3064263409339946,0.25151416127231657,0.30628110831688204,0.009281964360937736,0.23691502517339996,0.19733136484385552,0.19236081649994657,0.5947539308588565,0.45411124748826215,0.5538061239436508,0.23135659856076474,0.39417867380213795,0.5235272260348303,0.46812918373897133,0.5193537536665651,0.5607033827597753,0.3004361646627588,0.9999999999999998,0.5114727561633566,0.5367751633154613,0.5575083659486758,0.3111007002317525,0.3808161841186079,0.31387182317193313,0.33034576500961726,0.5586154069703874,0.5141369037008513,0.5373135455522638,0.6701685980772601,0.4192486579398722,0.42440299910842005,0.5386430290504216,0.5280928946952742,0.5734287250951013,0.38196915492543276,0.3573834207748772,0.2704979708433088,0.3188848743075107,0.5233756050400271,0.5780395840231706,0.407318905038931,0.3482339308031568,0.3097596366966204,0.3376613416445538
mitochondria_tomm20,0.4124554729955274,0.4505562902188536,0.19648273911438766,0.05203859272827356,0.3969464046746404,0.3477194750614292,0.25477006071665875,-0.08956410636426614,0.23452471771140637,0.17839984675151666,0.2510832983325725,0.033450325041482536,0.16517289540935026,0.46999507273580743,0.21667736548457642,0.3985200852681397,0.28671987588558606,0.40618940359654404,0.52206250155779,0.2982304538475737,0.4043497405548623,0.3402531522351745,0.44654413412610017,0.4401472188785168,0.2567396089526702,0.5114727561633566,0.9999999999999998,0.41650432561208267,0.3877869883445141,0.2633930170848488,0.8426778158330945,0.6679616370863328,0.24916719553079839,0.45983716118162704,0.39771402344738027,0.42819001900830683,0.49700646611612587,0.3246777254323716,0.27755000310330546,0.3797037296561269,0.3997395036032045,0.45863125504640945,0.30861592403260724,0.2742168703497073,0.26107486920248024,0.6832563475574044,0.3860189081754102,0.40079945212980395,0.31052057919150416,0.33677947501711364,0.25534731794498794,0.27096883887126094
mitochondria_tomm70a,0.4554217182561807,0.45972028790432,0.24886336596703795,0.06740225484106771,0.46465573922128545,0.3933088623215525,0.2645833875250324,-0.10657529680646165,0.26284403791714694,0.19824653384527444,0.28485418106039434,0.010713705920243751,0.2531990538090825,0.17871992038120194,0.19211569535433645,0.4593906479414691,0.3653294591941881,0.4425269198656067,0.18661744511989417,0.3739690804029929,0.4387694672791827,0.439018411731106,0.4581313830810574,0.49822369664883687,0.25425326192598907,0.5367751633154613,0.41650432561208267,0.9999999999999998,0.39163830638354974,0.2643224284043259,0.32887866679854644,0.2853099232846259,0.34240729833236433,0.4647869016948604,0.43979588990405416,0.44512730654145677,0.5172338776276926,0.36047511682792555,0.3107786271563685,0.44582050567618575,0.4534007592551314,0.4899379300125371,0.33845477051857636,0.32597699032871097,0.2567939435686512,0.2724372904679914,0.45458627902288634,0.5184603385276993,0.3833814477466843,0.32262665703514476,0.2500480736267053,0.316607260525193
actin_filament_fastact_spy555_live_cell_dye,0.4058821549184123,0.40649126223237875,0.21837105658902978,0.044690781691292654,0.43489682763981513,0.3459003069553789,0.33463564673843965,-0.10757114671917485,0.25742832419241485,0.21157554418641486,0.3235744900827637,-0.010334287821088195,0.2455754458346086,0.17315576608199992,0.1592128383698217,0.4816914134050807,0.41453722417821676,0.5990565400175087,0.17789136089293506,0.3425019525985774,0.40763103629764047,0.3362859158108139,0.36989265334265714,0.45576971084005696,0.3199677044179882,0.5575083659486758,0.3877869883445141,0.39163830638354974,1.0,0.3344364006494909,0.3159731835302946,0.23617076015259172,0.24537256234057928,0.39335403561936244,0.3683579235689903,0.43199193487476806,0.4882235379332574,0.3968022518028011,0.46660918676380087,0.38293408830534087,0.39605948683734954,0.4647176254698227,0.2856012571527618,0.339398484519245,0.21537898914406026,0.27832242318976486,0.43446147907484595,0.457219563132897,0.2958441815047405,0.2620228670437714,0.4280584631476736,0.23802967963912539
