reporter_slug,marker,short_name,biological_category,category_color,category_rank,n_screens,screen_ids,is_repeated_target,n_exact_assay_cell_links,n_targeting_links,n_control_links,n_target_kos,n_target_guides,n_target_features,n_technical_core_features,source_fluorescence_object_rows,rows_with_mappable_well_tile,duplicate_fluorescence_coordinate_rows_excluded,phase_unique_coordinate_rows_across_assays,coordinate_matches,op_matches,coordinate_match_fraction_of_phase_unique_rows,op_match_fraction_of_coordinate_matches,gene_guide_concordance_fraction_of_op_matches,target_feature_schema,selected_organelles,feature_selection_rule,remote_source_size_gib,cache_size_mib,cache_sha256
trans-golgi_vamp3,"trans-Golgi, VAMP3",VAMP3,ER/Golgi,#4F9A70,5,2,Biohub_OPS0030;Biohub_OPS0059,True,206583,196444,10139,1000,4000,24,24,1652649,1652649,146933,224086,207233,206583,0.9247922672545362,0.9968634339125524,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.066710799001157,15.90611743927002,56f47899c2264152a1bbcf2227894da262975e7bd981010ab587bd0e909dbb95
er_golgi_bridge_vapa,"ER/golgi bridge, VAPA",VAPA,ER/Golgi,#4F9A70,5,2,Biohub_OPS0020;Biohub_OPS0021,True,237525,226303,11222,1000,3998,24,24,1886735,1886735,195898,259938,237631,237525,0.914183382191138,0.9995539302532076,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.546508406288922,20.770012855529785,2099e4b19e2e996a49d55be011fe5709e732a59c399a2dd0e58bb7ba13b78abd
chromalive_488_excitation,ChromaLIVE 488 excitation,ChromaLIVE 488 excitation,Mitochondria,#C85A3C,6,2,Biohub_OPS0002;Biohub_OPS0051,True,188615,178417,10198,1000,3999,72,24,1483324,1483324,94333,199365,188974,188615,0.9478795174679608,0.9981002677617028,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.875753676518798,19.317387580871586,6a03fc9f1c175ca6c6e806a6ca102011872ec99c48edb07253fcf9194794d239
mitochondria_chromalive_561_excitation,"mitochondria, ChromaLIVE 561 excitation",ChromaLIVE 561 excitation,Mitochondria,#C85A3C,6,2,Biohub_OPS0063;Biohub_OPS0075,True,234909,223086,11823,1000,3999,24,24,1869572,1869572,129080,249287,235263,234909,0.9437435566234902,0.9984953010035578,1.0,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.895962385460734,21.210740089416504,d7781307e2d08f9e3427623b4c7955d0db2762e59b8e139fda200bbb2c02526c
mitochondria_tomm20,"mitochondria, TOMM20 (cp)",TOMM20*,Mitochondria,#C85A3C,6,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp1_mitochondria_tomm20,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.391171709634364,25.544506072998047,c69bb9c2ba31ede27012508fc85eb426f2d3e58a1893cf1dfc00246f9eeccf82
mitochondria_tomm70a,"mitochondria, TOMM70A",TOMM70A,Mitochondria,#C85A3C,6,2,Biohub_OPS0015;Biohub_OPS0068,True,139205,131934,7271,1000,3998,24,24,1067165,1067165,63436,146605,139521,139209,0.9516796835032912,0.9977637774958608,0.9999712662256032,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.867088799364865,12.645489692687988,291a1002d5fcb49f8dcf8a5fb7ad8aa3483d6e84dd9aa91a02c2fd43d7c9df21
actin_filament_fastact_spy555_live_cell_dye,"actin filament, FastAct_SPY555 Live Cell Dye",FastAct_SPY555 Live Cell Dye,Cytoskeleton,#4FA7B8,7,5,Biohub_OPS0033;Biohub_OPS0065;Biohub_OPS0072;Biohub_OPS0074;Biohub_OPS0076,True,521116,495275,25841,1000,4000,72,24,3970536,3970536,236923,549660,522067,521127,0.9497998762871592,0.9981994648196496,0.9999788919015902,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,11.820940553210676,54.030120849609375,5021ab716d50279a6182e5942e9e7465471049b917203c180d90b374682f351f
microtubules_map4,"microtubules, MAP4",MAP4,Cytoskeleton,#4FA7B8,7,1,Biohub_OPS0046,False,153231,145439,7792,1000,3998,72,24,1206771,1206771,104447,165463,153428,153231,0.9272647057045986,0.998716010115494,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.276396544650197,15.890620231628418,7fa5b69b549e7090ddc671a334140da998777966ce5882ff97d4ee59ecd34591
f-actin_phalloidin,"f-actin, Phalloidin (cp)",Phalloidin*,Cytoskeleton,#4FA7B8,7,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp1_f_actin_phalloidin,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.3845052383840084,25.478650093078613,dbb8275c3620ebc4abda9b382175eb99339bbc177d0966fd3ad53cc55cb9dc4d
microtubules_tubulin,"microtubules, Tubulin (cp)",Tubulin*,Cytoskeleton,#4FA7B8,7,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp2_microtubules_tubulin,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.3315852750092745,25.3953914642334,1696bd2c3d45581a2f8cac891f85b348942beafd4ae3f93014fd8fa9804da87f
autophagosome_atg101,"autophagosome, ATG101",ATG101,Lysosome,#E8943A,8,2,Biohub_OPS0031;Biohub_OPS0054,True,166986,158476,8510,1000,3999,72,24,1303778,1303778,86478,177212,167525,166986,0.9453366589170034,0.9967825697657066,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.474009349010885,16.29058074951172,c2878c7c0241a454a7a80f1b7eea6a730d3b84ce87a47f96edab57dae9f46d13
lipid_droplet_bodipy_live_cell_dye,"lipid droplet, BODIPY live cell dye",BODIPY live cell dye,Lysosome,#E8943A,8,2,Biohub_OPS0034;Biohub_OPS0066,True,154449,146479,7970,1000,3999,24,24,1190866,1190866,61659,161706,154715,154449,0.9567672195218484,0.9982807096920144,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.9958513882011175,13.934011459350586,50f6209325c9c00f5bef13c6f4a124adaa3655c4054d5b398ccfd2eb1aecb1a7
clathrin_vesicles_clta,"clathrin vesicles, CLTA",CLTA,Lysosome,#E8943A,8,2,Biohub_OPS0018;Biohub_OPS0019,True,170667,161942,8725,1000,3998,72,24,1378829,1378829,123474,184547,170800,170667,0.92550949080722,0.9992213114754098,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.369455591775477,17.68308925628662,71f7cc3f09bfa67193dd1d12aa0ad137514333cc0943c6e5153778429ab414c4
lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,#E8943A,8,2,Biohub_OPS0011;Biohub_OPS0012,True,124870,118977,5893,1000,3998,24,24,988774,988774,77132,133927,125101,124870,0.934098426754874,0.9981534919784814,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.7157440688461065,11.113032341003418,416f7d933baf6706bd5d7a97fe48367ca2d38c4541891ef251365da458c3d9b2
lysosome_lysotracker_live-cell_dye,"lysosome, LysoTracker live-cell dye",LysoTracker live-cell dye,Lysosome,#E8943A,8,3,Biohub_OPS0044;Biohub_OPS0055;Biohub_OPS0056,True,288734,273641,15093,1000,4000,72,24,2251873,2251873,146609,305878,289184,288734,0.9454226848612846,0.9984438973110544,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,6.661424171179533,29.80327415466309,20ca5cb427f39ae87eea4bffa8272d331602fda2f04f724118b517bf99746c8d
autophagosome_map1lc3b,"autophagosome, MAP1LC3B",MAP1LC3B,Lysosome,#E8943A,8,3,Biohub_OPS0016;Biohub_OPS0017;Biohub_OPS0040,True,359112,342362,16750,1000,4000,72,24,2776910,2776910,237276,386371,359384,359112,0.930152625326435,0.9992431493889544,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,7.263132106512785,36.10188007354736,f10af20659c3b568cfe4eae1ef13e5311e8ebc76fb9cc8fa37e97b2770d23f96
lipid_droplet_plin2,"lipid droplet, PLIN2",PLIN2,Lysosome,#E8943A,8,2,Biohub_OPS0022;Biohub_OPS0065,True,180794,171954,8840,1000,3999,24,24,1395785,1395785,109387,193365,181019,180794,0.9361518371990796,0.998757036554174,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.060796325094998,12.896737098693848,f477e9ef94131cf6382189bc8df9c859f884fe02a06fd8ef6ba3eb1af433e8e9
early_endosome_eea1,"early endosome, EEA1",EEA1,Endosome,#C6A16A,9,1,Biohub_OPS0039,False,139936,132634,7302,1000,3998,24,24,1114138,1114138,66757,147503,140076,139936,0.9496484817257954,0.9990005425626088,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.1658042669296265,12.550281524658203,cec2b138db635d042fdbc57e65c7c9ebcb2e8fc8dbb45bb0122b7dda140e6d90
late_endosome_rab7a,"late endosome, RAB7A",RAB7A,Endosome,#C6A16A,9,2,Biohub_OPS0014;Biohub_OPS0026,True,124176,117993,6183,1000,3998,72,24,980697,980697,68618,131912,124342,124176,0.942613257323064,0.9986649724147916,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.5338073316961527,12.879345893859863,f2f471d8f6cf4bca8b61ac5c8631d66f4921446bec7ce46eb031cef7cdc49900
recycling_endosome_tfrc,"recycling endosome, TFRC",TFRC,Endosome,#C6A16A,9,2,Biohub_OPS0027;Biohub_OPS0060,True,240436,229172,11264,1000,3998,24,24,1846797,1846797,123194,254770,240740,240436,0.9449307218275308,0.998737226883775,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.166128774173558,21.58671474456787,0f0bff2330c162edb00c0f592719c4ab95b88ac2ee15900d5a29f5b297ff6e29
endosome_vps35,"endosome, VPS35",VPS35,Endosome,#C6A16A,9,2,Biohub_OPS0013;Biohub_OPS0025,True,180485,172157,8328,1000,3999,24,24,1400289,1400289,109367,192915,180596,180485,0.93614286084545,0.9993853684466988,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.018356715328991,16.01560401916504,4dd0dd3e520e6cb74647103eaf211d026d4352cceaab1a09530048cce2fc076d
plasma_membrane_atp1b3,"plasma membrane, ATP1B3",ATP1B3,Plasma Membrane,#9C8C72,10,2,Biohub_OPS0032;Biohub_OPS0071,True,248481,235930,12551,1000,3999,24,24,1940206,1940206,118092,262145,248724,248481,0.9488031432985562,0.9990230134607034,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.408419713377953,21.72507953643799,5925963821dbb219f7487986dbe40e3456847535a0db95603ab42e9597a63324
plasma_membrane_slc3a2,"plasma membrane, SLC3A2",SLC3A2,Plasma Membrane,#9C8C72,10,2,Biohub_OPS0003;Biohub_OPS0004,True,145845,138581,7264,1000,3998,24,24,1130606,1130606,77333,154839,146189,145845,0.944135521412564,0.9976468817763308,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.367956325411797,13.190308570861816,915f460e862f758cb4b498fa7dfdd5a49cbe02da42cea5059e66438aea99e286
plasma_membrane_wga,"plasma membrane, WGA (cp)",WGA*,Plasma Membrane,#9C8C72,10,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp1_plasma_membrane_wga,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.349585127085448,25.528404235839844,562c0af48fc2e246e2f043eeccaae59f3c12a0166a496e8a40fb48988166561c
peroxisome_peroxi_spy650_live_cell_dye,"peroxisome, Peroxi_SPY650 live cell dye",Peroxi_SPY650 live cell dye,Peroxisome,#D56C75,11,2,Biohub_OPS0045;Biohub_OPS0057,True,197625,187562,10063,1000,3999,72,24,1556607,1556607,119592,211221,197907,197625,0.9369664948087548,0.9985750882990496,1.0,OrganelleProfiler,cy5,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.663608067668974,18.39918613433838,9bb0161270b344174afd3f597060216e19d664c87eac69419e03f3db10d7e038
5xupre,5xUPRE,5xUPRE,Stress/PQC,#CC79A7,13,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,True,433351,413297,20054,1000,3998,72,20,3322148,3322148,248933,462828,434563,433352,0.9389297968143672,0.9972132924340084,0.9999976924070964,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,9.351656747050583,26.38757705688477,c592f6e681836cbaec303738596edefb2b3652854faac27080f856c1baecea37
caspase_activity_cellevent-caspase_live-cell_dye,"caspase activity, CellEvent-Caspase live-cell dye",CellEvent-Caspase live-cell dye,Stress/PQC,#CC79A7,13,2,Biohub_OPS0050;Biohub_OPS0073,True,157180,149068,8112,1000,3999,24,24,1376766,1376766,229933,186023,158613,157180,0.8526526289759868,0.9909654315850528,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.5780134266242385,12.993999481201172,2a9b6c294c27362246636e07bc692085edca7cf701067c9c575fea512d8d80e9
stress_granule_g3bp1,"stress granule, G3BP1",G3BP1,Stress/PQC,#CC79A7,13,1,Biohub_OPS0037,False,157307,148862,8445,1000,3999,24,24,1242842,1242842,88366,167119,157391,157307,0.9417899819888822,0.9994662973105196,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.1980279330164194,14.18445110321045,6aac66e7792a56adfce99a30577f375aceb119a87e07c1c439e4cc1f51060c6a
chaperones_hspa1b,"chaperones, HSPA1B",HSPA1B,Stress/PQC,#CC79A7,13,2,Biohub_OPS0028;Biohub_OPS0072,True,193356,184317,9039,1000,3999,72,24,1515458,1515458,138045,209812,193748,193356,0.9234362190913772,0.9979767533084212,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.442251460626721,19.493000030517575,cab3cf740645143b399d3f91f90dc37076d7db8d43336706cbea24cda10d29d0
proteasome_psmb7,"proteasome, PSMB7",PSMB7,Stress/PQC,#CC79A7,13,2,Biohub_OPS0029;Biohub_OPS0070,True,197614,187724,9890,1000,3999,24,24,1574497,1574497,131131,212765,198019,197614,0.9306934881206964,0.997954741716704,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.979472940787673,17.770660400390625,93374e33f6e97bae494cbc16eaa38fd3dd5f056f32cb1911ad2dee652e78b681
