reporter_slug,fold,ensemble_recoverability_r,n_gene_screen_pairs,n_endpoints,n_methods,evaluation_state
chromatin_h2bc21,2,0.790117493625026,366,24,10,checkpoint_average
chromatin_h2bc21,3,0.7651838450406482,394,24,10,checkpoint_average
chromatin_h2bc21,4,0.7589431696634564,444,24,10,checkpoint_average
plasma_membrane_atp1b3,0,0.721430286180536,422,24,10,checkpoint_average
plasma_membrane_atp1b3,1,0.7572549875214406,374,24,10,checkpoint_average
plasma_membrane_atp1b3,2,0.7700912608109652,366,24,10,checkpoint_average
plasma_membrane_atp1b3,3,0.7301439890946373,394,24,10,checkpoint_average
plasma_membrane_atp1b3,4,0.7978692426171176,444,24,10,checkpoint_average
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0,0.7930437235496827,422,24,10,checkpoint_average
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,1,0.7704600630604349,374,24,10,checkpoint_average
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,2,0.7440324003976636,366,24,10,checkpoint_average
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,3,0.7547999549245672,394,24,10,checkpoint_average
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,4,0.7286176599477755,444,24,10,checkpoint_average
5xupre,0,0.7415164924441117,1266,20,10,checkpoint_average
5xupre,1,0.7529998192795496,1122,20,10,checkpoint_average
5xupre,2,0.7675199187429129,1098,20,10,checkpoint_average
5xupre,3,0.7509329949512579,1182,20,10,checkpoint_average
5xupre,4,0.74579868048365,1332,20,10,checkpoint_average
f-actin_phalloidin,0,0.758721005692464,211,72,10,checkpoint_average
f-actin_phalloidin,1,0.7220119686372087,187,72,10,checkpoint_average
f-actin_phalloidin,2,0.7762951544238452,183,72,10,checkpoint_average
f-actin_phalloidin,3,0.7473610725304259,197,72,10,checkpoint_average
f-actin_phalloidin,4,0.7505625967459395,222,72,10,checkpoint_average
mitochondria_tomm70a,0,0.7438035904471295,422,24,10,checkpoint_average
mitochondria_tomm70a,1,0.7566851871655085,374,24,10,checkpoint_average
mitochondria_tomm70a,2,0.7484349050013952,366,24,10,checkpoint_average
mitochondria_tomm70a,3,0.7399944039426739,394,24,10,checkpoint_average
mitochondria_tomm70a,4,0.7609251909159078,444,24,10,checkpoint_average
lysosome_lamp1,0,0.7616394899461225,422,24,10,checkpoint_average
lysosome_lamp1,1,0.7102511736317679,374,24,10,checkpoint_average
lysosome_lamp1,2,0.7603760253855801,366,24,10,checkpoint_average
lysosome_lamp1,3,0.7568091053923635,394,24,10,checkpoint_average
lysosome_lamp1,4,0.7672074127486163,444,24,10,checkpoint_average
autophagosome_atg101,0,0.758209091334475,422,24,10,checkpoint_average
autophagosome_atg101,1,0.6901978052328165,374,24,10,checkpoint_average
autophagosome_atg101,2,0.675511059332766,366,24,10,checkpoint_average
autophagosome_atg101,3,0.6720450286910572,394,24,10,checkpoint_average
autophagosome_atg101,4,0.7722282448006005,444,24,10,checkpoint_average
nuclear_speckles_srrm2,0,0.8523272826767675,422,24,10,checkpoint_average
nuclear_speckles_srrm2,1,0.8757114601178149,374,24,10,checkpoint_average
nuclear_speckles_srrm2,2,0.881215179323607,366,24,10,checkpoint_average
nuclear_speckles_srrm2,3,0.8629937632017298,394,24,10,checkpoint_average
nuclear_speckles_srrm2,4,0.8555204664602903,444,24,10,checkpoint_average
proteasome_psmb7,0,0.6179015675285094,422,24,10,checkpoint_average
proteasome_psmb7,1,0.6215378951440004,374,24,10,checkpoint_average
proteasome_psmb7,2,0.6133491600054146,366,24,10,checkpoint_average
proteasome_psmb7,3,0.5285137339456432,394,24,10,checkpoint_average
proteasome_psmb7,4,0.6367534669495576,444,24,10,checkpoint_average
oxidative_stress_cellrox_live-cell_dye,0,0.637369308199948,422,24,10,checkpoint_average
oxidative_stress_cellrox_live-cell_dye,1,0.6924258258427759,374,24,10,checkpoint_average
oxidative_stress_cellrox_live-cell_dye,2,0.6684040592891711,366,24,10,checkpoint_average
oxidative_stress_cellrox_live-cell_dye,3,0.6814653284833302,394,24,10,checkpoint_average
oxidative_stress_cellrox_live-cell_dye,4,0.7149262219016265,444,24,10,checkpoint_average
er_ncln,0,0.6463985358772365,211,24,10,checkpoint_average
er_ncln,1,0.6407560554574018,187,24,10,checkpoint_average
er_ncln,2,0.6572821101333362,183,24,10,checkpoint_average
er_ncln,3,0.6803357989046811,197,24,10,checkpoint_average
er_ncln,4,0.6909414241782091,222,24,10,checkpoint_average
trans-golgi_vamp3,0,0.6984807308489754,422,24,10,checkpoint_average
trans-golgi_vamp3,1,0.667278716130149,374,24,10,checkpoint_average
trans-golgi_vamp3,2,0.6686801784019197,366,24,10,checkpoint_average
trans-golgi_vamp3,3,0.6958705934279639,394,24,10,checkpoint_average
trans-golgi_vamp3,4,0.6818700555334315,444,24,10,checkpoint_average
p21,0,0.5811997571829827,211,30,10,checkpoint_average
p21,1,0.5562797964527726,187,30,10,checkpoint_average
p21,2,0.6643113163166998,183,30,10,checkpoint_average
p21,3,0.6302755702996145,197,30,10,checkpoint_average
p21,4,0.6634600103538457,222,30,10,checkpoint_average
mitochondria_tomm20,0,0.6835685405001407,211,72,10,checkpoint_average
mitochondria_tomm20,1,0.6703039177629682,187,72,10,checkpoint_average
mitochondria_tomm20,2,0.7236998434232725,183,72,10,checkpoint_average
mitochondria_tomm20,3,0.6944357815237756,197,72,10,checkpoint_average
mitochondria_tomm20,4,0.6977908451677632,222,72,10,checkpoint_average
p53,0,0.5843509070283505,211,30,10,checkpoint_average
p53,1,0.5653630467065016,187,30,10,checkpoint_average
p53,2,0.631901154315387,183,30,10,checkpoint_average
p53,3,0.6310427788328461,197,30,10,checkpoint_average
p53,4,0.5359105095677877,222,30,10,checkpoint_average
caspase_activity_cellevent-caspase_live-cell_dye,0,0.6241228752726485,422,24,10,checkpoint_average
caspase_activity_cellevent-caspase_live-cell_dye,1,0.5642369511750659,374,24,10,checkpoint_average
caspase_activity_cellevent-caspase_live-cell_dye,2,0.6116558177370366,366,24,10,checkpoint_average
caspase_activity_cellevent-caspase_live-cell_dye,3,0.5761463061393224,394,24,10,checkpoint_average
caspase_activity_cellevent-caspase_live-cell_dye,4,0.6140239531763806,444,24,10,checkpoint_average
ps6,0,0.6299040725055779,211,30,10,checkpoint_average
ps6,1,0.5676133108214864,187,30,10,checkpoint_average
ps6,2,0.5895729347309119,183,30,10,checkpoint_average
ps6,3,0.5507205517013559,197,30,10,checkpoint_average
ps6,4,0.6090950529250497,222,30,10,checkpoint_average
prb,0,0.4023580026291135,211,30,10,checkpoint_average
prb,1,0.6351583726587858,187,30,10,checkpoint_average
prb,2,0.2819182190978233,183,30,10,checkpoint_average
prb,3,0.643203518162385,197,30,10,checkpoint_average
prb,4,0.6113206749794252,222,30,10,checkpoint_average
nuclei_hoechst,0,0.7478938461247566,211,60,10,checkpoint_average
nuclei_hoechst,1,0.7571253222741404,187,60,10,checkpoint_average
nuclei_hoechst,2,0.7783665192287984,183,60,10,checkpoint_average
nuclei_hoechst,3,0.729164467324736,197,60,10,checkpoint_average
nuclei_hoechst,4,0.7638256586650104,222,60,10,checkpoint_average
nucleoli_npm1,0,0.5429320519936358,211,72,10,checkpoint_average
nucleoli_npm1,1,0.5232176316666681,187,72,10,checkpoint_average
nucleoli_npm1,2,0.6170054010986791,183,72,10,checkpoint_average
nucleoli_npm1,3,0.5364714863744413,197,72,10,checkpoint_average
nucleoli_npm1,4,0.5294235934055738,222,72,10,checkpoint_average
b-catenin,0,0.6153095071482888,211,30,10,checkpoint_average
b-catenin,1,0.5898281487637743,187,30,10,checkpoint_average
b-catenin,2,0.5461526749903084,183,30,10,checkpoint_average
b-catenin,3,0.5542099194250449,197,30,10,checkpoint_average
b-catenin,4,0.5494355676365148,222,30,10,checkpoint_average
c-myc,0,0.5376575216894298,211,30,10,checkpoint_average
c-myc,1,0.5558617019001798,187,30,10,checkpoint_average
c-myc,2,0.5419757350400836,183,30,10,checkpoint_average
c-myc,3,0.6096011080522511,197,30,10,checkpoint_average
c-myc,4,0.5887737265272271,222,30,10,checkpoint_average
er_cona,0,0.7138486133604102,211,72,10,checkpoint_average
er_cona,1,0.6956472416504417,187,72,10,checkpoint_average
er_cona,2,0.7374635051955489,183,72,10,checkpoint_average
er_cona,3,0.7172023325943548,197,72,10,checkpoint_average
er_cona,4,0.7121365003776351,222,72,10,checkpoint_average
microtubules_tubulin,0,0.7421505525786039,211,72,10,checkpoint_average
microtubules_tubulin,1,0.7002323568171085,187,72,10,checkpoint_average
microtubules_tubulin,2,0.7451787372954318,183,72,10,checkpoint_average
microtubules_tubulin,3,0.7276449994993087,197,72,10,checkpoint_average
microtubules_tubulin,4,0.7270820643539899,222,72,10,checkpoint_average
nucleolus-dfc_fbl,0,0.7601211505380805,422,24,10,checkpoint_average
nucleolus-dfc_fbl,1,0.8022831107744501,374,24,10,checkpoint_average
nucleolus-dfc_fbl,2,0.8157195218488494,366,24,10,checkpoint_average
nucleolus-dfc_fbl,3,0.7882962962714344,394,24,10,checkpoint_average
nucleolus-dfc_fbl,4,0.8124748777732229,444,24,10,checkpoint_average
plasma_membrane_wga,0,0.765261405216399,211,72,10,checkpoint_average
plasma_membrane_wga,1,0.7337921610660457,187,72,10,checkpoint_average
plasma_membrane_wga,2,0.7646091230505881,183,72,10,checkpoint_average
plasma_membrane_wga,3,0.7492373369687136,197,72,10,checkpoint_average
plasma_membrane_wga,4,0.7547624049946753,222,72,10,checkpoint_average
microtubules_map4,0,0.8488121847625215,211,24,10,checkpoint_average
microtubules_map4,1,0.8441821974443231,187,24,10,checkpoint_average
