gene,n_targeting_cells
NUFIP2,114
NUP214,139
NUP37,94
NUP54,116
NUP98,130
OAZ1,109
OGT,137
OR2T5,119
ORC6,108
OSBPL7,124
OST4,130
OTOP1,138
P4HB,81
PAICS,100
PAN2,135
PARP1,142
PARP12,119
PATL1,128
PCF11,141
PCID2,134
PCYT1A,118
PDCD7,158
PDGFRA,131
PDIA6,106
PDPK1,112
PDZK1IP1,106
PEF1,114
PEX19,126
PFDN2,135
PFN1,134
PGK1,129
PHB,148
PHB2,142
PHF23,113
PIAS1,114
PIGS,129
PIM2,130
PKMYT1,131
PLA2G4A,98
PLEKHM2,130
PLGLB2,121
PLOD3,113
POLA1,108
POLA2,96
POLE,139
POLE2,124
POLE4,111
POLR1B,147
POLR1C,149
POLR1E,118
POLR2B,138
POLR2C,113
POLR2D,140
POLR2E,133
POLR2F,95
POLR2H,166
POLR2I,143
POLR2M,110
POLR3A,118
POLR3B,129
POLR3E,130
POLR3F,161
POP4,113
POU3F1,120
PPAN,155
PPAT,161
PPCS,113
PPIA,114
PPIAL4D,102
PPIE,112
PPP1CA,124
PPP1R15B,106
PPP1R2,111
PPP2CA,129
PPWD1,100
PPY,106
PRAMEF6,120
PRCC,112
PRDM13,118
PREB,128
PRELID3B,147
PRIM1,122
PRKACA,116
PRKRA,116
PRMT3,151
PROS1,104
PRPF39,122
PRPF4,136
PRPF6,119
PRRC2A,117
PRSS3,121
PSMB6,75
PSMC2,108
PSMC6,109
PSMD11,137
PSMD14,103
PSMD2,100
PSMD4,107
PSPC1,137
PSRC1,114
PTDSS1,125
PTEN,128
PTK2,130
PTPMT1,104
PTPRH,109
PTPRR,121
PUF60,135
PUM1,128
PXN,144
QARS,143
QTRT1,119
RAB10,125
RAB11A,134
RAB14,89
RAB4A,111
RAB5C,122
RAB6A,119
RAB7A,126
RABGGTA,142
RABGGTB,91
RAC1,153
RAC3,132
RAD21,122
RAE1,131
RAI14,126
RANBP1,116
RANGAP1,122
RAP1GAP2,128
RAPGEF1,103
RARS,122
RBBP8,105
RBFA,134
RBM10,131
RBM14,107
RBM22,125
RBM26,132
RBM28,106
RBM42,127
RBM5,101
RBMXL1,175
RBPJ,124
RCL1,97
REST,110
REV3L,113
RFWD3,111
RGP1,143
RGPD8,131
RHOA,110
RHOF,113
RHOG,100
RHOQ,106
RICTOR,98
RIOK2,113
RNF11,114
RNF146,87
RNF20,112
RNF41,124
RPA2,152
RPF2,125
RPL15,138
RPL18,109
RPL23,114
RPL26,120
RPL27A,98
RPL30,124
RPL32,115
RPL34,104
RPL35,99
RPL37A,132
RPL41,122
RPL5,108
RPL9,96
RPLP1,126
RPLP2,96
RPRD1A,118
RPS10,136
RPS14,138
RPS16,152
RPS19BP1,125
RPS25,109
RPS27A,141
RPS28,117
RPS29,145
RPS3A,120
RPS4X,90
RPS5,158
RPS6,154
RPS6KA4,112
RPS8,77
RPS9,122
RPSA,104
RPTOR,107
RRM1,129
RRN3,140
RRP7A,130
RRS1,114
RSL24D1,111
RTTN,125
RXRA,133
S100B,116
SACM1L,121
SALL3,105
SAMM50,105
SARS,105
SCAF4,151
SCAF8,91
