reporter_slug,modality,display_column,feature_class
lysosome_lamp1,phase,113,phase2d_vesicular_dark
lysosome_lamp1,phase,114,phase2d_vesicular_dark
lysosome_lamp1,phase,115,phase2d_vesicular_dark
lysosome_lamp1,phase,116,phase2d_vesicular_dark
lysosome_lamp1,phase,117,phase2d_vesicular_dark
lysosome_lamp1,phase,118,phase2d_vesicular_dark
lysosome_lamp1,phase,119,phase2d_vesicular_dark
lysosome_lamp1,phase,120,phase2d_vesicular_dark
lysosome_lamp1,phase,121,phase2d_vesicular_dark
lysosome_lamp1,phase,122,phase2d_vesicular
lysosome_lamp1,phase,123,phase2d_vesicular
lysosome_lamp1,phase,124,phase2d_vesicular
lysosome_lamp1,phase,125,phase2d_vesicular
lysosome_lamp1,phase,126,phase2d_vesicular
lysosome_lamp1,phase,127,phase2d_vesicular
lysosome_lamp1,phase,128,phase2d_vesicular
lysosome_lamp1,phase,129,phase2d_vesicular
lysosome_lamp1,phase,130,phase2d_tubular
lysosome_lamp1,phase,131,phase2d_tubular
lysosome_lamp1,phase,132,phase2d_tubular
lysosome_lamp1,phase,133,phase2d_tubular
lysosome_lamp1,phase,134,phase2d_tubular
lysosome_lamp1,phase,135,phase2d_tubular
lysosome_lamp1,phase,136,phase2d_tubular
lysosome_lamp1,phase,137,phase2d_tubular
lysosome_lamp1,phase,138,cell
lysosome_lamp1,phase,139,phase2d_tubular
lysosome_lamp1,phase,140,phase2d_tubular
lysosome_lamp1,phase,141,phase2d_tubular
lysosome_lamp1,phase,142,phase2d_vesicular
lysosome_lamp1,phase,143,phase2d_vesicular
lysosome_lamp1,phase,144,phase2d_vesicular
lysosome_lamp1,phase,145,phase2d_tubular
lysosome_lamp1,phase,146,phase2d_tubular
lysosome_lamp1,phase,147,phase2d_tubular
lysosome_lamp1,phase,148,phase2d_vesicular_dark
lysosome_lamp1,phase,149,phase2d_vesicular_dark
lysosome_lamp1,phase,150,phase2d_vesicular_dark
lysosome_lamp1,phase,151,phase2d_vesicular_dark
lysosome_lamp1,phase,152,phase2d_vesicular_dark
lysosome_lamp1,phase,153,phase2d_vesicular
lysosome_lamp1,phase,154,phase2d_vesicular
lysosome_lamp1,phase,155,phase2d_tubular
lysosome_lamp1,phase,156,phase2d_tubular
lysosome_lamp1,phase,157,phase2d_vesicular_dark
lysosome_lamp1,phase,158,phase2d_vesicular_dark
lysosome_lamp1,phase,159,phase2d_vesicular_dark
lysosome_lamp1,phase,160,phase2d_vesicular_dark
lysosome_lamp1,phase,161,phase2d_vesicular_dark
lysosome_lamp1,phase,162,phase2d_vesicular
lysosome_lamp1,phase,163,phase2d_vesicular
lysosome_lamp1,phase,164,phase2d_vesicular
lysosome_lamp1,phase,165,cell
lysosome_lamp1,phase,166,phase2d_vesicular_dark
lysosome_lamp1,phase,167,phase2d_vesicular
lysosome_lamp1,phase,168,phase2d_tubular
lysosome_lamp1,phase,169,cell
lysosome_lamp1,phase,170,cell
lysosome_lamp1,phase,171,cell
lysosome_lamp1,target,0,Integrated
lysosome_lamp1,target,1,Integrated
lysosome_lamp1,target,2,Integrated
lysosome_lamp1,target,3,Integrated
lysosome_lamp1,target,4,Dispersion
lysosome_lamp1,target,5,Extrema/range
lysosome_lamp1,target,6,Extrema/range
lysosome_lamp1,target,7,Extrema/range
lysosome_lamp1,target,8,Extrema/range
lysosome_lamp1,target,9,Dispersion
lysosome_lamp1,target,10,Dispersion
lysosome_lamp1,target,11,Dispersion
lysosome_lamp1,target,12,Extrema/range
lysosome_lamp1,target,13,Extrema/range
lysosome_lamp1,target,14,Extrema/range
lysosome_lamp1,target,15,Level
lysosome_lamp1,target,16,Level
lysosome_lamp1,target,17,Extrema/range
lysosome_lamp1,target,18,Extrema/range
lysosome_lamp1,target,19,Extrema/range
lysosome_lamp1,target,20,Extrema/range
lysosome_lamp1,target,21,Extrema/range
lysosome_lamp1,target,22,Extrema/range
lysosome_lamp1,target,23,Extrema/range
prb,phase,0,cell
prb,phase,1,cell
prb,phase,2,cell
prb,phase,3,cell
prb,phase,4,cell
prb,phase,5,cell
prb,phase,6,cell
prb,phase,7,phase2d_vesicular
prb,phase,8,phase2d_vesicular
prb,phase,9,phase2d_tubular
prb,phase,10,phase2d_tubular
prb,phase,11,phase2d_tubular
prb,phase,12,phase2d_vesicular
prb,phase,13,phase2d_vesicular_dark
prb,phase,14,phase2d_vesicular
prb,phase,15,phase2d_vesicular
prb,phase,16,phase2d_vesicular
prb,phase,17,phase2d_vesicular
prb,phase,18,phase2d_vesicular_dark
prb,phase,19,phase2d_vesicular_dark
prb,phase,20,phase2d_vesicular_dark
prb,phase,21,phase2d_vesicular_dark
prb,phase,22,phase2d_vesicular_dark
prb,phase,23,phase2d_vesicular_dark
prb,phase,24,phase2d_vesicular_dark
prb,phase,25,phase2d_vesicular_dark
prb,phase,26,phase2d_vesicular_dark
prb,phase,27,phase2d_vesicular_dark
prb,phase,28,phase2d_vesicular_dark
prb,phase,29,phase2d_vesicular
prb,phase,30,phase2d_vesicular
prb,phase,31,phase2d_vesicular
prb,phase,32,phase2d_vesicular
prb,phase,33,phase2d_vesicular
prb,phase,34,phase2d_vesicular
prb,phase,35,phase2d_vesicular
prb,phase,36,phase2d_vesicular
prb,phase,37,phase2d_vesicular_dark
prb,phase,38,phase2d_vesicular_dark
prb,phase,39,phase2d_vesicular_dark
prb,phase,40,phase2d_vesicular_dark
prb,phase,41,phase2d_vesicular_dark
prb,phase,42,phase2d_vesicular
prb,phase,43,phase2d_vesicular
prb,phase,44,phase2d_vesicular
prb,phase,45,phase2d_vesicular
prb,phase,46,phase2d_tubular
prb,phase,47,phase2d_tubular
prb,phase,48,phase2d_tubular
prb,phase,49,phase2d_vesicular
prb,phase,50,phase2d_vesicular
prb,phase,51,phase2d_tubular
prb,phase,52,phase2d_vesicular_dark
prb,phase,53,phase2d_vesicular_dark
prb,phase,54,cell
prb,phase,55,cell
prb,phase,56,cell
prb,phase,57,phase2d_tubular
prb,phase,58,phase2d_tubular
prb,phase,59,phase2d_tubular
prb,phase,60,phase2d_tubular
prb,phase,61,phase2d_tubular
prb,phase,62,phase2d_tubular
prb,phase,63,phase2d_tubular
prb,phase,64,phase2d_tubular
prb,phase,65,phase2d_tubular
prb,phase,66,phase2d_tubular
prb,phase,67,phase2d_tubular
prb,phase,68,phase2d_tubular
prb,phase,69,phase2d_vesicular
prb,phase,70,phase2d_vesicular
prb,phase,71,cell
prb,phase,72,phase2d_vesicular
prb,phase,73,phase2d_vesicular
prb,phase,74,phase2d_vesicular_dark
prb,phase,75,phase2d_vesicular
prb,phase,76,phase2d_tubular
prb,phase,77,phase2d_tubular
prb,phase,78,phase2d_vesicular
prb,phase,79,phase2d_vesicular_dark
prb,phase,80,phase2d_tubular
prb,phase,81,phase2d_tubular
prb,phase,82,phase2d_vesicular_dark
