reporter_slug,control,metric,exact_minus_control
b-catenin,covariate_matched_deranged,Cell,0.19062955454503633
c-myc,covariate_matched_deranged,Cell,0.16499027810990813
caspase_activity_cellevent-caspase_live-cell_dye,covariate_matched_deranged,Cell,0.3092834361644541
cell_proliferation_marker_mki67,covariate_matched_deranged,Cell,0.2314070402334133
chaperones_hspa1b,covariate_matched_deranged,Cell,0.2248063612729312
chromalive_488_excitation,covariate_matched_deranged,Cell,0.33073159779111544
chromatin_h2bc21,covariate_matched_deranged,Cell,0.3625746460010608
clathrin_vesicles_clta,covariate_matched_deranged,Cell,0.3199953133240342
early_endosome_eea1,covariate_matched_deranged,Cell,0.28718063731988275
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,covariate_matched_deranged,Cell,0.11544372588396068
endosome_vps35,covariate_matched_deranged,Cell,0.19916660661498697
er_cona,covariate_matched_deranged,Cell,0.18591183169434472
er_golgi_bridge_vapa,covariate_matched_deranged,Cell,0.3678411514808734
er_golgi_cop-ii_sec23a,covariate_matched_deranged,Cell,0.26236427463591083
er_golgi_cope,covariate_matched_deranged,Cell,0.15945131257176393
er_ncln,covariate_matched_deranged,Cell,0.23352499107519792
er_sec61b,covariate_matched_deranged,Cell,0.21848563353220618
f-actin_phalloidin,covariate_matched_deranged,Cell,0.21569972634315498
fe2+_ferhonox_live-cell_dye,covariate_matched_deranged,Cell,0.04367740675806997
late_endosome_rab7a,covariate_matched_deranged,Cell,0.3521666496992111
lipid_droplet_bodipy_live_cell_dye,covariate_matched_deranged,Cell,0.2959632758051156
lipid_droplet_plin2,covariate_matched_deranged,Cell,0.15314993386467302
lysosome_lamp1,covariate_matched_deranged,Cell,0.2993389817575614
lysosome_lysotracker_live-cell_dye,covariate_matched_deranged,Cell,0.2992701401313145
microtubules_map4,covariate_matched_deranged,Cell,0.2485813384254773
microtubules_tubulin,covariate_matched_deranged,Cell,0.20455626265870203
mitochondria_chromalive_561_excitation,covariate_matched_deranged,Cell,0.1431658886373044
mitochondria_tomm20,covariate_matched_deranged,Cell,0.20449164584279061
mitochondria_tomm70a,covariate_matched_deranged,Cell,0.14090753421187407
nuclear_speckles_srrm2,covariate_matched_deranged,Cell,0.21366130237778036
nuclei_hoechst,covariate_matched_deranged,Cell,0.37942428732911754
nuclei_nucleolive_live_cell_dye,covariate_matched_deranged,Cell,0.21810014086465046
nucleoli_npm1,covariate_matched_deranged,Cell,0.25849482151421
nucleolus-dfc_fbl,covariate_matched_deranged,Cell,0.17891543259223297
nucleolus-gc_npm3,covariate_matched_deranged,Cell,0.25635000877082337
oxidative_stress_cellrox_live-cell_dye,covariate_matched_deranged,Cell,0.2048553547511499
p21,covariate_matched_deranged,Cell,0.09598515296975768
p53,covariate_matched_deranged,Cell,0.1662937587002913
peroxisome_peroxi_spy650_live_cell_dye,covariate_matched_deranged,Cell,0.20177870156864341
plasma_membrane_atp1b3,covariate_matched_deranged,Cell,0.25677953939884895
plasma_membrane_slc3a2,covariate_matched_deranged,Cell,0.2262543526788553
plasma_membrane_wga,covariate_matched_deranged,Cell,0.20297111995104294
prb,covariate_matched_deranged,Cell,0.2016190738145572
proteasome_psmb7,covariate_matched_deranged,Cell,0.0990799764792124
ps6,covariate_matched_deranged,Cell,0.19573230340378356
recycling_endosome_tfrc,covariate_matched_deranged,Cell,0.2357189285258453
stress_granule_g3bp1,covariate_matched_deranged,Cell,0.32618606425821783
trans-golgi_vamp3,covariate_matched_deranged,Cell,0.2314272028704485
5xupre,covariate_matched_deranged,KO,0.2801593238115312
actin_filament_fastact_spy555_live_cell_dye,covariate_matched_deranged,KO,0.35045011801024273
autophagosome_atg101,covariate_matched_deranged,KO,0.25617076378936576
autophagosome_map1lc3b,covariate_matched_deranged,KO,0.2472951658070086
b-catenin,covariate_matched_deranged,KO,0.17736422680318364
c-myc,covariate_matched_deranged,KO,0.18417856032261626
caspase_activity_cellevent-caspase_live-cell_dye,covariate_matched_deranged,KO,0.30547360372535576
cell_proliferation_marker_mki67,covariate_matched_deranged,KO,0.3666675079613923
chaperones_hspa1b,covariate_matched_deranged,KO,0.3141700349127252
chromalive_488_excitation,covariate_matched_deranged,KO,0.34729438045372574
chromatin_h2bc21,covariate_matched_deranged,KO,0.32758866765846817
clathrin_vesicles_clta,covariate_matched_deranged,KO,0.31974152401089695
early_endosome_eea1,covariate_matched_deranged,KO,0.2096251403292022
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,covariate_matched_deranged,KO,0.2815811744037394
endosome_vps35,covariate_matched_deranged,KO,0.254655642559131
er_cona,covariate_matched_deranged,KO,0.17028058118497336
er_golgi_bridge_vapa,covariate_matched_deranged,KO,0.31999712844068806
er_golgi_cop-ii_sec23a,covariate_matched_deranged,KO,0.23091743712623913
er_golgi_cope,covariate_matched_deranged,KO,0.3129993865887326
er_ncln,covariate_matched_deranged,KO,0.2546840881618361
er_sec61b,covariate_matched_deranged,KO,0.22898747349778825
f-actin_phalloidin,covariate_matched_deranged,KO,0.21463582631614475
fe2+_ferhonox_live-cell_dye,covariate_matched_deranged,KO,0.32607954748285295
late_endosome_rab7a,covariate_matched_deranged,KO,0.35827036599318185
lipid_droplet_bodipy_live_cell_dye,covariate_matched_deranged,KO,0.30019734899202966
