reporter_slug,arm,cell_pearson,gene_pearson
microtubules_map4,crossfit_gene_screen_residual,0.7131316383679708,
microtubules_map4,exact_pair,0.7241087769468625,0.8217552954951921
microtubules_map4,gene_screen_deranged,0.1241444989417989,0.3177228313405066
microtubules_map4,remove_size_shape,0.7237428161005178,0.822013254960378
microtubules_map4,size_shape_only,0.4214182348301013,0.4905453506236276
microtubules_tubulin,covariate_matched_deranged,0.3708136450499296,0.5219867558528979
microtubules_tubulin,crossfit_gene_screen_residual,0.5644395710279545,
microtubules_tubulin,exact_pair,0.5753699077086316,0.7260338619765309
microtubules_tubulin,gene_screen_deranged,0.0567575506365149,0.1506268005245752
microtubules_tubulin,remove_size_shape,0.5743381022579139,0.722144526657131
microtubules_tubulin,size_shape_only,0.3293497727252542,0.4763357966724369
mitochondria_chromalive_561_excitation,covariate_matched_deranged,0.6713525240619977,0.6178403736402591
mitochondria_chromalive_561_excitation,crossfit_gene_screen_residual,0.6743477173149586,
mitochondria_chromalive_561_excitation,exact_pair,0.8145184126993021,0.8134418331086636
mitochondria_chromalive_561_excitation,gene_screen_deranged,0.5475955553042392,0.4336266595404595
mitochondria_chromalive_561_excitation,remove_size_shape,0.8150967339674631,0.8166040567060312
mitochondria_chromalive_561_excitation,size_shape_only,0.3373847135032216,0.5426827900111675
mitochondria_tomm20,covariate_matched_deranged,0.3231043790570563,0.4960681572090834
mitochondria_tomm20,crossfit_gene_screen_residual,0.5154900362094244,
mitochondria_tomm20,exact_pair,0.5275960248998469,0.6913139553947582
mitochondria_tomm20,gene_screen_deranged,0.0557247673167188,0.1810901222065795
mitochondria_tomm20,remove_size_shape,0.5257364773915874,0.6902679459295339
mitochondria_tomm20,size_shape_only,0.2931917107353607,0.4591478349637731
mitochondria_tomm70a,covariate_matched_deranged,0.6360867850482463,0.5371367954959472
mitochondria_tomm70a,crossfit_gene_screen_residual,0.6274685134490332,
mitochondria_tomm70a,exact_pair,0.7769943192601204,0.7493476462860902
mitochondria_tomm70a,gene_screen_deranged,0.5375906325411052,0.3109222728235181
mitochondria_tomm70a,remove_size_shape,0.7774584415058294,0.7499757386744023
mitochondria_tomm70a,size_shape_only,0.2250020435079932,0.2344802896530987
nuclear_speckles_srrm2,covariate_matched_deranged,0.650923029333353,0.425163075638314
nuclear_speckles_srrm2,crossfit_gene_screen_residual,0.7635432553788026,
nuclear_speckles_srrm2,exact_pair,0.8645843317111334,0.8753239949544271
nuclear_speckles_srrm2,gene_screen_deranged,0.584540191416939,0.4272581491231297
nuclear_speckles_srrm2,remove_size_shape,0.864513611793518,0.8753743767738342
nuclear_speckles_srrm2,size_shape_only,0.1803254150475064,0.2273542856254304
nuclei_hoechst,covariate_matched_deranged,0.3079077793657779,0.4267918512225151
nuclei_hoechst,crossfit_gene_screen_residual,0.6775210792819658,
nuclei_hoechst,exact_pair,0.6873320666948954,0.7592073032259942
nuclei_hoechst,gene_screen_deranged,0.0729161455916861,0.1155913189383378
nuclei_hoechst,remove_size_shape,0.6858315292000771,0.7573261279861132
nuclei_hoechst,size_shape_only,0.2791367559134959,0.4052683777610461
nuclei_nucleolive_live_cell_dye,covariate_matched_deranged,0.5225818034261465,0.5887980783979098
nuclei_nucleolive_live_cell_dye,crossfit_gene_screen_residual,0.6477098722010851,
nuclei_nucleolive_live_cell_dye,exact_pair,0.7406819442907969,0.8505064211785793
nuclei_nucleolive_live_cell_dye,gene_screen_deranged,0.3980256618931889,0.2788351715387155
nuclei_nucleolive_live_cell_dye,remove_size_shape,0.7408008599032959,0.8505408339202404
nuclei_nucleolive_live_cell_dye,size_shape_only,0.2343950722366571,0.1084029411819452
nucleoli_npm1,covariate_matched_deranged,0.1784966441569849,0.2851919109302899
nucleoli_npm1,crossfit_gene_screen_residual,0.4294558096677064,
nucleoli_npm1,exact_pair,0.4369914656711949,0.5388009467679593
nucleoli_npm1,gene_screen_deranged,0.0255413927131384,0.0738742576675778
nucleoli_npm1,remove_size_shape,0.436684236344364,0.5384366379015976
nucleoli_npm1,size_shape_only,0.16094047925435,0.272484900669143
nucleolus-dfc_fbl,covariate_matched_deranged,0.6501955231030782,0.400557043030858
nucleolus-dfc_fbl,crossfit_gene_screen_residual,0.6683127043147882,
nucleolus-dfc_fbl,exact_pair,0.8291109556953111,0.7960615585247676
nucleolus-dfc_fbl,gene_screen_deranged,0.5969430863857269,0.2936507224105298
nucleolus-dfc_fbl,remove_size_shape,0.8295111815134686,0.7966209759314855
nucleolus-dfc_fbl,size_shape_only,0.2005824600035945,0.1170982057151073
nucleolus-gc_npm3,covariate_matched_deranged,0.5694312496731679,0.4138086471706629
nucleolus-gc_npm3,crossfit_gene_screen_residual,0.6968838311731815,
nucleolus-gc_npm3,exact_pair,0.8257812584439913,0.8384222944577535
nucleolus-gc_npm3,gene_screen_deranged,0.4762778352946043,0.4215484958762923
nucleolus-gc_npm3,remove_size_shape,0.826586971928676,0.8391495118538538
nucleolus-gc_npm3,size_shape_only,0.1955725795278946,0.1089035275232163
oxidative_stress_cellrox_live-cell_dye,covariate_matched_deranged,0.5724257346242666,0.5046440625408043
oxidative_stress_cellrox_live-cell_dye,crossfit_gene_screen_residual,0.6156181731571755,
oxidative_stress_cellrox_live-cell_dye,exact_pair,0.7772810893754165,0.6715305698414643
oxidative_stress_cellrox_live-cell_dye,gene_screen_deranged,0.4920433670282363,0.3667409972537522
oxidative_stress_cellrox_live-cell_dye,remove_size_shape,0.7791121323903403,0.6728189976265033
oxidative_stress_cellrox_live-cell_dye,size_shape_only,0.183732799688975,0.1521938137574276
p21,covariate_matched_deranged,0.3242713551223278,0.4987009449054797
p21,crossfit_gene_screen_residual,0.4002207591136296,
p21,exact_pair,0.4202565080920855,0.6163703919450442
p21,gene_screen_deranged,0.1134067671875042,0.3529876340863605
p21,remove_size_shape,0.4214192091425259,0.6104803324739139
p21,size_shape_only,0.3248092271387577,0.4619727003574371
p53,covariate_matched_deranged,0.2494179525971412,0.4484753550216555
p53,crossfit_gene_screen_residual,0.3999791536231835,
p53,exact_pair,0.4157117112974325,0.5893005734682084
p53,gene_screen_deranged,0.0672738212779707,0.2680094826764737
p53,remove_size_shape,0.4180706981321175,0.5996146253744762
p53,size_shape_only,0.2299382185563445,0.3906041089522962
peroxisome_peroxi_spy650_live_cell_dye,covariate_matched_deranged,0.6615618098527193,0.4259685875847935
peroxisome_peroxi_spy650_live_cell_dye,crossfit_gene_screen_residual,0.7385919665296872,
peroxisome_peroxi_spy650_live_cell_dye,exact_pair,0.8633405114213627,0.8052290680507819
peroxisome_peroxi_spy650_live_cell_dye,gene_screen_deranged,0.5540188259755572,0.1589274667901918
peroxisome_peroxi_spy650_live_cell_dye,remove_size_shape,0.8633277249832949,0.8091389586528143
peroxisome_peroxi_spy650_live_cell_dye,size_shape_only,0.2466716096426049,0.2816863555791011
plasma_membrane_atp1b3,covariate_matched_deranged,0.4013521395002802,0.5033113673329354
plasma_membrane_atp1b3,crossfit_gene_screen_residual,0.6091111168265343,
plasma_membrane_atp1b3,exact_pair,0.6581316788991292,0.75944919064641
plasma_membrane_atp1b3,gene_screen_deranged,0.2845781100913881,0.3768401247138778
plasma_membrane_atp1b3,remove_size_shape,0.6595185870925585,0.7613293421765168
plasma_membrane_atp1b3,size_shape_only,0.2197114965567985,0.2735226767797333
plasma_membrane_slc3a2,covariate_matched_deranged,0.6323920461038748,0.7199097335338592
plasma_membrane_slc3a2,crossfit_gene_screen_residual,0.8291029572486878,
plasma_membrane_slc3a2,exact_pair,0.8586463987827301,0.9131670052806536
plasma_membrane_slc3a2,gene_screen_deranged,0.33304426651448,0.4680428436899092
plasma_membrane_slc3a2,remove_size_shape,0.858358776072661,0.9131583834687867
plasma_membrane_slc3a2,size_shape_only,0.5075688838958741,0.5721364680677652
plasma_membrane_wga,covariate_matched_deranged,0.4047777961318691,0.549973802247809
plasma_membrane_wga,crossfit_gene_screen_residual,0.5965369283325141,
plasma_membrane_wga,exact_pair,0.607748916082912,0.7499797479146058
plasma_membrane_wga,gene_screen_deranged,0.0849652280801819,0.1804953532117199
plasma_membrane_wga,remove_size_shape,0.6071131387518511,0.7491643836100896
plasma_membrane_wga,size_shape_only,0.3677911976352334,0.518885613936517
prb,covariate_matched_deranged,0.1270619278486507,0.3205595254823493
prb,crossfit_gene_screen_residual,0.3093041737377643,
prb,exact_pair,0.3286810016632079,0.4896593461930751
prb,gene_screen_deranged,0.0375636142713483,0.1991936544476387
prb,remove_size_shape,0.3287388107180595,0.4776097299166334
prb,size_shape_only,0.1284636591227414,0.2866071743497741
proteasome_psmb7,covariate_matched_deranged,0.5544986153642337,0.412797541807716
proteasome_psmb7,crossfit_gene_screen_residual,0.4747281527146697,
proteasome_psmb7,exact_pair,0.6535785918434461,0.6016467505289862
proteasome_psmb7,gene_screen_deranged,0.4884521175175905,0.2567188878621285
proteasome_psmb7,remove_size_shape,0.6545403135319551,0.6050694485350201
proteasome_psmb7,size_shape_only,0.2086732195069392,0.2574865328768888
ps6,covariate_matched_deranged,0.3255097777869863,0.394929649985861
ps6,crossfit_gene_screen_residual,0.5104235907519857,
ps6,exact_pair,0.5212420811907699,0.5865411626764884
ps6,gene_screen_deranged,0.0761513235352079,0.1578520507326659
ps6,remove_size_shape,0.521198859848082,0.5878663868037984
ps6,size_shape_only,0.2534952412064498,0.3229109687179637
recycling_endosome_tfrc,covariate_matched_deranged,0.6358928037186463,0.639441347370545
recycling_endosome_tfrc,crossfit_gene_screen_residual,0.7967262844244638,
recycling_endosome_tfrc,exact_pair,0.8716117322444916,0.8925565471251806
recycling_endosome_tfrc,gene_screen_deranged,0.5029281518111626,0.3370985241417656
recycling_endosome_tfrc,remove_size_shape,0.871815145512422,0.8942880590756734
recycling_endosome_tfrc,size_shape_only,0.257678925866882,0.4498269600861627
stress_granule_g3bp1,covariate_matched_deranged,0.5512249451130629,0.6611001196006934
stress_granule_g3bp1,crossfit_gene_screen_residual,0.8661385881404081,
stress_granule_g3bp1,exact_pair,0.8774110093712807,0.934962415198485
stress_granule_g3bp1,gene_screen_deranged,0.1413743587210774,0.3485867538722232
stress_granule_g3bp1,remove_size_shape,0.8768719839553037,0.9344605579972268
stress_granule_g3bp1,size_shape_only,0.4480812112490335,0.5641134954988957
trans-golgi_vamp3,covariate_matched_deranged,0.4329612473646799,0.3939439843874425
trans-golgi_vamp3,crossfit_gene_screen_residual,0.6400322658320268,
trans-golgi_vamp3,exact_pair,0.6643884502351284,0.6881281577050686
trans-golgi_vamp3,gene_screen_deranged,0.2693389405651639,0.085913727208026
trans-golgi_vamp3,remove_size_shape,0.657962886740764,0.684617921213309
trans-golgi_vamp3,size_shape_only,0.3054956359167893,0.3291043992503545
