row_key,band,label,sublabel,quantity,value,threshold_min,threshold_max,passes
dropout_dapi:stain_dropout_dapi,second_question,"DAPI, nucleus","predicted from ConA, phalloidin, WGA",reliability,0.054223615759319,0.3,,False
dropout_cona:stain_dropout_cona,second_question,"ConA, ER","predicted from DAPI, phalloidin, WGA",recoverability_r,0.7956276631775333,0.7,,True
dropout_cona:stain_dropout_cona,second_question,"ConA, ER","predicted from DAPI, phalloidin, WGA",magnitude_spearman,0.8380923866819814,0.7,,True
dropout_cona:stain_dropout_cona,second_question,"ConA, ER","predicted from DAPI, phalloidin, WGA",variance_ratio,0.798984533822307,0.5,1.5,True
dropout_cona:stain_dropout_cona,second_question,"ConA, ER","predicted from DAPI, phalloidin, WGA",top5pct_recall,0.5931372549019608,0.6,,False
dropout_cona:stain_dropout_cona,second_question,"ConA, ER","predicted from DAPI, phalloidin, WGA",reliability,0.0485695224861321,0.3,,False
dropout_phalloidin:stain_dropout_phalloidin,second_question,"phalloidin, F-actin","predicted from DAPI, ConA, WGA",recoverability_r,0.450313862320938,0.7,,False
dropout_phalloidin:stain_dropout_phalloidin,second_question,"phalloidin, F-actin","predicted from DAPI, ConA, WGA",magnitude_spearman,0.6833237478707855,0.7,,False
dropout_phalloidin:stain_dropout_phalloidin,second_question,"phalloidin, F-actin","predicted from DAPI, ConA, WGA",variance_ratio,0.6734974999188643,0.5,1.5,True
dropout_phalloidin:stain_dropout_phalloidin,second_question,"phalloidin, F-actin","predicted from DAPI, ConA, WGA",top5pct_recall,0.392156862745098,0.6,,False
dropout_phalloidin:stain_dropout_phalloidin,second_question,"phalloidin, F-actin","predicted from DAPI, ConA, WGA",reliability,0.0323287128277897,0.3,,False
dropout_wga:stain_dropout_wga,second_question,"WGA, Golgi and membrane","predicted from DAPI, ConA, phalloidin",recoverability_r,0.7853729296331076,0.7,,True
dropout_wga:stain_dropout_wga,second_question,"WGA, Golgi and membrane","predicted from DAPI, ConA, phalloidin",magnitude_spearman,0.8952448648077291,0.7,,True
dropout_wga:stain_dropout_wga,second_question,"WGA, Golgi and membrane","predicted from DAPI, ConA, phalloidin",variance_ratio,0.6460068600279442,0.5,1.5,True
dropout_wga:stain_dropout_wga,second_question,"WGA, Golgi and membrane","predicted from DAPI, ConA, phalloidin",top5pct_recall,0.6274509803921569,0.6,,True
dropout_wga:stain_dropout_wga,second_question,"WGA, Golgi and membrane","predicted from DAPI, ConA, phalloidin",reliability,0.0457615652176759,0.3,,False
