panel,source_table,mark_id,reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason,predictor,label,rho,ci_low,ci_high,n_reporters,ci_method,bootstrap_reps,bootstrap_seed,outer_loo_r2,outer_loo_spearman,median_selected_alpha,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson,ordered_direction_index,display_screen,display_label,biological_category,metric,metric_label,value,reporter_order,status,n_directions,minimum,median,maximum,range,stable_above_gate,crosses_gate,stable_below_gate,median_within_reporter_range,iqr25_within_reporter_range,iqr75_within_reporter_range,maximum_within_reporter_range,reporter_group_eta_squared_descriptive,gate,context,model,fraction,n_compounds,k,overlap,recall,recall_lower95,recall_upper95,random_expected_overlap,random_expected_recall,enrichment_over_random,random_overlap_lower95,random_overlap_upper95,random_selection_tail_probability,signed_spearman,signed_pearson,selected_reference_loss_mean,selected_reference_loss_min,selected_reference_loss_max,true_top_loss_mean,n_bootstrap,interpretation,measured_repeat_recall,measured_repeat_overlap,recall_difference_from_repeat,difference_lower95,difference_upper95
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:20,er_sec61b,0.8119267301316617,0.9014797934797936,0.5989096388069226,0.4571854056007768,SEC61B,quantitative_proxy,0.5857843137254902,0.569322857796689,10.0,0.5775535857610896,-0.016461455928801216,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:21,f-actin_phalloidin,0.7509903596059767,0.7647367407367408,0.5555329806518494,0.3996475172727066,Phalloidin,quantitative_proxy,0.19607843137254902,0.42132693098225027,10.0,0.30870268117739963,0.22524849960970125,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:22,fe2+_ferhonox_live-cell_dye,0.9095895901510402,0.93401305001305,0.7370803755819277,0.6070291514177555,FeRhoNox live-cell dye,quantitative_proxy,0.8186274509803921,0.6951351344589919,10.0,0.756881292719692,-0.12349231652140025,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:23,late_endosome_rab7a,0.9199228804921062,0.9536693216693218,0.8287993930605023,0.5437250794222616,RAB7A,quantitative_proxy,0.8333333333333334,0.7048478026178404,10.0,0.7690905679755868,-0.12848553071549296,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:24,lipid_droplet_bodipy_live_cell_dye,0.9235090597591196,0.960959316959317,0.794749466510299,0.693173451270225,BODIPY live cell dye,quantitative_proxy,0.928921568627451,0.7627647776070987,10.0,0.8458431731172749,-0.1661567910203523,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:25,lipid_droplet_plin2,0.7182798950958886,0.5638696318696319,0.443161027867824,0.3164645586840825,PLIN2,unresolved,0.08088235294117646,0.20887730275639044,10.0,0.14487982784878345,0.12799494981521398,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:26,lysosome_lamp1,0.7512566414208901,0.8246867246867248,0.7882504923139584,0.4475988330251703,LAMP1,quantitative_proxy,0.4019607843137255,0.5258837612302795,10.0,0.4639222727720025,0.12392297691655396,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:27,lysosome_lysotracker_live-cell_dye,0.93490548931505,0.9877188397188398,0.93033168340503,0.8118267526031067,LysoTracker live-cell dye,quantitative_proxy,0.8112745098039216,0.8675328788167016,10.0,0.8394036943103116,0.05625836901278003,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:28,microtubules_map4,0.8231292524393403,0.6780510060510061,0.8142748720121701,0.557891172634394,MAP4,unresolved,0.2916666666666667,0.49233376643902216,10.0,0.39200021655284445,0.20066709977235547,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:29,microtubules_tubulin,0.7284577421088885,0.7399994599994602,0.5857511505265177,0.2737965813011502,Tubulin,not_identifiable,0.2647058823529412,0.35321416579660636,10.0,0.30896002407477374,0.08850828344366518,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:30,mitochondria_chromalive_561_excitation,0.806188695791279,0.9472878352878352,0.7999771592606584,0.7231375976605061,ChromaLIVE 561 excitation,quantitative_proxy,0.6495098039215687,0.7497133975125219,10.0,0.6996116007170452,0.10020359359095321,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:31,mitochondria_tomm20,0.6939597856755839,0.7201066441066442,0.4002878735877984,0.4495396744921411,TOMM20,ranking_proxy,0.3602941176470588,0.3635794128562175,10.0,0.36193676525163815,0.0032852952091586562,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:32,mitochondria_tomm70a,0.749968655494523,0.8310551190551191,0.8071671781490796,0.3915349809035072,TOMM70A,quantitative_proxy,0.5147058823529412,0.5111705107660603,10.0,0.5129381965595008,-0.0035353715868808866,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
