reporter_slug,n_genes,top_k,magnitude_spearman,magnitude_pearson,magnitude_variance_ratio,top5pct_recall,top5pct_jaccard,median_profile_pearson,median_profile_cosine,go_bp_top10_jaccard,go_bp_enrichment_spearman,go_cc_top10_jaccard,go_cc_enrichment_spearman,ebi_complex_top10_jaccard,ebi_complex_enrichment_spearman,statistical_unit,consensus_aggregation,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,amplitude_compressed
endosome_vps35,1000,50,0.84987312987313,0.8782362970192984,0.8053327690277695,0.7,0.5384615384615384,0.8995273292835895,0.9066634259790584,0.0,0.5921098529483442,0.1764705882352941,0.7570705180797652,0.6666666666666666,0.6703082662286245,reporter,unweighted_median_10_models,"endosome, VPS35",VPS35,Endosome,2,Biohub_OPS0013;Biohub_OPS0025,180485,0.3519252152106765,0.2487848321997394,0.1445434086814302,0.1449310667005616,0.4152154032648406,False
nucleolus-dfc_fbl,1000,50,0.8226278946278948,0.90815593167911,0.7610209142882525,0.8,0.6666666666666666,0.7875771836518852,0.8492351142208672,0.5384615384615384,0.7700349759495473,0.8181818181818182,0.8624254040417528,0.6666666666666666,0.8187613467107506,reporter,unweighted_median_10_models,"nucleolus-DFC, FBL",FBL,Nucleus,2,Biohub_OPS0041;Biohub_OPS0062,224402,0.2774818093462274,0.3067584546823129,0.0865713577510611,0.0452799719412937,0.3974820770634423,False
oxidative_stress_cellrox_live-cell_dye,1000,50,0.7922595482595484,0.9036052431953832,0.7552727102266042,0.82,0.6949152542372882,0.8277159249168539,0.8422661930899749,0.8181818181818182,0.6726049391217341,1.0,0.7619157925946626,1.0,0.9037256962237424,reporter,unweighted_median_10_models,"oxidative stress, CellROX live-cell dye",CellROX live-cell dye,Signaling,2,Biohub_OPS0048;Biohub_OPS0069,269638,0.566358845982032,0.5685453626691198,0.2935018966994057,0.3003931127396297,0.5835668111275052,False
trans-golgi_vamp3,1000,50,0.7384963864963865,0.8563376601569179,0.7688269382820125,0.86,0.7543859649122807,0.7577086592859483,0.8046294044181104,0.8181818181818182,0.9089122020296464,1.0,0.8385231847595942,0.8181818181818182,0.8607051516258677,reporter,unweighted_median_10_models,"trans-Golgi, VAMP3",VAMP3,ER/Golgi,2,Biohub_OPS0030;Biohub_OPS0059,206583,0.565576846698852,0.5908432160803658,0.323341365048756,0.4340099649599766,0.5580502444844149,False
mitochondria_chromalive_561_excitation,1000,50,0.9472878352878352,0.9660357924713936,0.7999771592606585,0.88,0.7857142857142857,0.9576655701500968,0.9376946686302224,0.8181818181818182,0.9201457542512368,0.6666666666666666,0.9177205764756564,0.6666666666666666,0.8066827079207154,reporter,unweighted_median_10_models,"mitochondria, ChromaLIVE 561 excitation",ChromaLIVE 561 excitation,Mitochondria,2,Biohub_OPS0063;Biohub_OPS0075,234909,0.7231375976605061,0.8009035291722653,0.6621438898577932,0.5701508046577872,0.8107801277002468,False
nuclei_nucleolive_live_cell_dye,1000,50,0.8531728331728332,0.9174123448171374,0.7928864032456882,0.84,0.7241379310344828,0.929012897425348,0.9150882995019504,0.8181818181818182,0.9539505545256132,0.5384615384615384,0.9349943526791328,0.8181818181818182,0.8570384616008863,reporter,unweighted_median_10_models,"nucleus, NucleoLIVE Live Cell dye",NucleoLIVE Live Cell dye,Nucleus,2,Biohub_OPS0061;Biohub_OPS0062,269328,0.6299969683630331,0.6576510267642196,,,0.2743772868866996,False
mitochondria_tomm70a,1000,50,0.8310551190551191,0.8970305044239273,0.8071671781490795,0.8,0.6666666666666666,0.8572056278002482,0.8536028884198896,0.1764705882352941,0.8141945400444587,0.6666666666666666,0.8775248439458865,0.8181818181818182,0.9371828594468254,reporter,unweighted_median_10_models,"mitochondria, TOMM70A",TOMM70A,Mitochondria,2,Biohub_OPS0015;Biohub_OPS0068,139205,0.3915349809035072,0.4373408801621547,0.1250988531304568,0.1786746250325804,0.3362678687098983,False
plasma_membrane_atp1b3,1000,50,0.787051375051375,0.8810313551708645,0.810088999533144,0.8,0.6666666666666666,0.907514960665306,0.9197327631912864,0.6666666666666666,0.7912261624700397,0.6666666666666666,0.8967390633092823,0.6666666666666666,0.7097805747795576,reporter,unweighted_median_10_models,"plasma membrane, ATP1B3",ATP1B3,Plasma Membrane,2,Biohub_OPS0032;Biohub_OPS0071,248481,0.5016975413704213,0.5465011530111286,0.4232796587385627,0.4277658948237046,0.6437785514220107,False
proteasome_psmb7,1000,50,0.8499032139032139,0.9345065155491116,0.8516936315356293,0.78,0.639344262295082,0.8867815182150147,0.8582165266350942,0.25,0.724431704671811,0.1764705882352941,0.8586596539759055,0.5384615384615384,0.6116301753478922,reporter,unweighted_median_10_models,"proteasome, PSMB7",PSMB7,Stress/PQC,2,Biohub_OPS0029;Biohub_OPS0070,197614,0.4309405843280984,0.3335110568807884,0.3185674131746618,0.4031384331934891,0.6023804802272574,False
lipid_droplet_bodipy_live_cell_dye,1000,50,0.960959316959317,0.9866785253820582,0.7947494665102989,0.96,0.9230769230769232,0.9255903603887984,0.9575433520954176,0.8181818181818182,0.9812523382864268,1.0,0.955166047565761,1.0,1.0,reporter,unweighted_median_10_models,"lipid droplet, BODIPY live cell dye",BODIPY live cell dye,Lysosome,2,Biohub_OPS0034;Biohub_OPS0066,154449,0.693173451270225,0.7270491308411119,0.6505728028964989,0.6460355829403016,0.8121489492712606,False
