target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio,case_order,representation_order,case_label,representation_label,log2_discrepancy_ratio
pRb,Biohub_OPS0077,CERCAM,phase172,24,4,True,0.7806636140978993,9.430872879632554,3.313061173537461,2.846573723105424,1.5912623405456543,1.7582181692123413,0.9050425887107848,2,0,"pRb
OPS0077",Engineered 172D,-0.14394241199961888
pRb,Biohub_OPS0077,CERS6,phase172,24,4,True,0.9017380071243596,1.3252998952866049,1.178241141123427,1.1248121025743172,1.5082197189331057,1.4988415241241455,1.006256937980652,2,0,"pRb
OPS0077",Engineered 172D,0.008998730413116877
pRb,Biohub_OPS0077,CFL1,phase172,24,4,True,0.839440666682487,0.7094537470668782,0.8103477956539846,0.8754929067146031,1.421964406967163,2.245302438735962,0.6333063840866089,2,0,"pRb
OPS0077",Engineered 172D,-0.6590244722256997
pRb,Biohub_OPS0077,CHD1,phase172,24,4,True,0.8993079597223967,9.71182614529187,5.830770654485844,1.6656162145256346,1.1442015171051023,1.6273176670074463,0.7031211853027344,2,0,"pRb
OPS0077",Engineered 172D,-0.5081547308130904
pRb,Biohub_OPS0077,CHD4,phase172,24,4,True,0.8433707707048291,2.7313629847823195,5.80218774849507,0.4707470876809804,1.184387445449829,1.2100125551223757,0.9788224697113036,2,0,"pRb
OPS0077",Engineered 172D,-0.030880874784949698
pRb,Biohub_OPS0077,CHERP,phase172,24,4,True,0.8019565448966037,3.144515693446177,1.5760322488363294,1.995210247612601,1.3998054265975952,1.393146514892578,1.004779815673828,2,0,"pRb
OPS0077",Engineered 172D,0.006879388331275707
pRb,Biohub_OPS0077,CHMP1A,phase172,24,4,True,0.7489209841266475,10.134699423238134,7.172753976884776,1.4129439620958213,2.4872195720672607,2.304724931716919,1.0791828632354736,2,0,"pRb
OPS0077",Engineered 172D,0.10993934446489295
pRb,Biohub_OPS0077,CHMP2A,phase172,24,4,True,0.8972656539401067,2.459802363017097,5.228146715543344,0.4704922215943318,1.581823468208313,1.7483989000320437,0.9047268629074096,2,0,"pRb
OPS0077",Engineered 172D,-0.1444457866753533
pRb,Biohub_OPS0077,CHMP4B,phase172,24,4,True,0.86160735340547,0.9443620330709568,0.9423703926098128,1.0021134370060465,1.5465662479400637,1.3770660161972046,1.123088002204895,2,0,"pRb
OPS0077",Engineered 172D,0.16747097793470384
pRb,Biohub_OPS0077,CHMP4C,phase172,24,4,True,0.8262246885472176,9.617919300725283,10.134618337470616,0.9490164286863232,1.3463504314422607,1.3692184686660769,0.9832984805107116,2,0,"pRb
OPS0077",Engineered 172D,-0.024298681384437904
pRb,Biohub_OPS0077,CHMP5,phase172,24,3,True,0.9012108483041724,0.8696447189705616,4.912815445491356,0.1770155481351659,1.3888545036315918,1.3265559673309326,1.0469626188278198,2,0,"pRb
OPS0077",Engineered 172D,0.06620993262738606
pRb,Biohub_OPS0077,CHMP6,phase172,24,4,True,0.8623842855482216,1.378286121810297,2.3938486150162506,0.5757616054601433,1.5627418756484983,1.719934344291687,0.9086055159568788,2,0,"pRb
OPS0077",Engineered 172D,-0.1382740311617806
pRb,Biohub_OPS0077,CHMP7,phase172,24,4,True,0.7353341698079007,7.05026868380234,5.858255655571364,1.2034757610991829,1.6787574291229248,1.7976325750350952,0.9338712692260742,2,0,"pRb
OPS0077",Engineered 172D,-0.09870440153585928
pRb,Biohub_OPS0077,CHST12,phase172,24,4,True,0.8264032993154354,1.0561456400389535,0.8584521422674474,1.2302906452645508,1.6014447212219238,1.6889230012893677,0.9482046961784364,2,0,"pRb
OPS0077",Engineered 172D,-0.07672955656196603
pRb,Biohub_OPS0077,CHTF8,phase172,24,4,True,0.8790131400956922,2.317240000726086,0.9727823074854596,2.3820745740287044,1.4127342700958252,1.4169058799743652,0.9970558285713196,2,0,"pRb
OPS0077",Engineered 172D,-0.0042538065648094125
pRb,Biohub_OPS0077,CIAO1,phase172,24,4,True,0.7468233338885034,1.5802254708904615,1.7876669135166643,0.8839596789213221,1.6173906326293943,1.8221358060836792,0.8876345157623291,2,0,"pRb
OPS0077",Engineered 172D,-0.17196232691195107
pRb,Biohub_OPS0077,CIAPIN1,phase172,24,4,True,0.859709882102009,0.8615037063203487,2.0463351018861657,0.4209983523843558,1.3330416679382324,1.4085838794708252,0.9463701248168944,2,0,"pRb
OPS0077",Engineered 172D,-0.0795235637485573
pRb,Biohub_OPS0077,CIT,phase172,23,4,True,0.7848259026617186,1.334829536730964,2.061911187107804,0.6473748942617161,2.025064468383789,2.0569815635681152,0.984483540058136,2,0,"pRb
OPS0077",Engineered 172D,-0.02256100950711958
pRb,Biohub_OPS0077,CLASP1,phase172,24,4,True,0.940797703561176,1.9079403108555184,1.4385120066925765,1.326329083093474,1.8286536931991575,1.5196764469146729,1.2033177614212036,2,0,"pRb
OPS0077",Engineered 172D,0.26701766686295175
pRb,Biohub_OPS0077,CLDN15,phase172,24,4,True,0.8230143481009832,1.0940030503158376,7.677302456512219,0.142498365345481,1.0338493585586548,1.6427288055419922,0.6293487548828125,2,0,"pRb
OPS0077",Engineered 172D,-0.6680683838174327
pRb,Biohub_OPS0077,CLK3,phase172,24,4,True,0.8069728107459561,1.352725359002208,2.088499465532632,0.6477020374325168,2.070183753967285,1.9751110076904297,1.0481353998184204,2,0,"pRb
OPS0077",Engineered 172D,0.06782509858225202
pRb,Biohub_OPS0077,CMTR1,phase172,24,4,True,0.9112015099983476,5.165276346465141,2.052947807702905,2.5160290617639705,2.3494319915771484,2.1776580810546875,1.0788800716400146,2,0,"pRb
OPS0077",Engineered 172D,0.10953450368940067
