reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7581907603760246,0.7996151716151716,0.9039930888567946,0.4110300664564122,pHrodo-dextran Live Cell Dye,quantitative_proxy,0.5980392156862746,0.5105031642557933,10.0,0.554271189971034,-0.08753605143048127,False,
endosome_vps35,0.8287198369034531,0.84987312987313,0.8053327690277692,0.3519252152106765,VPS35,quantitative_proxy,0.24019607843137258,0.5342921100064466,10.0,0.3872440942189096,0.294096031575074,False,
er_cona,0.715259638635678,0.7217280977280978,0.5309365644444025,0.2319836986715685,ConA,not_identifiable,0.1642156862745098,0.3125686827951012,10.0,0.23839218453480548,0.1483529965205914,False,
er_golgi_bridge_vapa,0.8133458602825705,0.9081841521841524,0.7683852696347,0.6864386449976475,VAPA,quantitative_proxy,0.8259803921568627,0.6914904621923578,10.0,0.7587354271746103,-0.13448992996450493,False,
er_golgi_cop-ii_sec23a,0.9308613195197672,0.9429933669933668,0.874519085676562,0.7963114253629393,SEC23A,quantitative_proxy,0.676470588235294,0.8198680946545263,10.0,0.7481693414449102,0.1433975064192322,False,
er_golgi_cope,0.8337829869186318,0.854032154032154,0.7655537577096397,0.5671140969254439,COPE,quantitative_proxy,0.7450980392156863,0.6082710006085881,10.0,0.6766845199121372,-0.13682703860709822,False,
er_ncln,0.6631427849101728,0.7536111576111576,0.8064229303337181,0.5109354049791082,NCLN,ranking_proxy,0.2696078431372549,0.489445497646382,10.0,0.3795266703918184,0.21983765450912712,False,
er_sec61b,0.8119267301316617,0.9014797934797936,0.5989096388069226,0.4571854056007768,SEC61B,quantitative_proxy,0.5857843137254902,0.569322857796689,10.0,0.5775535857610896,-0.016461455928801216,False,
f-actin_phalloidin,0.7509903596059767,0.7647367407367408,0.5555329806518494,0.3996475172727066,Phalloidin,quantitative_proxy,0.19607843137254902,0.42132693098225027,10.0,0.30870268117739963,0.22524849960970125,False,
fe2+_ferhonox_live-cell_dye,0.9095895901510402,0.93401305001305,0.7370803755819277,0.6070291514177555,FeRhoNox live-cell dye,quantitative_proxy,0.8186274509803921,0.6951351344589919,10.0,0.756881292719692,-0.12349231652140025,False,
late_endosome_rab7a,0.9199228804921062,0.9536693216693218,0.8287993930605023,0.5437250794222616,RAB7A,quantitative_proxy,0.8333333333333334,0.7048478026178404,10.0,0.7690905679755868,-0.12848553071549296,False,
lipid_droplet_bodipy_live_cell_dye,0.9235090597591196,0.960959316959317,0.794749466510299,0.693173451270225,BODIPY live cell dye,quantitative_proxy,0.928921568627451,0.7627647776070987,10.0,0.8458431731172749,-0.1661567910203523,False,
lipid_droplet_plin2,0.7182798950958886,0.5638696318696319,0.443161027867824,0.3164645586840825,PLIN2,unresolved,0.08088235294117646,0.20887730275639044,10.0,0.14487982784878345,0.12799494981521398,False,
lysosome_lamp1,0.7512566414208901,0.8246867246867248,0.7882504923139584,0.4475988330251703,LAMP1,quantitative_proxy,0.4019607843137255,0.5258837612302795,10.0,0.4639222727720025,0.12392297691655396,False,
lysosome_lysotracker_live-cell_dye,0.93490548931505,0.9877188397188398,0.93033168340503,0.8118267526031067,LysoTracker live-cell dye,quantitative_proxy,0.8112745098039216,0.8675328788167016,10.0,0.8394036943103116,0.05625836901278003,False,
microtubules_map4,0.8231292524393403,0.6780510060510061,0.8142748720121701,0.557891172634394,MAP4,unresolved,0.2916666666666667,0.49233376643902216,10.0,0.39200021655284445,0.20066709977235547,False,
microtubules_tubulin,0.7284577421088885,0.7399994599994602,0.5857511505265177,0.2737965813011502,Tubulin,not_identifiable,0.2647058823529412,0.35321416579660636,10.0,0.30896002407477374,0.08850828344366518,False,
mitochondria_chromalive_561_excitation,0.806188695791279,0.9472878352878352,0.7999771592606584,0.7231375976605061,ChromaLIVE 561 excitation,quantitative_proxy,0.6495098039215687,0.7497133975125219,10.0,0.6996116007170452,0.10020359359095321,False,
mitochondria_tomm20,0.6939597856755839,0.7201066441066442,0.4002878735877984,0.4495396744921411,TOMM20,ranking_proxy,0.3602941176470588,0.3635794128562175,10.0,0.36193676525163815,0.0032852952091586562,False,
mitochondria_tomm70a,0.749968655494523,0.8310551190551191,0.8071671781490796,0.3915349809035072,TOMM70A,quantitative_proxy,0.5147058823529412,0.5111705107660603,10.0,0.5129381965595008,-0.0035353715868808866,False,
nuclear_speckles_srrm2,0.865553630356042,0.8712907272907273,0.49521327371758367,0.619391207547443,SRRM2,ranking_proxy,0.5171568627450981,0.6102410935066572,10.0,0.5636989781258777,0.09308423076155914,False,
