reporter_slug,consensus10_gene_pearson,consensus10_gene_spearman,consensus10_magnitude_spearman,n_models,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,original_marker_map,original_marker_map_exact,original_marker_map_full,original_phase_marker_tfidf_pearson,original_marker_map_300_cells_per_guide,titration_n_cells,titration_n_guides,titration_n_perturbations,statistical_unit,consensus_aggregation,recoverability_rank
lipid_droplet_plin2,0.697941415819029,0.6217304328605328,0.840937137476893,10,"lipid droplet, PLIN2",PLIN2,Lysosome,2,Biohub_OPS0022;Biohub_OPS0065,180794,0.3164645586840825,0.2868692246260167,0.06817488540949,0.0720505316455139,0.2761598807583277,"lipid droplet, PLIN2",True,0.00899308265236192,0.07475860613028379,0.0083523206588931,1086187,4205,1001,reporter,unweighted_median_10_models,38
mitochondria_tomm20,0.68048119072078,0.6515667337903907,0.7014991802962166,10,"mitochondria, TOMM20 (cp)",TOMM20*,Mitochondria,1,Biohub_OPS0043,111573,0.4495396744921411,,0.2730180086235134,0.2899880161470094,0.4480053295917157,"mitochondria, TOMM20 (cp)",True,0.03883988091779101,0.11426984471984326,0.0375090141790212,1044929,4201,1001,reporter,unweighted_median_10_models,39
cell_proliferation_marker_mki67,0.6683644772817692,0.6318080213885237,0.5806661808484483,10,"cell proliferation marker, MKI67",MKI67*,Nucleus,2,Biohub_OPS0045;Biohub_OPS0057,197625,0.3279687777331082,0.4046021762634248,,,-0.0101242865266052,"cell proliferation marker, MKI67",True,0.07104059286716703,0.1793401522172223,0.0649935014666644,1120491,4205,1001,reporter,unweighted_median_10_models,40
trans-golgi_vamp3,0.663585352525115,0.6306210046191423,0.7040436337807474,10,"trans-Golgi, VAMP3",VAMP3,ER/Golgi,2,Biohub_OPS0030;Biohub_OPS0059,206583,0.565576846698852,0.5908432160803658,0.323341365048756,0.4340099649599766,0.5580502444844149,"trans-Golgi, VAMP3",True,0.03603902064697931,0.08393493031122934,0.0330349930858007,1130102,4206,1001,reporter,unweighted_median_10_models,41
oxidative_stress_cellrox_live-cell_dye,0.661024148389697,0.6483721245295959,0.5986924784081002,10,"oxidative stress, CellROX live-cell dye",CellROX live-cell dye,Signaling,2,Biohub_OPS0048;Biohub_OPS0069,269638,0.566358845982032,0.5685453626691198,0.2935018966994057,0.3003931127396297,0.5835668111275052,"oxidative stress, CellROX live-cell dye",True,0.05693769567067501,0.1854876474951551,0.0484365340313098,1190841,4205,1001,reporter,unweighted_median_10_models,42
er_ncln,0.6531121644501885,0.6084649950426728,0.6806179938400774,10,"ER, NCLN",NCLN,ER/Golgi,1,Biohub_OPS0052,132163,0.5109354049791082,,0.3054510842546128,0.3514745975829638,0.5123672675345143,"ER, NCLN",True,0.06031166456079192,0.11266588866753197,0.059056286844836,925337,4204,1001,reporter,unweighted_median_10_models,43
p21,0.607278133481741,0.5705045880683828,0.7256827696328454,10,p21 (4i),p21*,Signaling,1,Biohub_OPS0077,90286,0.673271028808692,,0.5443651058922807,0.4982652597385675,0.7222882555066912,p21 (4i),True,0.025350125175012412,0.11919122286108075,0.0251304644288999,840441,4204,1001,reporter,unweighted_median_10_models,44
proteasome_psmb7,0.5960753543690468,0.5434500146463163,0.6601083351309642,10,"proteasome, PSMB7",PSMB7,Stress/PQC,2,Biohub_OPS0029;Biohub_OPS0070,197614,0.4309405843280984,0.3335110568807884,0.3185674131746618,0.4031384331934891,0.6023804802272574,"proteasome, PSMB7",True,0.09167607666050107,0.19195728760596686,0.0851264473438258,1122868,4205,1001,reporter,unweighted_median_10_models,45
ps6,0.5775233318238557,0.6570112269890558,0.6686261568437812,10,pS6 (4i),pS6*,Signaling,1,Biohub_OPS0077,90286,0.3470813638953472,,0.1673013109869479,0.1839341294976889,0.3714222046445805,pS6 (4i),True,0.012397419247023403,0.07495651788484496,0.0124048051188267,840441,4204,1001,reporter,unweighted_median_10_models,46
caspase_activity_cellevent-caspase_live-cell_dye,0.5755442526589225,0.5349068397662828,0.530967047536006,10,"caspase activity, CellEvent-Caspase live-cell dye",CellEvent-Caspase live-cell dye,Stress/PQC,2,Biohub_OPS0050;Biohub_OPS0073,157180,0.3152966465946273,0.2763948117497713,0.2632136245677227,0.2956526869899273,0.5045521375553166,"caspase activity, CellEvent-Caspase live-cell dye",True,0.03366820680704507,0.10518680265108873,0.0324450580599858,1050952,4204,1001,reporter,unweighted_median_10_models,47
p53,0.5697864287098249,0.6165774413185946,0.666872840401482,10,p53 (4i),p53*,Signaling,1,Biohub_OPS0077,90286,0.6790572976946833,,0.5375491901173886,0.5473011009688131,0.7137156951000332,p53 (4i),True,0.03957910726214382,0.1198238505327253,0.0395038574642825,840441,4204,1001,reporter,unweighted_median_10_models,48
b-catenin,0.5556902340302865,0.5654182536267243,0.6353271793535756,10,b-catenin (4i),b-catenin*,Signaling,1,Biohub_OPS0077,90286,0.2160133604189748,,0.1099941110776901,0.1212733471743713,0.2470047819997927,b-catenin (4i),True,0.018977298798975587,0.08543867594752731,0.0191101965050481,840441,4204,1001,reporter,unweighted_median_10_models,49
c-myc,0.5492729490498702,0.612469287188836,0.598103078748704,10,c-Myc (4i),c-Myc*,Signaling,1,Biohub_OPS0077,90286,0.2166304258685255,,0.0875536999730922,0.0685964045986798,0.2397821391218887,c-Myc (4i),True,0.014642686901741867,0.09342743482103139,0.0145206396185107,840441,4204,1001,reporter,unweighted_median_10_models,50
nucleoli_npm1,0.5333916893642809,0.5094428876746911,0.4701525393475495,10,"nucleoli, NPM1 (cp)",NPM1*,Nucleus,1,Biohub_OPS0043,111573,0.2156298259088717,,0.0693038288058879,0.0535583340294323,0.1969091790668775,"nucleoli, NPM1 (cp)",True,0.04739401527731916,0.13781269623858486,0.0463650841810154,1044929,4201,1001,reporter,unweighted_median_10_models,51
prb,0.44744498382729936,0.576721656566137,0.6958072387614591,10,pRb (4i),pRb*,Signaling,1,Biohub_OPS0077,90286,0.1509084849662904,,-0.0153553197807242,-0.0196065331916808,0.1537214462739089,pRb (4i),True,0.009660884989177233,0.07631272645805631,0.0097910821489712,840441,4204,1001,reporter,unweighted_median_10_models,52
