split,reporter_slug,primary_catboost_multirmse,primary_gbdt,primary_knn,primary_masked_multitask_resmlp,primary_mlp,primary_ridge,primary_best_specialist,best_specialist_model,delta_resmlp_vs_ridge,delta_resmlp_vs_knn,delta_resmlp_vs_mlp,delta_resmlp_vs_gbdt,delta_resmlp_vs_catboost_multirmse,delta_resmlp_vs_best_specialist,resmlp_best_overall,marker,short_name,biological_category,target_feature_schema,n_screens,screen_ids,is_repeated_target,n_exact_assay_cell_links,n_targeting_links,n_technical_core_features,within_screen_split_half_pearson_median,cross_screen_pearson_median,cross_screen_estimable,n_exact_links,best_observed_model_pearson,observed_model_spread,mlp_gain_over_ridge,coverage_percentile,reliability_percentile,recoverability_percentile,label_limited_candidate,data_limited_candidate,morphology_limited_candidate,model_sensitive_candidate,model_limited_status,guide_status,guide_n_target_cells,guide_n_genes,guide_n_guides,guide_n_wells,well_consistency,guide_half_consistency,random_half_consistency,guide_excess_instability,diagnostic_evidence_pattern,legacy_mean10_gene_pearson,legacy_mean10_rank,n_models,log10_exact_links,consensus_aggregation,consensus10_gene_pearson
gene_holdout_main,early_endosome_eea1,0.9213477820158004,0.9260197987159092,0.9113460327188172,0.919330636660258,0.9278098935882252,0.915028582016627,0.9278098935882252,mlp,0.0043020546436309,0.0079846039414406,-0.0084792569279672,-0.0066891620556513,-0.0020171453555425,-0.0084792569279672,False,"early endosome, EEA1",EEA1,Endosome,OrganelleProfiler,1,Biohub_OPS0039,False,139936,132634,24,0.7784811755482057,,False,139936,0.9278098935882252,0.0164638608694079,0.0127813115715982,0.3653846153846153,0.9615384615384616,0.9230769230769232,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,132480,1000,3998,3,0.6945369667562562,0.6630821359621683,0.8244275180417301,0.1613453820795618,guide_linked_instability,0.90354247353971,5.0,10,5.145929455664764,unweighted_median_10_models,0.9192501720041036
gene_holdout_main,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7465382352471351,0.7625339947640896,0.724283264329036,0.7561521679162979,0.7543665262560049,0.7222789462655783,0.7625339947640896,gbdt,0.0338732216507196,0.0318689035872619,0.001785641660293,-0.0063818268477916,0.0096139326691627,-0.0063818268477916,False,"endocytic vesicle pH, pHrodo-dextran Live Cell Dye",pHrodo-dextran Live Cell Dye,Signaling,OrganelleProfiler,2,Biohub_OPS0053;Biohub_OPS0064,True,238077,225651,24,0.4110300664564122,0.371973045067865,True,238077,0.7625339947640896,0.0402550484985112,0.0320875799904265,0.7884615384615384,0.4038461538461538,0.4615384615384615,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,153,111,120,1,,,0.6260526771875503,,stable_label_unresolved_representation_or_biology,0.7317964584939182,27.0,10,5.376717441370596,unweighted_median_10_models,0.7449175643424193
gene_holdout_main,endosome_vps35,0.8167662858963013,0.8337326812247434,0.7968994128207366,0.8248544829587141,0.8381351331869761,0.794399838646253,0.8381351331869761,mlp,0.0304546443124611,0.0279550701379774,-0.0132806502282619,-0.0088781982660293,0.0080881970624128,-0.0132806502282619,False,"endosome, VPS35",VPS35,Endosome,OrganelleProfiler,2,Biohub_OPS0013;Biohub_OPS0025,True,180485,172157,24,0.3519252152106765,0.2487848321997394,True,180485,0.8381351331869761,0.0437352945407231,0.0437352945407231,0.5192307692307693,0.2884615384615384,0.7115384615384616,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,165822,1000,3999,3,0.1445434086814302,0.1449310667005616,0.4152154032648406,0.2702843365642789,well_unstable+guide_linked_instability,0.7914440297707915,18.0,10,5.256441113787795,unweighted_median_10_models,0.8163044809053341
gene_holdout_main,er_cona,0.7044975499312083,0.7087401295287742,0.6848566220866309,0.677448717587524,0.7102747335202164,0.6960643162329991,0.7102747335202164,mlp,-0.0186155986454751,-0.0074079044991068,-0.0328260159326924,-0.0312914119412501,-0.0270488323436842,-0.0328260159326924,False,"ER, ConA (cp)",ConA*,ER/Golgi,OrganelleProfiler,1,Biohub_OPS0043,False,111573,105887,72,0.2319836986715685,,False,111573,0.7102747335202164,0.0328260159326924,0.0142104172872172,0.1923076923076923,0.1153846153846153,0.3076923076923077,True,False,False,False,undetermined_until_mlp_capacity_probe,PASS,89281,1000,3991,3,0.0751833317064176,0.126834492205733,0.2250465156185861,0.0982120234128531,low_label_reliability+well_unstable+within_KO_state_or_sampling_unstable,0.6906714771434458,36.0,10,5.047559110643657,unweighted_median_10_models,0.7051554984102646
gene_holdout_main,er_golgi_bridge_vapa,0.8051802605390549,0.8153327281276385,0.7973215546458959,0.7973237872123718,0.8229861865441004,0.8025852625568708,0.8229861865441004,mlp,-0.0052614753444989,2.232566475912634e-06,-0.0256623993317285,-0.0180089409152666,-0.007856473326683,-0.0256623993317285,False,"ER/golgi bridge, VAPA",VAPA,ER/Golgi,OrganelleProfiler,2,Biohub_OPS0020;Biohub_OPS0021,True,237525,226303,24,0.6864386449976475,0.7694866705978605,True,237525,0.8229861865441004,0.0256646318982044,0.0204009239872295,0.7692307692307693,0.903846153846154,0.6346153846153846,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,218205,1000,3998,3,0.7048207461580841,0.6486488167775594,0.826117980358082,0.1774691635805226,guide_linked_instability,0.7681003685885419,20.0,10,5.375709326763612,unweighted_median_10_models,0.7998845250656208
gene_holdout_main,er_golgi_cop-ii_sec23a,0.923866102596124,0.9341115867098172,0.9112884546319644,0.9313184787829718,0.9367526402076084,0.9235264321168264,0.9367526402076084,mlp,0.0077920466661454,0.0200300241510072,-0.0054341614246365,-0.0027931079268452,0.0074523761868476,-0.0054341614246365,False,"ER/Golgi COP-II, SEC23A",SEC23A,ER/Golgi,OrganelleProfiler,1,Biohub_OPS0035,False,130846,124430,24,0.7963114253629393,,False,130846,0.9367526402076084,0.025464185575644,0.013226208090782,0.3076923076923077,0.9807692307692308,0.9807692307692308,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,124381,1000,3999,3,0.6161680913988538,0.6045031895437842,0.7855770096545338,0.1810738201107495,guide_linked_instability,0.906853498990337,3.0,10,5.116760450671121,unweighted_median_10_models,0.9248014762997626
gene_holdout_main,er_golgi_cope,0.8248018515606722,0.8324196293950081,0.8114748299121857,0.833630699912707,0.8292949313918749,0.8156893779834112,0.8324196293950081,gbdt,0.0179413219292957,0.0221558700005213,0.004335768520832,0.0012110705176988,0.0088288483520347,0.0012110705176988,True,"ER/Golgi, COPE",COPE,ER/Golgi,OrganelleProfiler,2,Biohub_OPS0023;Biohub_OPS0074,True,226855,215642,24,0.5671140969254439,0.537755035072178,True,226855,0.833630699912707,0.0221558700005213,0.0136055534084637,0.7307692307692307,0.7115384615384616,0.6923076923076923,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,215118,1000,3997,3,0.3255254707755316,0.2410340285597123,0.5927464074950468,0.3517123789353344,well_unstable+guide_linked_instability,0.8172286865115165,13.0,10,5.355748355779594,unweighted_median_10_models,0.8243623409420252
gene_holdout_main,er_ncln,0.657123943294088,0.6605212616423766,0.6434116545443733,0.6481191003074248,0.6551008938501279,0.6541416257619858,0.6605212616423766,gbdt,-0.0060225254545609,0.0047074457630514,-0.0069817935427031,-0.0124021613349517,-0.0090048429866631,-0.0124021613349517,False,"ER, NCLN",NCLN,ER/Golgi,OrganelleProfiler,1,Biohub_OPS0052,False,132163,125564,24,0.5109354049791082,,False,132163,0.6605212616423766,0.0171096070980032,0.0009592680881421,0.3269230769230769,0.5961538461538461,0.1923076923076923,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,115779,1000,3998,3,0.3054510842546128,0.3514745975829638,0.5123672675345143,0.1608926699515505,well_unstable+guide_linked_instability,0.6267854328950246,43.0,10,5.121109888244001,unweighted_median_10_models,0.6531121644501885
gene_holdout_main,er_sec61b,0.8013500787317753,0.810712077965339,0.7940337071816127,0.8042102582752705,0.8102178797125816,0.7997145779430866,0.810712077965339,gbdt,0.0044956803321838,0.0101765510936577,-0.0060076214373111,-0.0065018196900684,0.0028601795434951,-0.0065018196900684,False,"ER, SEC61B",SEC61B,ER/Golgi,OrganelleProfiler,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,True,433351,413297,24,0.4571854056007768,0.4333772785856781,True,433351,0.810712077965339,0.0166783707837262,0.0105033017694949,0.971153846153846,0.5,0.5769230769230769,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,325,231,258,1,,,0.4332640581402455,,stable_label_unresolved_representation_or_biology,0.7942172978818417,17.0,10,5.636839803078212,unweighted_median_10_models,0.8011578214665254
gene_holdout_main,f-actin_phalloidin,0.7380212187767029,0.7459227811959055,0.7147055423094166,0.7170988486044937,0.7457482559813393,0.7341089549163977,0.7459227811959055,gbdt,-0.017010106311904,0.002393306295077,-0.0286494073768456,-0.0288239325914118,-0.0209223701722092,-0.0288239325914118,False,"f-actin, Phalloidin (cp)",Phalloidin*,Cytoskeleton,OrganelleProfiler,1,Biohub_OPS0043,False,111573,105887,72,0.3996475172727066,,False,111573,0.7459227811959055,0.0312172388864888,0.0116393010649415,0.1923076923076923,0.3461538461538461,0.3653846153846153,False,True,False,False,undetermined_until_mlp_capacity_probe,PASS,89359,1000,3991,3,0.1581673080256325,0.2277065106266463,0.362540287646687,0.1348337770200407,coverage_limited+well_unstable+within_KO_state_or_sampling_unstable+guide_linked_instability,0.7251121841453844,29.0,10,5.047559110643657,unweighted_median_10_models,0.7399577975273133
