split_label,unit,consensus,lo,hi,q25,q75,n_methods
Field,recycling_endosome_tfrc,0.8178502604365349,0.6067362640053033,0.8478320886691411,0.805077600106597,0.8332307813689113,10
Field,stress_granule_g3bp1,0.9024642951786518,0.8458208521207174,0.9121807098388672,0.8957432871684432,0.9083815313875675,10
Field,trans-golgi_vamp3,0.625759382856389,0.4122553731314838,0.6460640095174313,0.5978636753745377,0.6314987656970819,10
Gene,5xupre,0.7441053985059262,0.669025478363037,0.752966930270195,0.7408209896087646,0.7490266735851765,10
Gene,actin_filament_fastact_spy555_live_cell_dye,0.9096364724139372,0.8067812405526638,0.9243509116272132,0.904576336281995,0.9173740795503061,10
Gene,autophagosome_atg101,0.7028304977342487,0.447172327475467,0.7153217139343421,0.676445413256685,0.7112052418291568,10
Gene,autophagosome_map1lc3b,0.889691340426604,0.7435936409980058,0.9057822450995444,0.8146069689343374,0.8974074385439357,10
Gene,b-catenin,0.5556902340302865,0.357485835335489,0.5665307138829181,0.5022781746981975,0.5607073326191555,10
Gene,c-myc,0.5492729490498702,0.3972541345407565,0.5703705861171087,0.5320675969993075,0.5576327691723904,10
Gene,caspase_activity_cellevent-caspase_live-cell_dye,0.5755442526589225,0.3823327450935417,0.5931642334306767,0.5086362968916849,0.5868077847873792,10
Gene,cell_proliferation_marker_mki67,0.6683644772817692,0.4304356801013151,0.707495278865099,0.6546911027592917,0.6887414747849108,10
Gene,chaperones_hspa1b,0.8219783624013265,0.7303254820406437,0.8329041269918284,0.8180346062406897,0.8268207647527258,10
Gene,chromalive_488_excitation,0.765586062396566,0.6152495071291924,0.7846104063093662,0.7334745656078061,0.7714992854123315,10
Gene,chromatin_h2bc21,0.757968520745635,0.579153054455916,0.7774571490784487,0.7294836614901821,0.7722719497357806,10
Gene,clathrin_vesicles_clta,0.9066772521783909,0.7664747784535091,0.9199979772170384,0.9027985197802385,0.9154031493390601,10
Gene,early_endosome_eea1,0.9192501720041035,0.8093671883145968,0.9278098935882252,0.9145756161461275,0.9234289634972809,10
Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7449175643424193,0.6131814484174053,0.7625339947640896,0.7266519443442423,0.7562059038008252,10
Gene,endosome_vps35,0.8163044809053341,0.6404107873638472,0.8381351331869761,0.7986032559225956,0.8296439240997037,10
Gene,er_cona,0.7051554984102646,0.6071905850484554,0.7170032938321432,0.6820435637608171,0.709444848375602,10
Gene,er_golgi_bridge_vapa,0.7998845250656208,0.5888688652155301,0.8229861865441004,0.7831930870190262,0.8127946112304926,10
Gene,er_golgi_cop-ii_sec23a,0.9248014762997626,0.8190157589813074,0.9367526402076084,0.9200777353097996,0.9328322686254978,10
Gene,er_golgi_cope,0.8243623409420252,0.7402742626766363,0.837660688906908,0.8170432231078546,0.8316384548942248,10
