split_label,unit,consensus,lo,hi,q25,q75,n_methods
Gene,er_ncln,0.5501994971806805,0.4140086496869722,0.5566784259552756,0.5271364957715075,0.5538498669086646,10
Gene,er_sec61b,0.7470259395738442,0.6698671293755372,0.7668244878451029,0.7429469409088294,0.7551115014900764,10
Gene,f-actin_phalloidin,0.5888648954116635,0.4954783342778682,0.6049004565510485,0.5545222817713188,0.5975892688975566,10
Gene,fe2+_ferhonox_live-cell_dye,0.9508618303885064,0.7725059671511796,0.9574326621989409,0.9144318948499858,0.954799330358704,10
Gene,late_endosome_rab7a,0.8766868499418101,0.7544385194778442,0.8925762228667736,0.8298832151417931,0.8834653354560336,10
Gene,lipid_droplet_bodipy_live_cell_dye,0.8538487911224365,0.704931248476108,0.8742800414562225,0.8464779577528437,0.8677171586702267,10
Gene,lipid_droplet_plin2,0.8190628033131361,0.7399685367941856,0.8273266183833281,0.8056041424473126,0.8231939266746243,10
Gene,lysosome_lamp1,0.7210736350466809,0.511708780253927,0.7441916386286417,0.7042523013427853,0.7300016755859058,10
Gene,lysosome_lysotracker_live-cell_dye,0.8768262361486752,0.788813486136496,0.8941016716261705,0.8399696175397063,0.8829020026450356,10
Gene,microtubules_map4,0.7184862329314152,0.6317804510394732,0.7277115079263845,0.6795110158001384,0.7248861980003616,10
Gene,microtubules_tubulin,0.5687199466344383,0.4787681350277529,0.5848112677948343,0.5317925962826444,0.575810821644134,10
Gene,mitochondria_chromalive_561_excitation,0.8008470283200344,0.717456523453196,0.8152528561651706,0.7987222216402491,0.8088114069153866,10
Gene,mitochondria_tomm20,0.5188070489093661,0.4150087556284334,0.5350904090330004,0.4851830209036255,0.5259933829385166,10
Gene,mitochondria_tomm70a,0.7711315033336481,0.6686088072756926,0.7813347565631072,0.7664113265772661,0.7772311432907979,10
Gene,nuclear_speckles_srrm2,0.8530053858955701,0.7482016776998839,0.8670892854531604,0.8366605947415033,0.8615611344575882,10
Gene,nuclei_hoechst,0.6563352272411187,0.4666955060263474,0.6979319149255753,0.6390740143259366,0.6789483552674452,10
Gene,nuclei_nucleolive_live_cell_dye,0.716421850087742,0.4333666637307033,0.7449739675968885,0.6618478733425339,0.7317861213659247,10
Gene,nucleoli_npm1,0.4336626595507065,0.2920233691939049,0.4482491116142935,0.38327038821039927,0.439326998953604,10
Gene,nucleolus-dfc_fbl,0.8197392154484987,0.7209239068130653,0.8336612259348234,0.8047050723806024,0.828236667253077,10
Gene,nucleolus-gc_npm3,0.8105997546265522,0.5737851338771482,0.8288706029454866,0.7279324216147264,0.8155119506021342,10
