reporter_slug,method_id,fold,n_keys,max_truth_delta,reordered,run_state
lipid_droplet_bodipy_live_cell_dye,gbdt,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,4,444,0.0,False,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,4,444,0.0,False,checkpoint_average
late_endosome_rab7a,ridge,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,gbdt,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,catboost_multirmse,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,mlp,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,tabm_specialists,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,resmlp_52head,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,multitab_pilot,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,midas_ops,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,scpair_ops,0,422,0.0,False,checkpoint_average
late_endosome_rab7a,ridge,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,gbdt,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,catboost_multirmse,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,mlp,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,tabm_specialists,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,resmlp_52head,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,multitab_pilot,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,midas_ops,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,scpair_ops,1,374,0.0,False,checkpoint_average
late_endosome_rab7a,ridge,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,gbdt,2,366,0.0,False,checkpoint_average
late_endosome_rab7a,catboost_multirmse,2,366,0.0,False,checkpoint_average
