reporter_slug,method_id,fold,recoverability_r,n_gene_screen_pairs,n_endpoints,run_state
early_endosome_eea1,catboost_multirmse,3,0.9319344746517378,197,24,checkpoint_average
early_endosome_eea1,mlp,3,0.9373307925945225,197,24,checkpoint_average
early_endosome_eea1,tabm_specialists,3,0.8869900439651367,197,24,checkpoint_average
early_endosome_eea1,scbutterfly_ops_b,3,0.8298503183695524,197,24,checkpoint_average
early_endosome_eea1,resmlp_52head,3,0.9243902731912726,197,24,checkpoint_average
early_endosome_eea1,multitab_pilot,3,0.9293781906063702,197,24,checkpoint_average
early_endosome_eea1,midas_ops,3,0.8750787179138101,197,24,checkpoint_average
early_endosome_eea1,scpair_ops,3,0.9220158483544356,197,24,checkpoint_average
early_endosome_eea1,ridge,4,0.9165006220965962,222,24,checkpoint_average
early_endosome_eea1,gbdt,4,0.925221881717452,222,24,checkpoint_average
early_endosome_eea1,catboost_multirmse,4,0.9192799748680452,222,24,checkpoint_average
early_endosome_eea1,mlp,4,0.9262856753349712,222,24,checkpoint_average
early_endosome_eea1,tabm_specialists,4,0.906479916214166,222,24,checkpoint_average
early_endosome_eea1,scbutterfly_ops_b,4,0.8225204141803805,222,24,checkpoint_average
early_endosome_eea1,resmlp_52head,4,0.92250639767803,222,24,checkpoint_average
early_endosome_eea1,multitab_pilot,4,0.9177998041075912,222,24,checkpoint_average
early_endosome_eea1,midas_ops,4,0.8518036219999887,222,24,checkpoint_average
early_endosome_eea1,scpair_ops,4,0.9161559519083514,222,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,ridge,0,0.9182524963034264,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,gbdt,0,0.930864842197296,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,0,0.9188344513348076,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,0,0.9330668238766392,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,0,0.9306682637297182,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,0,0.8402649333588261,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,0,0.9237459453648788,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,0,0.913583260911824,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,0,0.8151778249943495,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,0,0.9213041129008862,422,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,ridge,1,0.9035791124533198,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,gbdt,1,0.9128457444555006,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,1,0.9011282057379184,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,1,0.9193506242023576,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,1,0.9109920697132592,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,1,0.809698343345226,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,1,0.9061442365774368,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,1,0.8973558089934682,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,1,0.7762616841125854,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,1,0.9038615766430448,374,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,ridge,2,0.9107863670582308,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,gbdt,2,0.9275142938143084,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,2,0.9166758539262916,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,2,0.9301863323912318,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,2,0.9312658785741832,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,2,0.8272610897314802,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,2,0.9215704405818456,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,2,0.913577665952924,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,2,0.7839841443843323,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,2,0.9197829188151346,366,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,ridge,3,0.9130626039608069,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,gbdt,3,0.925565720830088,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,catboost_multirmse,3,0.9127762366010608,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,mlp,3,0.9282133164416272,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,tabm_specialists,3,0.8926702934382246,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scbutterfly_ops_b,3,0.8276371656670403,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,resmlp_52head,3,0.9197141975109112,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,multitab_pilot,3,0.9064993010514888,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,midas_ops,3,0.8043319302607111,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,scpair_ops,3,0.9143582001853208,394,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,ridge,4,0.917193675071486,444,24,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,gbdt,4,0.9291043601654358,444,24,checkpoint_average
