reporter_slug,endpoint_index,endpoint_name,fold,common_control_scale,fold_target_scale,fold_to_common_factor
early_endosome_eea1,10,op_gfp_intensity_max_min,0,3.49382451410067,3.4752795696258545,0.9946920790097011
early_endosome_eea1,11,op_gfp_intensity_max_max,0,12.088882722102651,15.477895736694336,1.2803412931118439
early_endosome_eea1,12,op_gfp_intensity_mean_mean,0,2.523345846839534,2.7801239490509033,1.1017609625462088
early_endosome_eea1,13,op_gfp_intensity_mean_median,0,2.648121064966395,2.8227484226226807,1.065943872418273
early_endosome_eea1,14,op_gfp_intensity_mean_std,0,1.2207648489918475,1.3668608665466309,1.1196758062582117
early_endosome_eea1,15,op_gfp_intensity_mean_sum,0,1945.1231071795928,2802.770751953125,1.4409220381002579
early_endosome_eea1,16,op_gfp_intensity_mean_min,0,1.837659818034187,1.9125806093215942,1.0407696737732193
early_endosome_eea1,17,op_gfp_intensity_mean_max,0,6.51101809423224,7.71060848236084,1.1842400636532178
early_endosome_eea1,18,op_gfp_intensity_range_mean,0,1.4976268696496056,1.7873551845550537,1.1934582777439315
early_endosome_eea1,19,op_gfp_intensity_range_median,0,1.2042697990855036,1.3084182739257812,1.086482675991182
early_endosome_eea1,20,op_gfp_intensity_range_std,0,1.6871051015265064,2.1238327026367188,1.258862118735257
early_endosome_eea1,21,op_gfp_intensity_range_sum,0,643.72969785971,951.6190185546875,1.4782897568943243
early_endosome_eea1,22,op_gfp_intensity_range_min,0,2.1000862689142186,1.9945648908615112,0.9497537888730334
early_endosome_eea1,23,op_gfp_intensity_range_max,0,10.688096845697746,14.284051895141602,1.3364448415239918
early_endosome_eea1,0,op_gfp_intensity_min_mean,1,1.8821151847916786,2.0087056159973145,1.0672596620167258
early_endosome_eea1,1,op_gfp_intensity_min_median,1,2.0161709435617237,2.10402512550354,1.043574768410567
early_endosome_eea1,2,op_gfp_intensity_min_std,1,0.8463049157939329,0.8759264945983887,1.0350010714243192
early_endosome_eea1,3,op_gfp_intensity_min_sum,1,1684.9775987736118,2369.2216796875,1.40608497193785
early_endosome_eea1,4,op_gfp_intensity_min_min,1,1.7843539433455156,1.988635778427124,1.114485041403051
early_endosome_eea1,5,op_gfp_intensity_min_max,1,4.452241375493283,4.895997524261475,1.0996702809534953
early_endosome_eea1,6,op_gfp_intensity_max_mean,1,3.0264382281118536,3.4248125553131104,1.1316314086641035
early_endosome_eea1,7,op_gfp_intensity_max_median,1,2.7704958059604032,2.986771583557129,1.0780639252842157
early_endosome_eea1,8,op_gfp_intensity_max_std,1,2.1129189017422525,2.549480438232422,1.2066153774904438
early_endosome_eea1,9,op_gfp_intensity_max_sum,1,2322.8812125503937,3292.779296875,1.417540974150681
early_endosome_eea1,10,op_gfp_intensity_max_min,1,3.49382451410067,3.471547842025757,0.9936239865554188
early_endosome_eea1,11,op_gfp_intensity_max_max,1,12.088882722102651,15.787747383117676,1.3059724166446105
early_endosome_eea1,12,op_gfp_intensity_mean_mean,1,2.523345846839534,2.7642629146575928,1.0954752469305011
early_endosome_eea1,13,op_gfp_intensity_mean_median,1,2.648121064966395,2.8090927600860596,1.06078713592413
early_endosome_eea1,14,op_gfp_intensity_mean_std,1,1.2207648489918475,1.3619099855422974,1.1156202496058212
early_endosome_eea1,15,op_gfp_intensity_mean_sum,1,1945.1231071795928,2753.52978515625,1.4156069479575706
early_endosome_eea1,16,op_gfp_intensity_mean_min,1,1.837659818034187,1.9098780155181885,1.039299002337253
early_endosome_eea1,17,op_gfp_intensity_mean_max,1,6.51101809423224,7.774528503417969,1.194057271981014
